The Word of God

00:00 -  Can you hear all right? Yeah. I don't feel particularly inspired on the assigned topic.
35:35 -  To those who ask liberally To those who ask for wisdom But are we asking?
35:47 -  Are we seeking? Are we walking in the way? If we Jews had seen more of this reality
35:56 -  If we Jews had seen more of this reality You would have restored us to our own God You would have restored us to our own God
36:05 -  There is nothing more impressive to a Jew There is nothing more impressive to a Jew Than to see a Gentile walking in the way of David
36:14 -  Than to see a Gentile walking in the way of David This is beyond religion This is beyond religion
36:23 -  It's the way of God And it takes the Spirit of God And it takes the Spirit of God
36:32 -  And it takes the Spirit of God In a living way That's why David cries out in Psalm 51
36:41 -  That's why David cries out in Psalm 51 Take not thy Holy Spirit from me Take not thy Holy Spirit from me
36:50 -  Let not thy presence be part from me Let not thy presence be part from me Create in me a clean heart
36:59 -  Do you like a man like this? Do you like a man like this? Does this impress you?
37:08 -  Now would you like to see more men like this? Who are jealous over God's presence Who are jealous over God's presence
37:17 -  Take not your Spirit from me Why was that important to David? Because if God took his Spirit from him
37:26 -  How shall we seek him? How shall we follow him in the way? How shall we have a delight in his word?
37:35 -  This is not human This is not religion This is life
37:44 -  And requires the Spirit of God Can you say that? Take not thy Holy Spirit from me
38:03 -  Let not thy presence be part from me Let not thy presence be part from me Come on, your children
38:12 -  Come on, you've got to be truthful God is the God of truth We can't play games with him
38:21 -  He sees us through and through Who of us can say in truth Take not thy Holy Spirit from me
38:30 -  Let not thy presence be part from me If we never have known that Holy Spirit Have never experienced that
38:39 -  How shall we be jealous to retain it When we have not yet known it When we have not yet known it
38:55 -  Well, what has this to do with anti-Semitism, brother? Everything This is God's answer
39:07 -  Not a program Not new principles Knowledge but a way
39:19 -  Blessed are they who walk in the way They will be blameless Toward Jews
39:30 -  And toward anyone Because they're walking in God's way It's a walk
39:42 -  It's a school On the job It's a mode of being
39:54 -  I'm demonstrating it right now How do you mean? Well, I was assigned the topic
40:06 -  Anti-Semitism The coming anti-Semitism Which is important
40:15 -  On a daily basis I was assigned the topic Which is important
40:24 -  And it indeed is coming So the anti-Semitism That I'm speaking something else
40:33 -  Because I had no freedom In my spirit To stick to the assigned subject
40:42 -  But to speak from Psalm 119 Because I'm walking in the way Because I'm walking in the way
40:51 -  Having sought the word this morning This is what he's unfolding Because we true preachers
41:00 -  Because we true preachers Because we true preachers Are recalled not only to speak the truth of the way
41:09 -  Are recalled not only to speak the truth of the way Are recalled not only to speak the truth of the way But to demonstrate it
41:18 -  Do you like to live like that? You have one thought God has another
41:27 -  What will you do? Will you choose your convenience? The expectation of men
41:36 -  Who do the will of God And trust him That you might be blessed
41:45 -  And be a blessing So let me pray That his words will not fall to the ground
42:09 -  He brought you here By your interest in the subject But he had another intention
42:18 -  Deeper than your own And more primary And more primary
42:27 -  How shall you be to the Jews what you must? And all the world will increasingly hate them And all the world will increasingly hate them
42:36 -  When you are not first right with God When you are not first right with God When you are not first right with God
42:45 -  And have not his soul And have not his soul Or his presence
42:54 -  I'm going to pray for that I'm going to pray for that So let's look to the Lord
43:04 -  We ask your mercy Lord You know every soul You know every soul
43:13 -  That you have gathered before you this afternoon We ask that you would form your own congregation We ask that you would form your own congregation
43:22 -  And you have done so And you have done so And set before them what you will
43:31 -  So we're asking mercy my God To break through The pride
43:40 -  Indifference Unwillingness And to bring your spirit and life
43:49 -  Into every soul that will Into every soul that will Follow you all the way
43:58 -  And become sons and daughters of David And become sons and daughters of David The way of blessing
44:07 -  The way of blessing So look upon us You know the truth of our condition
44:16 -  You know the truth of our need You know those of us who are only Christians in name only
44:26 -  We have never sought you We have never sought to walk in your way We've been satisfied with ourselves as we are
44:39 -  We never took your word seriously We don't read it We don't believe it
44:49 -  We don't desire to do it We are not wholehearted We're falling short of your glory
44:58 -  And I'm not even living humanly And we ask your forgiveness And that you would grant us
45:10 -  Forgiveness For not taking you seriously And being wards unto ourselves
45:19 -  And being wards unto ourselves Walking in our own way Doing our own thing
45:28 -  Seeking our own pleasure And ignoring you completely Cleanse us from that
45:40 -  By the only way in which we can be cleansed By the blood which you shed at the cross The reason for which you said you had come
45:52 -  To take away the sins of the world And of Bulgaria And of those in Sofia
46:01 -  Who have come to this meeting Will you ask him where you are sitting Will you ask him where you are sitting
46:10 -  To forgive you That the indifference to God is a sin That it constitutes rejecting Him
46:29 -  And making your own self Lord This man will make his own self Lord Ask him where you are sitting
46:42 -  Forgive me Lord Cleanse me Lord I receive what you have performed at the cross
46:53 -  Purge me of all my iniquity I have lived so shallowly So inadequately
47:03 -  Because I have not taken you seriously I have not been wholehearted Created in me a clean heart
47:15 -  In the words of David Renew in me a right spirit Put your Holy Spirit within me
47:25 -  And give me the sense of your presence So that I may walk in your way And take the light in your word
47:37 -  And be a person for your name Save me In Jesus' name
47:49 -  Amen You can recite from verse 30 I have chosen the way of faithfulness
48:07 -  I have set your ordinances before me And verse 32 I will run the way of your commandments
48:19 -  I will run the way of your commandments I will run the way of your commandments I will run the way of your commandments
48:30 -  Before you enlarge my understanding You know what true Christianity is? Not what you think it is
48:41 -  Not what we have been religiously told This is the way of David And it requires the Spirit of God
48:52 -  That He imparts to those who call upon Him And seek Him God's answer to antisemitism
49:09 -  Is the Spirit of God Which is the love of God The truth of God, the righteousness of God
49:20 -  The mercy of God How shall that hate Jews? But to them what we want
49:32 -  Even if it should cost them something As it will How will God identify His people at the end of the age?
49:44 -  How will He separate the sheep from the goats? And saying to the righteous Enter the kingdom prepared for you
49:55 -  And to the wicked be cast into the lake of fire Prepared for the devil and for his angels What separates the sheep from the goats?
50:07 -  One question What did you do for the least of these, my brethren? What did you do for the least of these, my brethren?
50:20 -  When did we see you hungry and thirsty and naked? If you have not done this unto the least of my brethren You have not done it unto me
50:37 -  The issue of Jesus is the issue of His people The Jews When they shall become the least of His brethren
50:51 -  Your response to them Will determine your eternal destiny At a time when they will be hated everywhere
51:05 -  Who will stand for them? Who will identify with them? Who will aid them?
51:17 -  And they called the Jew lover And suffered in prison at the worst Just as it was in the Nazi time
51:29 -  So will it be at the end of the age Who will stand with them? And extend mercy?
51:40 -  And run the risk of their own life? The sons and daughters of David In whom the Spirit of God is
51:52 -  And walk in the way of righteousness Where there is no other alternative to them What is the way of God?
52:03 -  And the Lord will know those who are His This is more than religion They will separate the sheep from the goat
52:15 -  Although some of them say, Lord, Lord When did we see you hungry and thirsty? He says, depart from me, I never knew you
52:29 -  The issue of our attitude towards the Jew The issue of our attitude towards the Jew Is the truth of our relationship with God
52:42 -  Is the truth of our relationship with God They are in the world in every nation They are in the world in every nation
52:54 -  To set us and to reveal it They are in the world in every nation To set us and to reveal it
53:05 -  Sentiment will not do it Only the love of God That cannot be offended
53:17 -  And will take every risk For righteousness sake Moving toward this conclusion of the age
53:29 -  Near religion will not be enough Near sentiments will not be enough Only the Spirit of God
53:41 -  For those who walk in the way And are strong in the knowledge of God Because they walk with their whole heart
53:52 -  And seek Him And grow in His Word And the knowledge of Him
54:04 -  Daily This is not a new Gospel It is the Gospel
54:17 -  But we have not heard it We have not been wholehearted So I want to pray again
54:32 -  For the Church of Bulgaria And this city For I know that much will be required of it
54:44 -  With regard to the Jew In the last days In the time of Jacob's trouble
54:55 -  In the rising anti-Semitism Growing up again all over the world For the only people who will resist it
55:07 -  Are those who are strong in the Lord And in the knowledge of His Word And we have got to choose it
55:18 -  I will, I will, I will, David said And we need to say also So Lord I pray for the Church
55:30 -  That it might be the Church indeed And it may well be that those who will oppose us From that religious world
55:41 -  And they are threatened by us Because our faith is so real We have the joy of the Lord
55:53 -  Even in hard circumstances And we are identified with that hated people The Jew
56:05 -  So bless the true Church Friends and daughters of David Who walk in the way
56:16 -  By the Spirit With a whole heart and take delight in it Oh, bless these children Lord
56:28 -  Stir up and raise up a people for your name Even out of this room Let them leave this room with a rejoicing
56:39 -  With a new hope And a faith born in them Because they have sought you
56:51 -  And called upon you And prayed and asked for your mercy And have received it
57:02 -  Because you will never leave one of us For the Word is in our mouth That if we will believe in our heart and confess with our mouth
57:14 -  That Jesus is Lord And that God has raised us from the dead He shall be saved
57:26 -  So bless these people And give them a new delight To walk in the way
57:37 -  As you will show it to them Day by day, decision by decision What the will of the Lord is
57:49 -  Which is alone perfect and righteous For those who will seek you Because you are their delight
58:00 -  Do these things Lord we pray Oh Lord mercy Change us, bless this city, bless this nation
58:13 -  Let it again be to the Jews what it was once before That it shall be eternally remembered As a nation that knew its God
58:27 -  And loved the people of God Even when they were themselves in their own unbelief And demonstrated this love in such a way
58:39 -  As to bring these Jews to the knowledge of their own God Put a seal on this afternoon Lord, please keep them safe
58:50 -  Use the tape of this hearing To bring light into darkness And we bless you
59:02 -  And thank you for your mercy That will not let us go That we will not seek you
59:14 -  You have sought us You have taken the initiative You drew us and lured us
59:25 -  Because you had another intention That was eternal And have spoken it
59:37 -  Receive our gratitude For such a love We thank you
59:48 -  Give you praise In Jesus' name, Amen
