The Kingdom of God

00:00 -  Guten Abend, Kinder. Good to be back with you. I always have a very nice reception here.
07:30 -  And engage him in conversation. Of things you've always wanted to ask such a man. I would profoundly disappoint you.
07:44 -  I say little or nothing. I say little or nothing. Especially on the way to the meeting.
07:59 -  I want to hear God. And let him form his word in my inner man. So please be careful.
08:17 -  I'm already observing you have this tendency. To be voluminous with words. Voluminous.
08:28 -  They, you. They have this tendency. Make a vow.
08:41 -  Fewer words. But more rightly spoken. In season.
08:52 -  And silence isn't a bad thing. We're even going to have a half hour of it in heaven. Silence can be profound.
09:08 -  I've seen golden moments of God lost. When someone had to break the silence. Because they could not bear it.
09:24 -  Something had to be said. Had to be seen. Our eyes are so voluptuous.
09:34 -  We're so sensual. We need to see, we need to hear, we need to feel, we need to touch. So is there a phrase that has become more frayed and more worn than the kingdom of God?
09:57 -  Or is there another phrase that has become more frayed and more worn than the kingdom of God? That we use so casually. As if everything is the kingdom.
10:19 -  And therefore nothing is the kingdom. On this trip I had the opportunity to have a conversation with two East German pastors. Whom I've not seen since the wall came down.
10:46 -  And I asked them both the same question. What has changed since you have come now into the full integration with the whole of Germany? What I was really asking was.
11:09 -  Have you lost the sharp edge? I remember when we came during the communist regime. When the meetings were dangerous.
11:30 -  There might have been a spy in the audience. And you had already been warned not to speak of Israel. And you lived under a continual tension.
11:45 -  With a justifiable fear. Of the prospect of imprisonment, persecution. And there was a wonderful radical edge to your faith.
12:03 -  And when a man like me came, you were greatly appreciative. Now of course everybody comes. And it's no special thing.
12:17 -  So how are you doing? And what are you doing? And what are you speaking?
12:27 -  Now that you're not under the urgency of the previous conditions. What dynamic has replaced it? What has saved your church and your meetings from becoming a succession of mere services?
12:58 -  Do you understand what I was asking? Significant question. I said, have you ever considered the kingdom of God?
13:24 -  Because the kingdom of God rightly apprehended. Brings its own dynamic. And it alone has the power to convert our conventional Christianity.
13:50 -  And restore its apostolic character. Take my word for it. Take my word for that.
14:02 -  I can't prove it right now. And I don't have the time to develop it. But I want to send this statement into your midst.
14:15 -  The issue of apostolic faith. Are you jealous for that word? Apostolic?
14:28 -  Or has it suffered equally with the word prophetic? What does it mean art, a cliché? That the word prophetic and apostolic is becoming a cliché.
14:49 -  It means that they are words that were initially true. But because of too frequent usage. And careless usage.
15:06 -  It loses its content. And its meaning. And its power.
15:20 -  So what am I saying? That the church that is not apostolic is not the church. It could have programs.
15:33 -  Conferences. Order of services. Interesting visiting speakers.
15:45 -  But it will fall short of the calling of God. And of the use of God. For those things that pertain to his coming and his kingdom.
16:05 -  Even to be occupied with Israel. And to have an empathy for this people. That is not necessarily a saving grace.
16:23 -  If the affinity for Israel is conducted on the level of sentimentality. Or what is even worse. A relief for German guilt.
16:46 -  Well how then should we relate to Israel? Apostolically. Prophetically.
16:55 -  In the context in which Paul has set forth the mystery. Because that brings to the church a certain valence, a certain character, a certain dynamic. A certain expectancy.
17:22 -  It makes the church eschatological. Eternally minded. Because to consider Israel rightly is to consider Israel millennially.
17:45 -  It's more than the issue of the success of the present state. In fact in my opinion it might require the devastation and the dissolution of that state. Something that might offend you.
18:13 -  And your understanding of God. Unless you understood the mystery. In the context of Israel's millennial call.
18:34 -  And the glory that will come to God. Through Israel's final restoration. Forever.
18:47 -  So let me take your pulse. Are you forever minded? Are you eternally minded?
19:04 -  In the way that Paul was? Who saw so vividly the eternal weight of glory? That he counted his present sufferings as momentary and light.
19:25 -  This is not some idle holding of a category eternity. It's bringing the reality and the dynamic of it into the present life. And that gives to the fellowship, the church, a texture.
19:54 -  A certain knit. A certain weight of value. That even the powers of darkness are required to recognize.
20:13 -  Who have said Jesus we know and Paul we know. But who are you? Let them see a people who are eternally minded. Who are eschatologically minded.
20:32 -  Who know that we're moving toward an end. A conclusion and a climax. A consummation.
20:45 -  That eventuates in the glory of God forever. The powers of darkness will take note of such a people. They are a threat to the kingdom of darkness.
21:07 -  Because they are already exhibiting the kingdom of God. And it shows in their witness. Their words have a greater power to penetrate.
21:24 -  And also to invoke reaction against themselves. Scandalously. Reproach and anger.
21:37 -  You're no longer a nice guy. That you're Christians and somehow acceptable in the world. You've become a pilgrim.
21:51 -  A sojourner. A stranger. In the world.
22:00 -  The world is offensive to you. You hate its immorality. You cannot tolerate its entertainments.
22:16 -  You despise its political systems. There's a cry that continually wells up in you. Come Lord Jesus.
22:30 -  Thy kingdom come. Not as an escape. But as a fulfillment.
22:40 -  In the earth. I'm speaking by faith tonight. I'm being Christ fool.
22:55 -  I'm just talking. So I said to these East German pastors. Have you ever considered the kingdom of God?
23:12 -  And I thought to myself. The proper consideration of that kingdom. Will more than substitute for any radical edge that communist authority had brought.
23:37 -  Oh yes, they were quick to say. We've considered the kingdom. My son had earrings before. Smoking marijuana.
23:49 -  Going to the discotheque. But now he has straightened out. And the students at school recognize a difference in him.
24:01 -  That's the kingdom. And you would say yes. And you're right. But not right enough.
24:13 -  Now listen to this children. There's a way in which we can understand the kingdom as the benefit that comes to us redemptively as believers. Yes, significant changes have come.
24:38 -  Isn't that what Jesus meant when he said the kingdom of God is within you? Something internal. Something personal.
24:50 -  Individual. Spiritual. Yes, it's true.
24:57 -  But it does not exhaust the truth. And doesn't even begin to touch the larger truth. So here's what I want to say to you.
25:13 -  And have driven all day long to come to tell you. Unless you understand the kingdom of God politically. As a theocratic government.
25:34 -  As the rule of God over the nations. You have not understood the kingdom. And the lack of that understanding seriously atrophies the church.
26:03 -  Even in its best charismatic forms. The understanding of the kingdom. As the coming rule of God.
26:16 -  Theocratic, not democratic. Changes everything. Affects everything.
26:31 -  Your understanding of Israel. The role and function of the church. The issue of the Holy Spirit and the gifts of the Spirit.
26:43 -  Everything is radicalized. And comes into its apostolic formation. When the concept of the kingdom of God as the rule of God is restored.
27:01 -  After all we were told to pray, thy kingdom come. So on earth as it is in heaven. Not an escape from the earth.
27:19 -  But the coming of the king to the earth. But the coming of the king to the earth. This is what the Greek word Parousia means.
27:36 -  When we meet him in the air. It's not our escape from the earth. It's the glorified bodies given us.
27:52 -  By which we shall rule and reign with him. Ascending and descending upon the son of man. Ascending and descending upon the son of man.
28:07 -  The glorified saints. In his rule over his creation. Are you anticipating that?
28:27 -  Are you preparing for that? Will you rule over five cities or over ten? Everything depends on your qualification.
28:40 -  That you have attained in this life. Do you remember 1 Corinthians chapter 6? Paul was outraged.
28:56 -  He met two Christians who were going to the world's court of law to resolve a dispute between them. He said why don't you allow yourself to be defrauded? This is scandalous that you're going to the court of the law of the world.
29:24 -  Don't you know you're going to rule over angels? Don't you know you're going to rule over nations? So what are you going to the world for?
29:38 -  Find someone from among you. Of the most ordinary kind. And let him resolve your dispute.
29:53 -  I know that I know. You are not expecting this governmental participation. Because if we did.
30:09 -  We would be chafed by the whole way in which the church is structured. Elevated platforms. Theater seating.
30:27 -  Which does not invite participation. But passive viewing. It's not a preparation for government.
30:46 -  You know what one of the most profound moments in my life as a believer? And I've been a believer 35 years. 25 years in community.
31:04 -  Where we presently are. And our words are few. But weighty.
31:14 -  And there came a time when we had to judge a brother. His father was a distinguished Pentecostal preacher. And the family was well known within the entire movement.
31:36 -  But he was a rebel. And we gave him every opportunity. Over many weeks, three months.
31:46 -  Working with this brother. Correcting this brother. And he was not receiving this correction.
31:56 -  And so one went before him directly. And then two. And he still refused correction.
32:09 -  And we brought him before the entire church. To judge him. And it took three hours.
32:20 -  Solemn time. Solemn. I heard housewives speak profoundly. Because the urgency of the situation.
32:38 -  Of having to give a man over to the devil. For the destruction of his flesh. That his soul might be saved.
32:48 -  Was no light question. Like should we change the carpet of the church? Or do some construction or paint work?
33:07 -  With what questions are God's people confronted today? In which they have to seek God. Because the questions are consequential.
33:27 -  And we need the wisdom of God. That is given in the council of the many. Which is preparation for us.
33:39 -  For eternal rule and reign. With Christ as overcomers. God makes this the great reward.
33:56 -  If any man overcome. I will give him a new name. And he will rule and reign with me.
34:10 -  From my throne forever. That's the ultimate reward of faith. For a life that is rightly lived in this lifetime.
34:30 -  That is significantly lived. In the context of the kingdom of God. Of a kingdom coming.
34:46 -  Whose rule the world hates. Read Psalm 2. Why do the heathen rage?
34:59 -  And imagine a vain thing. And the kings and the rulers take thought against the Lord and against his anointed. To break their cords asunder.
35:16 -  But God holds them in derision. He laughs. He said, I have set my son, the king, on the hill of Zion.
35:33 -  And I have given him the nations for his inheritance. Psalm 2 is classic. It's not a piece of poetry.
35:49 -  It's a radical glimpse of the end. Of the son of God whom the father exalts. This day I have declared the decree.
36:08 -  Thou art my son. And I have set you on the throne of David. On the hill of Zion.
36:18 -  And you shall rule over the nations. Let them rage, let them foam at the mouth. I hold them in derision.
36:29 -  This is my king. And he will rule over the nations. And his overcoming saints with him.
36:40 -  And he will break the nations like a potter. With a rod of iron. The rebellious nations.
36:53 -  Of which Germany today is an example. I was in Berlin. And I saw the new Reichstag building.
37:06 -  Very impressive architecture. They spared no expense. In the dome.
37:15 -  But then beyond that. In a hundred football fields. I've never seen more derricks.
37:26 -  These operating cranes. Hundreds of them. In one of the most massive construction undertakings I have ever seen.
37:44 -  For which there's only one comparison. Babylon itself. You know what, when I saw that, what that spoke to my prophetic heart.
38:01 -  This is not a nation satisfied merely with governing itself. It has imperial intentions. Of ruling over nations.
38:25 -  And is providing the physical structure for that possibility. Evidently the church has not told them. That God's wrath will be upon them.
38:48 -  Because he has his own program. That can only issue out of one place. Not Berlin.
39:03 -  Or Geneva or New York. The holy hill of Zion. I have set my king on the holy hill of Zion.
39:18 -  He's qualified to rule there. He's the son of David. Who will rule from the throne of David.
39:26 -  And the father will give him all nations as his inheritance. That's why the nations rage. The kings and the rulers.
39:40 -  Is God being redundant? Kings and rulers? Is that like saying kings and kings?
39:54 -  You see how you need to wear the kingdom spectacles? The kings are the visible and earthly magistrates. But the rulers are the principality and powers of the air.
40:20 -  And their prince is soon to be cast out into the earth. Who knows that his time is short. And he will ventilate his fury.
40:37 -  On anything that will permanently dispossess him from his rule. As the false usurping God of this world. Who will be his two objects of hatred.
41:01 -  For destruction and annihilation. Israel and the church. The people of God.
41:15 -  Oh, you dear saints. Can you take more? Be prepared.
41:27 -  For something worse than the Nazi time. That will come again to Germany. And every nation.
41:40 -  As Jews will be ruthlessly and relentlessly hounded unto death in the last days. By these powers of darkness. Who know something that you don't know.
42:01 -  That the king is contained in the heavens. Acts 321. Waiting for the restoration of all things spoken by the prophets since the world began.
42:24 -  That restoration is the restoration of Israel. The surviving remnant. Of the last days sifting of this people through all nations.
42:44 -  The time of Jacob's trouble. Future. But near.
43:02 -  You will say, where is God? To allow this a second time? Within the same century?
43:14 -  And no longer confined to Europe or to Germany? It will be a global hatred. That seeks their annihilation.
43:28 -  And God is allowing it? You need to understand. The subject of Israel.
43:42 -  In the context of the kingdom. Or you don't understand at all. And you condemn yourself to the limitation of only a sentimental relationship.
44:07 -  Rather than an apostolic one. You say, why are Jews going to be so persecuted and hated unto destruction? Because that is the wisdom of the powers of darkness.
44:23 -  How to be saved from the loss of power and reigning over nations? How to save yourself from that predicament? How to save yourself from the predicament of losing your rule?
44:38 -  The forces of darkness. How to save yourself from the predicament of losing your rule? Annihilate those people whose restoration will bring their king and his rule.
45:11 -  I've given you the full schema, the full scenario. Of the most important event of the last days. Of which only a remnant of world Jewry will survive.
45:34 -  And return to Zion. As the redeemed of the Lord. With everlasting joy upon their heads.
45:45 -  And with singing. When mourning and sighing flee away. There will not be one of them returning in that condition.
46:00 -  There will not be one of them returning in that condition. Except by the mercy that you extend. Don't say no one ever told you.
46:25 -  Don't say that no one ever told you. Are you prepared for this? Are you prepared for this?
46:34 -  Jews hated again and despised. Jews hated again and despised. As the Nazis used to say.
46:43 -  As the Nazis used to say. The Jews are our misfortune. The Jews are our misfortune.
46:52 -  And they will be the world's misfortune. And they will be the world's misfortune. Look what they have done to the world economy.
47:01 -  Look what they have done to the world economy. Look what their conflict in the middle east has done to the oil situation. Look what their conflict in the middle east has done to the oil situation.
47:10 -  Look what they have done to the world economy. Look what their conflict in the middle east has done to the oil situation. The Lord will allow this anti Christ hatred to pour out like a flood over the Earth.
47:19 -  Will you be able to resist it? Will you be able to resist it? If your own standard of living has fallen.
47:28 -  If your own standard of living has fallen. And your own physical security is threatened. And your own physical security is threatened.
47:37 -  They will not be so cute in that day. They will not be so cute in that day. So charming and so lovable.
47:46 -  So charming and so lovable. So charming and so lovable. Dispised and rejected of all men.
47:55 -  Dispised and rejected of all men. Who will take them in? Who will hide them and move them on?
48:04 -  To those who are prepared to receive them. To those who are prepared to receive them. As God sifts them through the nations.
48:13 -  Who will be willing to take the risk. Who will be willing to take the risk. Of being caught.
48:22 -  Of being caught. Helping a Jew. Why take the risk?
48:31 -  What did they ever do for you? In that day. You will realize as you have never realized.
48:40 -  How human you are. How German you are. How human, only too human.
48:49 -  Because crisis reveals. Because crisis reveals. An absolute crisis reveals absolutely.
48:58 -  An absolute crisis reveals absolutely. You know what my idea of a church is? You know what my idea of a church is?
49:07 -  One that anticipates the soon coming realities. One that anticipates the soon coming realities. And as in conscious, willful preparation for them.
49:16 -  And as in conscious, willful preparation for them. And as in conscious, willful preparation for them. And as in conscious, willful preparation for them.
49:25 -  Not only physically. Not only physically. But spiritually.
49:34 -  Only one kind of people who will help Jews in that time. Those who do not hold their lives as dear unto themselves. Those who do not hold their lives as dear unto themselves.
49:48 -  And if it should require their life? Which is a very reasonable possibility. Because that's what will move Jews to jealousy.
49:57 -  Because that's what will move Jews to jealousy. German Gentiles willing to risk their life for me? At a time when I'm hated everywhere?
50:06 -  At a time when I'm hated everywhere? This is beyond religion. This is the evidence of another kingdom.
50:15 -  This is the evidence of another kingdom. That has already come. And it's the kingdom of the God of Jacob.
50:24 -  And it's the kingdom of the God of Jacob. I can see its Hebraic character. Exhibited through Gentiles.
50:36 -  We are on a historic collision course. We are on a historic collision course. To this end.
50:45 -  Israel is already in preparation. Do you think Ehud Barak is going to save Israel? Do you think Ehud Barak is going to save Israel?
50:54 -  Silly kinder. Don't you understand why he had to be elected? Don't you understand why he had to be elected?
51:03 -  Because he has a 180 IQ. Because he has a 180 IQ. He's smarter than me.
51:12 -  He's smarter than me. Much smarter. And much braver.
51:21 -  He's the outstanding hero of Israel. And he held a highest military position as General. And he held the highest military position as General.
51:29 -  He has a master's degree from Stanford University. And he's a classical pianist. This is a supreme man.
51:45 -  This is a supreme man. With supreme human endowments. With supreme human endowments.
51:55 -  And if he can't save Israel, who can? There's a coming devastation, children.
52:08 -  Haifa, Tel Aviv, or Tiberias, Jerusalem, will be destroyed. They will be left without inhabitants.
52:19 -  They will say the land has become our destruction. They will be cast out as captives. You will not be able to believe it.
52:34 -  That God has allowed this death? To this hope? For statehood?
52:43 -  Don't Jews deserve it after all these years? Yes, if you think humanly. But in terms of the kingdom,
52:56 -  this is a preparation for a nation of sons who are restored to the land
53:08 -  with a new and everlasting covenant in a divine character which is given that Jerusalem is called the city of righteousness.
53:23 -  How else should the king rule from there? Unless it first becomes that. How else should the king rule from there?
53:35 -  Unless it first becomes that. Well, there's so much more that can be said. But I don't know about your capacity.
53:52 -  It has been diminished by too much speaking. A prophetic man is coming and we can take all the time.
54:08 -  Full opportunity for worship, for announcements. And if there's anything left over in the ability of God's people to yet hear more,
54:25 -  then we'll try it. When you take the kingdom of God seriously, as indeed we ought,
54:40 -  everything will come under reconsideration. What we are about, why we are about it,
54:53 -  what is God's intention for us in this nation in particular, if we can anticipate this dealing with Jews,
55:05 -  what manner of people ought we to be? Seeing this kingdom and this glory, it will bring a new seriousness to the church
55:23 -  that even our children will recognize what tonight in front of the TV set or worse,
55:36 -  because what they are engaged in is much more compelling than what we are about. See them as the index
55:54 -  of the truth of our condition, they are not impressed, let alone engaged,
56:09 -  because this is just another adult culture. But it is not the kingdom of God. That requires sacrificial living.
56:27 -  That requires intensive relationship. That requires unsparing correction. Even judging a brother,
56:45 -  as we did that afternoon so many years ago. And I watched ordinary housewives rise to the occasion
56:57 -  with an intensity and a wisdom that astonished me. And when the trial was over,
57:10 -  they did not go back to where they were before. Something qualitative had happened for them that moves them from faith to faith
57:23 -  from glory to glory, when the conditions of our life are earnest. We gave that brother's flesh over to the devil.
57:41 -  And we were in our prayer, morning prayer time when I watched him leave the property. With his clothes on a stick on his shoulder,
58:01 -  and I rejoiced. There was a joy of the Lord that everyone felt,
58:13 -  because we had judge with righteous judgment. We need to save the kingdom of God from becoming a cliché.
58:24 -  It's a government coming. It's a government coming. Desperately needed.
58:36 -  Hasn't the Serbian, Croatian and what's the other country, Kosovo crisis shown you? Hasn't the Serbian, Croatian
58:47 -  and what's the other country, Kosovo crisis shown you? How far men will go in their arrogance and conceit,
58:59 -  in their nationalistic and ethnic superiority, to kill indiscriminately and rape helpless girls
59:10 -  in the face of their fathers and their sons and brothers as a policy of war, and we're going to live with that kind of government.
59:22 -  I think that it can be improved and I'm not crying out, thy kingdom come,
59:34 -  thy kingdom come, let there be righteousness in earth and heaven and until you come,
59:47 -  we're going to speak up in behalf of righteousness. We're not going to be silent as the church. We're not going to allow society and government
59:59 -  and culture and entertainment have its way. We're going to stand for truth. We're going to speak of issues that need to be identified.
01:00:15 -  We're going to call governments to acknowledge God who created the heavens and the earth. Not that we should hope it will succeed,
01:00:27 -  but how can we remain silent? But how can we remain silent? But how can we remain silent?
01:00:38 -  How does one become an overcomer? There needs to be something to overcome. Opposition,
01:00:50 -  persecution, rejection, and you'll experience that in exact proportion to the degree
01:01:01 -  how the kingdom of God has come in your thought, in your convictions, in your expectations.
01:01:13 -  I want to pray for such a church. Thy kingdom come, something more than the internal and personal benefit,
01:01:25 -  something much larger, of which the angel Gabriel spoke to Mary. of which the angel Gabriel spoke to Mary.
01:01:36 -  The Holy Spirit will hover over you, and you will conceive a son, and he shall be very great,
01:01:48 -  and his father will give him the throne of David, and he will rule over the heavens and he will rule over the throne of David,
01:01:59 -  and he will rule over the house of Jacob forever. The first angelic pronouncement
01:02:11 -  has to do with Jesus and his government. And as for us Jews, unto us a child is born,
01:02:22 -  unto us a son is given, and he shall be called counselor wonderful, the everlasting father, prince of peace,
01:02:34 -  and of the increase of his government, and of his peace, there shall be no end.
01:02:46 -  Wherever you look, if you put these spectacles on, is the issue of rule.
01:02:57 -  Governments over the nations, over the church. Is your rule upon his shoulder?
01:03:09 -  Do you determine your own vacations? Who are you going to marry? What career you choose to pursue?
01:03:20 -  Of course, the Lord wants you to be successful. So I don't have to submit this to him. It's only a small thing.
01:03:32 -  Really? There's no small thing in the kingdom. At all.
01:03:43 -  At all. God's waiting for a church whose government is upon his shoulder.
01:03:55 -  Even the order of the meetings. The content of them. The way the time is used in them
01:04:07 -  needs to be sensitively put before the Lord. As King, for of the increase of his government,
01:04:18 -  and of his peace, there shall be no end. Can you pray, thy kingdom come?
01:04:30 -  It's a radical prayer. Let's pray for it. Lord.
01:04:41 -  Precious God. Grow us up. Bring this realization to our hearts.
01:04:53 -  Bring this realization to our hearts. Lord, that you're bringing many sons to glory,
01:05:04 -  that you're bringing many sons to glory, many to be overcomers, to rule and reign with you from your throne.
01:05:16 -  Give us opportunity now to come into that maturity, into that responsibility
01:05:27 -  that the church might be the church and your kingdom come. To the church first.
01:05:39 -  And then also to the nations. Help us, Lord. Shake us, Lord. Revive the great words.
01:05:51 -  The great words. Give us a jealousy for them. An understanding.
01:06:02 -  A courage to pursue it. A faith to believe for it. In all things, small and great,
01:06:14 -  thy kingdom come in this earth, as it is in heaven.
