Widows and Slaves Indeed

00:00 -  And it's unspeakable privilege to be a slave of Christ So Doing the will of God from the heart
21:10 -  Likewise also he that is called being free as Christ's servant. You are brought with a price But not be not the servants of men Brethren, let every man wherein he is called therein abide with God
21:24 -  You know, I probably should not have Included this this deserves another Sunday all by itself Because you know what Paul is saying here
21:36 -  This thing in which you're called is not only an opportunity to make me known and to obtain an eternal reward But in that very situation is transformation itself for you Is transformation itself for you
21:53 -  You can be transformed right in that situation By merely a change of mind and a change of attitude If you recognize that it's a call
22:03 -  And submit to it as i'm submitting to my call Paul says that you might be made free Use it don't don't see yourself as a victim and moan and groan about I never had a break I never had advantages of education use it
22:18 -  Take that situation and be transformed by that very same thing in the attitude that you bring to it, which is heavenly It'll free you you're going to come out another person. You're going to come out larger than life This this is where apostles are formed in the narrow place of constriction
22:36 -  Where where we're chafed to wish we had greater opportunity. No Submit there for the place of restriction is the place of enlargement. You'll be transformed by it That's why I saw these these men before the wall came down
22:49 -  Simon, I don't know if you know it was earlier than your time In in leipzig, I met that man again on this trip. He was he was a a children's ministry youth worker He wasn't even ordained lutheran
23:02 -  But he was working within the lutheran system the same kind of thing that I had to choke and sputter against in st Paul and the two lutheran
23:12 -  Attendants were under communist authorities who were not even saved. It's a moot question where the lutheran bishops were But this man never bucked. He never sought to circumvent it He could not go out and start his own church the way we were doing america. We don't like the condition to make our own
23:28 -  No He had to serve God in that strangulating restriction And because he submitted to it as coming from God he he became free by it
23:39 -  He came he himself was transformed in that confinement and came to a place of apostolic stature the man had has Such a depth such a breadth of being
23:52 -  Such a Godliness such a righteousness. It was made in the place of contraction Paul says use your situation You're not victim to anything if you recognize that i'm the author of it and you receive it as your call
24:07 -  Whether you're a freeman or a slave it doesn't matter Remain in that calling and in it is the prospect for transformation that you might be made free For to be free in christ is to be free
24:23 -  indeed So just a little glimpse at the apostolic mindset Knowing
24:35 -  That Paul averted a disaster for the church In keeping people who are in bondage from throwing off their chains as carl marx said you have nothing to lose But your chains. Oh, yeah, you have everything to lose when you throw off
24:49 -  But submit to the place where in you are called and in that use it rather To be transformed and to find the freedom with or without chains that cannot be bought for money Thank you
25:01 -  And it avert social Catastrophes and bloodshed and violence and the tearing of families in the civil war there were families on both sides suffering at each other's hands death over
25:14 -  rectifying social issues That God himself Had established and would have wrought another america
25:21 -  We would be another nation today if we had allowed God to work out the issue of slavery and freedom And and the greatest fictional character in all american literature
25:34 -  Strange to say the one phrase that no black person wants to be accused of is uncle tom When I read uncle tom in american literature at the university level I was astonished. I was this this figure uncle tom who bore stripes
25:50 -  And and suffered indignation brutality because of his christlikeness never once sought to be free of his master and could have He was mighty in his personal strength could have broken loose submitted and unto death
26:04 -  What you have in uncle tom's cabin is the picture of christ in a black man who is a slave? So there's probably greater potential for america In a black people who will submit to their conditions rather than be violently seeking to free themselves from it
26:22 -  And and that's true for any of us What seems the most discouraging the american indian wherever people are oppressed on the minority conditions and have to face a servitude of unjust conditions there
26:38 -  The potential for the kingdom of God is the greatest in what can be displayed to those who receive it as their calling Coming from God and find the solution of God by his spirit in that place and are themselves transformed as well as transforming others This is the gospel
26:56 -  So lord, we bless you. Oh lord For Paul my God What a piece of humanity what an example. Thank you. My God. You didn't give us a textbook with principles
27:09 -  You gave us a flesh and blood man faced with comfort Conditions appropriate both to his age and to every age those issues have not changed They're the same in our own generation and has brought my God rivers of blood by those who have sought to
27:25 -  Uh send off their chains So we thank you for what Paul is for his mind for his way of seeing real widows as against for false How how to understand our situation how to act within it not as man pleases but as God pleases
27:43 -  That requires God and there's a God who can be required of For he will give grace to those who submit to his word and to his way And so we're blessed lord, oh my God, no wonder that they're clamoring now
27:56 -  Don't give us anything else out but apostolic prophetic foundations for that includes the subject of Israel And lord willing lord by your grace We will give it and we'll give it as one in chains not coming to them from some superior
28:11 -  holiday in mode of life But out of the circumstances where you have called us
28:18 -  So we bless you lord Oh, may you free the church that the church could be a statement of that ultimate freedom to a world that is in bonds Even while it thinks it's so free and who are dead even while they live
28:31 -  Show them what life is show them what freedom is my God that has been purchased by your blood the sacrifice of yourself At the cross you you've sent freedom my God into mankind And so we bless you and bless every child in this room my God to review and look at their present circumstance
28:49 -  What their employment is what the condition of their life? And to be freed from murmuring and complaint and to receive it as from the hand of God and there to show his grace So we bless them everyone my God. Oh, thank you for Paul
29:04 -  The man in himself the flesh and blood thing my God Speaking just off the cuff about the issues that need to be touched In a small things but in that small thing what a window
29:18 -  Of the of the greatness of God of the genius of the faith of the so great salvation We're blessed lord and we want to be like that. We want that reality. We want that perception Taken up with this word that
29:34 -  Was spoken to these ministers as a day of small beginnings, you know the way the lord will begin They come to a situation without any plan for it And then something is quickened in the early morning hours and you begin with what the lord has given
29:49 -  And if these men had been patient And had waited and trusted the lord from this modest beginning because the subject was widows Widows and slaves. I don't know how the lord had me the major on the minor key
30:04 -  But it began with that little subject in first timothy. You can turn to it chapter five And probably Had they understood the process of God
30:18 -  Who is pleased to begin with small things they might have ended up with a really Large statement from the lord that would have helped them all their days The reason that I was boycotted after that is that there was this kind of a word for them was a disappointment
30:33 -  They were hoping something from america that had to do with church growth some program some special principles or methods
30:42 -  that would bring Numbers and here's this guy coming with some minor note on widows
30:50 -  So you can imagine their disappointment but i'm speaking this
30:57 -  It's been requested that And simon and others heard about this they said well, let's let us hear it bring it on sunday So
31:08 -  Something that has come out of all of these weeks that will now touch the future is a growing Awareness on the part of many for apostolic and prophetic foundations All of the commitments that have been made for october in holland and in germany that have come out of this present trip
31:28 -  I'll specify that this should be the topic of the leadership seminars and other activity This there just seems to be an awareness growing awareness that these foundations need to be developed And so the lord has given us a very precious perspective
31:45 -  on that word apostolicity That goes way back into ben Israel's history and continues increasingly to become a central focus And the remarkable thing about Paul on widows and slaves
32:00 -  Is that it's almost a minor note in passing just Paul tending to some practical
32:07 -  matters in In giving timothy guidance for his own conduct with the church But as so often is the case
32:17 -  sometimes the profoundest Insights and observations of the nature of something are given not in the grandiose climactic statements but in some little thing in passing some minor note some observation of something that seems relatively
32:32 -  Trivial in comparison to the greater the weightier objects of concern and you can see in the microcosm Of a small note being struck the real genius of what is apostolic and that's why I love this so much So in chapter 5 of first timothy
32:50 -  Paul is instructing on the subject of widows and He says in verse 3 on the widows who are really widows
33:00 -  Now right there we ought to be arrested. What do you mean widows who are really widows? Isn't a widow by definition one who has lost her husband through death Evidently Paul does not make his determination or his definition
33:14 -  On natural factors And that's and in that we begin to see what the apostolic mind is that goes beyond The immediate the physical and the apparent
33:26 -  That the issue of widowhood is something more than the absence of a husband that there are widows and widows A real what is a real widow because if there's such a thing as a real widow then what shall we say about real believers? Real pastors real evangelists real teachers
33:44 -  Real husbands real wives if Paul can make a distinction about widows as real and unreal That distinction then can be extended to almost every category and that's exactly the point there is an apostolic perception of everything that is above and beyond what what one understands and it's into that realm that God wants to draw us
34:05 -  To that realm that God wants to draw us and sometimes it's just a hairline of difference, but that hairline Speaks volumes So honor widows who are really widows
34:17 -  If a widow has children i'm in verse four of chapter five of first timothy If a widow has children or grandchildren, they should first learn the religious Their own family make some repayment to their parents, but this is pleasing in God's sight
34:30 -  The real widow left his Paul's definition The real widow left alone Has set her hope on God and continues in supplications and prayers night and day
34:43 -  But the widow who lives for pleasure is dead even while she lives Oh you dear saints tune in Adjust your focus
34:52 -  And don't miss a nuance of what Paul is saying in this one passing pithy statement Because he's expressing his apostolic heart and mindset and mentality all the more profound Because he has no awareness that this is going to pass into scripture. This is just
35:11 -  Uh a momentary piece of counsel to a man Called timothy who's going to be working with the church But in it is such a insight of the depth of Paul's mind
35:23 -  That is that defines the word apostolic. Let's go over this The real widow who's the real widow Left alone like like the ordinary widow, but what makes her real she has set her hope in God
35:38 -  This is apostolic. In other words every definition Of what is real has got to be set in the context of God If that dimension is missing, it's no longer reality
35:50 -  It's just physical. It's just natural. It's just social. It's just political But when God is a factor that establishes its authenticity and its reality a real widow Is one who takes God into the consideration is what Paul is saying
36:07 -  And if that's if that's what makes a widow real Then it must be the same thing that makes a believer real a teacher real an apostle real a prophet real Reality is the issue of God
36:18 -  And here's a woman left alone, but how does she? Occupy herself In the absence of a husband she has set her hope on God and continues in supplications and prayers night and day
36:31 -  But the widow who lives for pleasure This would have to be interpreted This is the antithesis of living for God is living for pleasure
36:42 -  That one is dead even while she lives So here we have not only a definition of little hood. We have a definite definition of life Life is not biological activity
36:54 -  life is relationship to God in significant prayer supplication and service If that factor is absent and removed that the person is dead even while they live whether they're widows husbands sons
37:08 -  Anything and this is exactly what I saw in east germany in the city of magdeburg as I shared with other the saints here on wednesday night When they had a saturday morning outreach at the public mall I watched the people come out with their shopping carts from these supermarkets in the different stores
37:25 -  And they were like corpses. They were walking corpses. They had biological activity, but that's all they had They were dead literally dead. There was no light. There was darkness or
37:37 -  grim But they think That biological activity and motion and movement and being able to buy and go into stores and fill shopping carts is living
37:49 -  But I saw right through that and I let them know what I saw I told them that their faces accused them that they're that What's the word?
38:01 -  Their the indictment Of God is written in their faces That they're dead even while they live and I didn't even remember that this verse was in here
38:11 -  But the statement was in their bodily life We need to see like that. That's how Paul saw And therefore we should not be impressed with physical motion with movement with bodies with cities with its death
38:25 -  And maybe the whole contest of what reality is and the whole invincible thing from beginning is a contest between death and life and death seems to be running the show
38:37 -  And people think that that their that their life is life when it's really death But we who are in relationship with God and supplications and in prayer and service Have the spirit of life know indeed what life is and we need to bring
38:52 -  The challenge of life to the dead and not be impressed with their death as if that represents life You see this is fanatical It's almost maniacal
39:03 -  The russian authorities would have every right to take a man like this and put him behind bars Or send it to a mental mental institution and shoot him up with drugs or give him shock treatments
39:15 -  Because his his view of reality Is totally askew It's not at all in keeping with what the world defines and recognizes as reality
39:25 -  And yet the issue for us and the issue for the church is Is Paul seeing? definitive
39:31 -  Is the way that Paul sees Is that true seeing and what is an apostle or a prophet these foundational men? But men who see as God sees and what is a church built on that foundation?
39:43 -  A church also that sees as they see and that this is reality though everything conspires against it If you're going to take a view like this, you're going to make yourself a candidate to be opposed Because this isn't some trifle. This is the very grit of what is real. What is life about? What is life?
40:03 -  See where Paul is getting at So this insanity is apostolicity This is definitive seeing
40:12 -  And out of this seeing comes all of Paul's conduct all of Paul's activity all of Paul's service all of Paul's sacrifice This is not just an observation that he can enjoy with a cup of coffee This is the the foundation of of the wellspring of all that he does
40:29 -  This is how he sees and because he sees like that. He speaks like this. He writes like this. He acts like this That's an apostle And we need to appreciate it
40:42 -  But the widow who lives for pleasure is dead even while she lives So give these commands as well so that it may be above reproach and whether it does not provide for relatives Especially for family members has denied the faith and is worse than an unbeliever an infidel. Here's another
40:57 -  uh The definition another absolute statement of a maniacal kind
41:04 -  Where Paul says in effect, I don't care what they profess to believe or how faithful they are to Be in agreement with certain doctrines or even have had a born again experience If they do not act in a certain way if that faith does not translate into conduct of a very particular kind
41:23 -  Toward their own they they're it's a it's a non-faith. They are as they are like infidels. They are as good as unbelievers You know, does it talk about radical? I don't know extreme and yet this is not the dyspeptic
41:41 -  Thoughts of a man who's out of sorts and has certain strange negative views these are the definitive apostolic statements of the man Paul Who is the chief apostle and we need to give very special attention to every one of his asides
41:59 -  Every one of his comments All the more powerful because he never thought or intended that they should be considered as programmatic As a way of defining faith. They're just observations that Paul is sharing with timothy
42:11 -  But in them we have the very ground of apostolic being all the more powerful because it's it's uh Off the cuff it's natural Not programmed natural natural it's it's just a man
42:28 -  Pinched him on the question of widows and the question of taking care of widows that are real widows And and you have an obligation don't give us this highfalutin spiritual stuff and neglect your own flesh and blood You're as good as an infidel your faith
42:42 -  Does not count for anything It's a denial of the faith it's worse than being an unbeliever. Why is it worse? Because it purports to be faith
42:52 -  You'd be better off in that kind of conduct to be an unsaved person Then you can still be reached and converted But having purported to be saved and and conduct yourself in this way makes it even worse
43:08 -  So let a widow Be put on the list if she's not less than 60 years old and has been married only once She must be well attested for her good works as one who is born of children shown hospitality
43:18 -  Wash the saint's feet help the afflicted the lord of the self to being good in every way Well, I'll tell you what we can use an army of widows like that They're rare
43:30 -  But refuse to put younger widows on the list evidently The church had a list Of widows that were put under the church's care. Maybe they didn't have relatives who could watch over them
43:42 -  So here's another wonderful insight the church's care for its own And uh to have a list to be methodical to make sure that no one is missed is not unspiritual and um
43:55 -  Paul is is describing who's to be included And gives that wonderful description of showing hospitality washing the saint's feet
44:04 -  helping the afflicted And devoting herself to being good in every way but refuse to put younger widows on the list For when their sensual desires alienate them from christ they want to marry and so they incur condemnation for having violated their first pledge
44:18 -  evidently These widows had at their widowhood made a public Declaration of determination that they're not going to seek to be married again
44:28 -  That they're now freed so to speak and to give their lives fully To the purposes of God and washing the feet of the saints and being devoted to their needs But evidently within a short period of time
44:39 -  Sensual need or interest has made them to contradict their first proclamation And uh Paul says they're not to be included before they have violated their first pledge Besides that they learn to be idle and getting about from house to house. They're
44:57 -  They're not merely idle but also gossips and busybodies Saying those things that they should not say and so on And
45:08 -  For some have already turned to satan to follow satan verse 15 If any believing woman has relatives who are really widows here again really Let her assist them
45:18 -  Let the church not be burdened so they can assist those who are real widows Insights So this is more than Paul's exaggerated statements they are definitive insights
45:40 -  Of what believing actually means This is not exaggeration for its own sake but the real
45:48 -  Revealing of the apostolic mind that sees beyond and through mere appearances to the reality That needs to be recognized
45:58 -  Of what is real Which is really a statement of how God himself sees it Apostolic seeing is God-seeing and then Paul turns to the subject of slaves
46:15 -  In chapter six Let all who are under the yoke of slavery regard their masters as worthy of all honor So that the name of God and the teaching may not be blasphemed
46:28 -  Those who have believing masters must not be disrespectful to them On the ground that they are the members of the church rather they must serve them all the more Since those who benefit by their service are believers and beloved
46:41 -  Well, you can't really fathom how great an issue Paul is touching When the protestant reformation came The peasants of germany took occasion
46:55 -  to revolt against their masters and interpreted The reformation as an invitation or an incentive to be in violent
47:07 -  revolution against Their masters they were serfs peasants and they were landowners If you knew that know the history of revolution
47:19 -  And the blood baths and the devastation that follows any attempt by man to rectify Social institutions through violence you would understand that what Paul is touching here is not just the issue of society
47:35 -  but the church itself If the church was not guided over this question It would almost be inevitable
47:43 -  That believers would interpret the freedom in christ as to be free from their masters and to come out from this social institution
47:52 -  That has long precedence, but that maybe they that the gospel means To be free and to be in a new relationship by which they no longer need to heed Their masters and that could have set in motion not only
48:07 -  Reverberations throughout society but probably could have undermined the church itself And made the church into some kind of revolutionary radical social upheaving Upheaval by which the faith itself would have become sublimated and it would have just become a cause for social action
48:24 -  That's not an exaggeration because that's in fact what has happened to the liberal social gospel of the 20th century So this is a an issue that is remarkably charged With with enormous concern
48:38 -  So what Paul has to say here is not just touching the issue of The relationship between slaves and their masters
48:46 -  But the whole issue of the church itself is at stake in the kind of wisdom and counsel that he gives I'm going to go back and forth between my king james and the edition that i'm been using so far And read from other statements of Paul on the issue of
49:13 -  Bond and free because it's a remarkably significant Thing and an issue that could have destroyed the church So in the
49:31 -  ephesians chapter six or other statements of Paul on the same subject That fill out something of the ramification Of servants and
49:43 -  Masters you understand the predicament Both are now saved And shouldn't the servant
49:51 -  Who is now saved demand and expect from his master a new kind of relationship and consideration? And maybe to take it easier on him if he'll not release him from bondage to at least take it easier and in other ways show that Well, i'm a believer now and therefore you ought to receive certain
50:12 -  Consideration that was not to be expected before I came into the faith But Paul is saying what happens if your master does not give you those considerations even though he's saved Are you at liberty then to become resentful and bitter toward him all the more because you could call him a hypocrite
50:28 -  And what kind of believer are you and is that the kind of faith you have that has not in any way altered my relationship With you i'm still expected to work those many hours and without the compensation that would be fair This is no small question
50:44 -  And it's in these social issues that Paul is required to give comment that we see so much of the wisdom Of the mind of christ that is operating through Paul. That would be of great value even today Not that we're in the serve issue of being
51:00 -  Slaves to masters, but we're in the issue of being employees to employers And there's a certain application that is as valid in that as was valid To bond slaves with their masters. That is the issue of the faith itself
51:17 -  So in ephesians in chapter 6 Paul says servants in verse 5 be obedient to them that are your masters according to the flesh
51:26 -  With fear and trembling in singleness of heart as unto christ Don't look at your master as just being a piece of flesh and blood You're not laboring for him
