Israel   A Prophetic Glimpse
09:25 -  And he says in verse 6, I relieved your shoulder of the burden. Your hands were freed from the basket. He means the basket where the Jews that were enslaved in Egypt were carrying mortar and bricks
09:40 -  and doing all of that vain work for the Pharaoh. God says, I delivered you out of that. In distress you called and I rescued you.
09:50 -  I answered you in the secret place of thunder. I tested you at the waters of Meribah, a reference to not only deliverance from Egypt, but movement through the wilderness en route to the land of promise.
10:05 -  And then out of this historical review, God is always calling Israel to be reminded of their deliverance out of Egypt. It is the primal event of our national history.
10:17 -  There's no knowledge of ourselves as the nation except in the remembrance of having been brought up out of Egypt by the supernatural power of God. This is the great event that marks us and established our nationhood
10:32 -  out of bondage and that Sinai prior to the entry to the land. And yet it says in Jeremiah, you will no longer remember me as the God who brought you out of Egypt. What?
10:44 -  This being brought out of Egypt is the classic definitive event of our nationhood. How then will we remember you? You'll remember me as the God who brought you out of every nation wherein I have cast you
11:02 -  and restored you and brought you back to the land. That, dear saints, is future, which implies that there's an exodus for world jewelry that will eclipse even Israel's deliverance out of Egypt.
11:16 -  That was only out of Egypt. God says, now I will bring you back from the nations wherein I have scattered you to the uttermost corners of the earth.
11:24 -  And you'll remember that because I'll bring you back out of such desperation, such hopelessness, so beyond any human ability to provide that you will know that you will know that I am the Lord who has spoken and done this.
11:40 -  If that's true and we're at the threshold of both that expulsion and that return, what ought to be our posture, our attitude, our prayer, our involvement? This galvanizes the church.
11:54 -  This calls the church radically to become the church for if we will not extend mercy that they may obtain mercy in such a shifting through the nations in our nation, how shall they return at all?
12:06 -  How shall the redeemed of the Lord return to Zion unless someone has first succored them, taken them in, even at risk? Oh, odd, I can't believe that something could take place in America
12:19 -  of a kind where Jewish life would be threatened and Jews would be in flight from persecution and either the government is in concert against them
12:28 -  or help us to defend them from the Islamic presence that is even in our own nation. And that unless Christians will extend mercy, they'll not obtain mercy. Well, you need to read that and understand that
12:43 -  in the context of Matthew 25, where the now-ceded Lord, after Israel's restoration, waves and judges the Gentile nations one by one separating sheep from goats
12:57 -  and pronouncing either eternal judgment of being cast into a lake of fire with the devil and his angels or calling the righteous to inherit the kingdom prepared for them.
13:06 -  And what has distinguished the one group from the other, both of whom say Lord? Lord, when do we see you hungry, thirsty, naked, and imprisoned? He said, as you did not do this, for the least of these, my brethren,
13:20 -  you did not do it unto me. Oh, you dear saints, I'm so grateful now for tonight. This is more than a little cherry on the cake.
13:30 -  This is something that you need to hear of the kind that I had to speak outdoors last night in Raleigh at a Messianic congregation where I wanted a runaway
13:38 -  and I said to my brother, let's find the exit. I'm totally out of place. They're too happy. They're too rejoicing.
13:45 -  They're celebrating present Israel as if there's no tomorrow. They have no notion of the apocalyptic devastation that's to come. I don't want to spoil their fun.
13:54 -  He said, you've got to. If they don't hear it from you, they'll not hear it. And they heard it.
14:01 -  And remarkably, they received it. It changed the whole character of that night and that proceeding. The spirit of God fell. A depth came into that people.
14:09 -  They did not lose their joy, but they gained a comprehension of truth and reality that will fit them to be participants in Israel's last day restoration.
14:18 -  And I'm praying the same for you. So listen to God's cry after he reviews what he has done for Israel in verse 8.
14:31 -  Hear, O my people, while I admonish you. O Israel, if you would only but listen to me. You know what our great and famous prayer is
14:45 -  that Jews recited as they went into the ovens of Auschwitz? Shema YIsrael, Adonai Eloheinu, Adonai Echad. Hear, O Israel, the Lord your God is one Lord.
14:56 -  When are you going to hear it? Really hear it. For who is this one who allowed Jews to fall at his feet and call him Adonai, my Lord and my God?
15:04 -  And he said, blessed are thou, who forgave men their sins, who acted with all the authority of God. Hear, O Israel, because you're going to be encountered by a man who sweats.
15:19 -  And he'll have no distinction or a place to lay his head. He'll have no rabbinical credentials, but he'll forgive men their sins
15:28 -  and speak with the authority of God and raise the dead and will be himself raised. Hear, O Israel, but I want to say hear, O Church.
15:39 -  Can we hear, O Church, because there's already a famine for the hearing of the Word of God in this land, not for the want of its proclamation so much as the ability to hear it.
15:50 -  Why wouldn't we be disposed to hear the Word of God? Because the Word of God always brings requirement. The Word of God always raises the cross.
15:59 -  The Word of God is ever and always an invitation to sacrifice and to suffer, and therefore we will not hear it. It's a miracle that I'm before you tonight,
16:11 -  only by the grace of God. Whatever the circumstances of how this was arranged, I don't know, but this is the love of God towards you,
16:21 -  to put a specimen like me before you with such a word and such a perspective. It's uncommon, I trust, to be grateful and know that I'm not boasting in myself,
16:35 -  but I know my call and I know my responsibility, whether in Wall-E or in Jerusalem, to speak the Word of God and the perspective that God has privileged to give me,
16:46 -  in which my own Jewish brethren are sending letters and calling German pastors not to have me speak and that my meeting should be boycotted.
16:55 -  And a brother whom I've known that lived knows for 30 years sends a five-page fax to the pastor in Innsbruck, Austria that he should reconsider about having me,
17:05 -  because God is going to inculcate anti-Semitism in German-speaking people in the way that he speaks of Jerusalem. There's a cry, dear saints, that needs to open our own ears as the Church
17:24 -  of Israel would but only listen to me. There shall be no strange God among you. You shall not bow down to a foreign God.
17:32 -  I'm the Lord, dear God, who brought you up out of the land of Egypt. Open your mouth wide, I will feel it. But my people did not listen to my voice.
17:43 -  Israel would not submit to me. You know what the prefix sub means? Submarine, subordinate, subliminal.
17:53 -  It means going under. My people would not go under to me. They would not submit to my authority, to my way, to my call.
18:05 -  They're headstrong and heady and high-minded, and even now in the midst of the worst crisis that confronts the nation, there's not even a thought of turning to me.
18:13 -  But increasing armaments or negotiation or allies are some way to extricate themselves humanly through the flesh of their arms, their own wisdom,
18:22 -  but no thought of me. Oh, that my people would listen to me, that Israel would walk in my ways. Then I would quickly subdue their enemies
18:35 -  and turn my hand against their foes. Look at the remarkable play, submit, subdue. You submit to me, I'll subdue your enemies.
18:45 -  I'll bring your enemies under if you come under me, my authority and my call. Believe in salvation, come on you modern Christian saints.
18:54 -  Do you believe that God can intervene in Israel today, divinely, that he can turn around, that he can confound their enemies now as much as he did in 2 Chronicles 20 in the time of Jehoshaphat?
19:05 -  Or has God changed? Or is he the same today, yesterday, forever? Or would you say you would be embarrassed
19:11 -  if God would today intervene in the affairs of men? After all, Art, these are modern times. Sorry about that, but I have the naive faith to believe
19:22 -  that God is able to intervene and show his power and turn their enemies against each other and save Israel from their predicament
19:32 -  if only they would turn and submit to me. I would turn my hand against their foes, and those who hate the Lord would cringe before him
19:45 -  and their doom would last forever. I would feed you with the finest of the wheat and with honey from the rock, I would satisfy you.
19:54 -  Oh, I'm not doing this justice. No man can. But can you hear the plaintiff call of God?
20:02 -  Can you hear the ache of his hand? Can you hear the ache of his heart? That he's there ready and able to show himself
20:11 -  in the same power and authority that brought Israel out of Egypt and from the hand of the Pharaoh
20:17 -  and brought them to a wilderness and land of promise is the same God still, but Jewish unbelief, secular minds,
20:26 -  confidence in the arm of the flesh, in armaments and negotiations and treaties. We are the personification of modernity.
20:34 -  We are modern, secular, and we are embarrassed to consider that this is anything more than poetry.
20:42 -  Come on, Art, this is a Jewish book. This is not God speaking actually. That's what I used to think
20:51 -  until I picked up a Jewish book aboard the deck of a Trance steamer 37 years ago. First time I ever picked up that book
20:59 -  called The New Testament. And I was a history teacher, and would commend to my students
21:05 -  going directly to the primary source. I never went to it myself. Only by inadvertent circumstance
21:11 -  by a fellow Jewish passenger who was given a pocket New Testament as he boarded ship in New York
21:17 -  did I have access to this book and wanted to read it for the first time because I was intrigued and moved
21:23 -  by the strange people who picked me up off the side of the road and were not afraid.
21:29 -  And in the very first reading, as a deck passenger, the cheapest way to go, we weren't inside in a stateroom.
21:36 -  We were on the deck in a sleeping bag. And with the light coming out of the porthole while the well-paying passengers were living it up,
21:43 -  I'm reading The New Testament. I can't think of a more appropriate setting to read the book of God
21:50 -  than was my experience in the Gospel of John. And something was being kindled in my spirit. Hey, this Jesus is different
21:57 -  than the stuffed paper mache figure that had been represented to me that's dangling on a cross like a ballet dancer
22:04 -  against the background of velvet. This guy's real. He's making preposterous claims.
22:10 -  He's saying, if you see the Father, you'll see me. If I ain't a father of one, I didn't know there was a father
22:16 -  until he said so, that he came from him and spoke by him. And then the woman taking the act of adultery,
22:22 -  well, he's finished now. What is he going to say? He said he came to fulfill the law.
22:28 -  And what heightened my predicament the more was I was an adulterer myself. And I deserved that same judgment,
22:36 -  and I was trembling. Unless you've read The New Testament like that, you've not read it.
22:43 -  Until we begin to live in the kinds of conditions that the first church lived, to receive the epistles of Paul
22:50 -  as a life-saving provision in the crisis of the sharp edge of faith in a world that was hostile against them,
22:56 -  the Bible, for us, only Bible studies. And it will become for us again a crisis provision
23:05 -  when we will be living again in crisis in our last days fidelity to the Lord in a world that is still
23:11 -  at enmity with God. And so when I saw the woman caught in the act of adultery,
23:19 -  I thought, well, my hero's finished. Karl Marx went down the drain, and Erich Fromm went down the drain,
23:26 -  and Freud went down the drain. Now another new Jewish hero down the drain. What is he going to say?
23:32 -  Saint who fulfilled the law lost his death by starting. Come on, Katz, you're clever.
23:38 -  Keep your finger in a book and think of an answer that you could give. Well, I thought and thought
23:44 -  in all of the power of intellect with which I was then endowed, and I came to this conclusion,
23:50 -  there's no human answer whatsoever and dear saints, that's where we need to be brought,
23:56 -  where there's no human answer for the predicament to which we have been brought.
24:02 -  So long as we have a human answer, we're not in a radical place of faith and dependency upon God,
24:08 -  and that's why the Lord is going to bring my Jewish people to the bottom, where they'll have no answer in themselves,
24:14 -  their skills. Steven Spielberg, the multi-billion dollar dream factory
24:20 -  is staggering in the stink of his own sweat and one single shirt for God knows through what wilderness
24:26 -  that God will bring him in order that he be stripped of all of the amenities
24:32 -  of the world and of life that disguise for men the true issue of eternity.
24:38 -  He'll hear this little small voice when the clatter of his own mouth has stopped as mine was.
24:44 -  And so, no human answer, I opened the book, and I saw him on my hand.
24:50 -  What can this man say? And he was looking down on the earth poking his finger in the dirt,
24:56 -  and these men with their eyes blazing around him ready to do him in. Not because they're Jewish,
25:02 -  but because they're Pharisaical. Not because they're Jewish, but because they're keeping
25:08 -  their religious establishment intact and this man is somehow a terrible threat then and now.
25:14 -  And he looked up, and said to him, who's without sin, cast the first thing.
25:20 -  Oh, you said, oh, I've read that many times. For me, dear Saint, it was the first time.
25:26 -  I had never heard it before. The line came up off the page and into my eyes and my head
25:32 -  and went down. It didn't stop with my head. I thought everything was my head, the intellect, the idolatry of Jews.
25:38 -  No, like a sword. Like through, I was cut through,
25:44 -  I was trembling, and I knew that I knew that I knew in a moment of time there's a living God.
25:50 -  I'm reading his book. I don't know how it came to be, how could he preserve its integrity? But it's a revelation
25:56 -  to the word of Jesus in utter crisis of predicament for which there's no human answer.
26:02 -  And I didn't shout hallelujah. My first thought was, what's your mother going to say about this?
26:08 -  And she said it. What about your intellectual colleagues? My intellectual colleagues, and they said it.
26:16 -  Oh, Lord. You have fed me with the finest of the wheat since that time.
26:26 -  And honey from the rock. I'm a blessed man. I'm a privileged man.
26:32 -  What you give me an insight and understanding, the privilege, the proclamation of your word
26:38 -  in the many places of the earth we have brought you, where life and death is at stake, where great issues,
26:44 -  pundress, waiting, are being transacted, Filipino ministers and conferences
26:50 -  and I don't know what you've given me the wheat, the finest of the wheat, precious insight, revelation, understanding
26:56 -  the privilege of its proclamation, honey from the rock. 72 years old.
27:02 -  And I'll challenge you to erase around the building. I said to my brother when we started out today,
27:08 -  this is the last day of seven weeks of travel after the seven weeks that preceded that and the seven weeks and I feel
27:14 -  as fresh today better than the day that I began.
27:20 -  He not only gives the finest of the wheat, he gives the finest of himself.
27:26 -  To live through the sun as the sun had lived through the father. For he who had the sun
27:32 -  has life. And I'll tell you what, it's inexhaustible.
27:38 -  It's full of wisdom, full of glory, it's rich, full of mercy, a word in season
27:44 -  on every occasion. I've yet to be left wanting for a word, not for my reputation
27:50 -  but for the life and death things that are before me. The anointing, the oil of God,
27:56 -  the holy anointing oil upon man's flesh that shall not be poured. I've not wanted for anything.
