TV Show 12 Joseph and Revelation

00:00 -  Ben Israel with Art Katz and Paul Gordon. Shalom. Welcome again to Ben Israel.
08:40 -  He revealed the Father as we spoke in a previous telecast. For God hath revealed them unto us by His Spirit. And there's no other way for such knowledge to be made available unto men.
08:55 -  Now, Paul, is this a New Testament doctrine, is this a new wrinkle, is this a novel alteration of God's way that has taken men by surprise, and especially our Jewish kinsmen, who will lean more to the older way, to the Talmudic way, to the way of scholarship, or is this
09:12 -  the way that God has ever and always chosen for His revelation? You know, it's interesting, that question, because this particular way right here is returning us to the original pattern.
09:24 -  Now, on what basis do you make such a statement as that? I think we can go right back to the book of beginnings, Genesis, and we can look at the account of a Jewish man by the name of Joseph and some of the problems that he went through
09:39 -  when his brothers who were jealous of the love that Jacob shown unto Joseph sold him into slavery, he was taken down into Egypt, and I would say some very remarkable things happened.
09:51 -  I think we have to pause here and maybe we'll spend more time on this in a future telecast. Joseph is a remarkable story, and what an enormous symbolic suggestion of another brother who was despised of his brethren, a dreamer whose words the brothers would not receive,
10:10 -  who was the envy of him because he was beloved especially of the father and he had a special coat and was cast into a pit and sent forth in a sense rejected to die, but who by his great faithfulness in submitting to this treatment and yet loving his brethren was able in a
10:28 -  day when great famine came to succor them and to provide for them that they might survive and have plenty. It's a wonderful story.
10:39 -  I think in the 39th chapter of Genesis, God gives us a rich representation of the things which we're suggesting is really a fundamental aspect of his original and true Judaism. I think the first line of that first verse in the 39th chapter is a key line, and Joseph
10:57 -  was brought down to Egypt. People as a bringing down before there's a lifting up, there's a God who will exalt those that are abased and looks with anger upon those that exalt themselves.
11:12 -  He says he'll humble the proud, he'll knock the proud right down to the knees, and he'll exalt the humble. This is what I'm talking about.
11:23 -  What is a requirement from God, a condition by which alone his revelations can be tended to men? I think God's interested in us opening our hearts to him completely and to be willing
11:37 -  to give up the lordship of our own lives. Remember what we said to this man with whom we had this conversation today, precious, well-meaning and sincere fellow, but so highly placed in the Jewish community, in so prestigious
11:49 -  a place that I said to him, if what we're representing to you is true, would you receive it? In other words, would you show forth a heart to God, would you cry at him and say, Lord,
12:01 -  I am willing to receive the truth and pay what cost shall be required of me, if you but make it known. And I tell you that except that God first sees a heart like that, he shall not reveal
12:12 -  his truth. That really is an important question because he, like many others, really are forced to count the cost.
12:21 -  And it's not an easy thing to take a revelation that might mean everything that you've worked for, everything that you've stood for, everything that you've believed in, and all of the prestigious looks, covetous looks others give you because of your high placing in the community might
12:42 -  all go down the drain because of this revelation. Look at the misunderstanding we ourselves suffer, but we're not whining about it and we're prepared to pay such a price and more, and we know that it shall be required of us.
12:52 -  But there is a trembling, there is a fearful price, the revelations of God are not cheap, they require commitment and they require the obeying and the doing of them. And God says, to this man I shall look in Isaiah, he is of a contrite and broken spirit
13:05 -  who trembles at my word. We've got to be abased before God will exalt us, we've got to come to a place of true humility and humbling.
13:12 -  What happened to Job also? Job was a self-righteous man, and God dealt with him completely through the particular Book of Job until he finally came to that place where he caught a vision of the holiness
13:24 -  of God, and he said, I abhor myself and I repent in self-pity. It seems to be the classic pattern of God dealing with men, as my own book accounts, that when I came to a place of brokenness and contrition, a place in the sense of repentance
13:39 -  for the failure of my life and my stupid and grandiose notions of saving the world when I was incapable of saving myself, that then in that trembling I was in a position to hear the still small voice of God.
13:50 -  Joseph was brought down to Egypt, and then God brought him up. And we read in the second verse, the Lord was with Joseph, and he was a prosperous man in the house of the Master, the Egyptian, when the Master saw that the Lord was with
14:01 -  him, that the Lord made all that he did to prosper in his hand. He was obviously one blessed of God, lifted up by God, and then we come to this enormous encounter in the seventh verse of that 39th chapter.
14:16 -  It came to pass after these things that his Master's wife cast her eyes upon Joseph, and she said, Lie with me, but he refused, and he said unto his Master's wife, Behold, my Master knows not what is with me in the house, and has committed all that he hath to my hand.
14:30 -  There is none greater in this house than I, neither has he kept back anything from me, because thou art his wife. How then can I do this great wickedness and sin against God?
14:40 -  How did he know that? What a mensch! What a moral constitution!
14:46 -  In fact, I'm not doing him justice. This is more than mere moral predilection. There was a shudder expressed here, an innate horror against sin.
14:56 -  What is it that you just asked? Well, how did he know it was even sinning against God? This is at least a couple of hundred years before the law came down from Sinai.
15:03 -  How then can I do this great wickedness and sin against God? That's really a question, Paul. How did Joseph know, centuries before the giving of the law at Sinai, that thou shalt
15:14 -  not commit adultery? How do men obtain this knowledge of God is really the question which we're discussing today.
15:24 -  It seems as if the law, when it came, was a, what can I say, a substitute for a more primary way of the knowledge of the way of God, which we suggest comes by revelation by the Spirit to those who know Him.
15:40 -  Even before this, we've talked about this on a previous show, so we don't have to go over it completely, but even when Jacob was confronted by the angel, it was revealed to him that he was at a crossroads in his life, and lest he be blessed, he would perish forever,
15:58 -  I think, and that's why he held on so teniously. The integrity of this man gives evidence of one who has gone far beyond anything that's moral and ethical.
16:08 -  When we consider the treatment which he had been suffering, rejected of his brothers, unjustly accused, called a dreamer, cast into pit, sold into slavery, in servile service in Egypt, in an Egyptian's home, and now being accosted by his wife, and we're going to learn
16:27 -  what is the consequence of his right standing before God, his unwillingness to condescend to these blandishments and these temptations, that he even, at a point where she dragged at his garment, he left and fled and got out, and holding this garment as indictment, she
16:42 -  accused him before the others in the house and her husband as having sought to lie with her. And so what happened?
16:48 -  His master heard the words of his wife, which he spoke unto him, saying, After this manner did thy servant to me that his wrath was kindled, and Joseph's master took him and put him into the prison, a place where the king's prisons were bound, and he was there in prison.
17:00 -  And he suffered persecution in his obedience to God, in resisting the temptations daily, come lie with me. Those that live Godly lives in Christ shall suffer persecution.
17:13 -  That call of Potiphar's wife to Joseph, come lie with me, is no different from the call of the world today to the believer. Exactly.
17:20 -  So here's a man a second time, in a sense, sent down into a pit, humbled, abased, and all the more for his diligence in serving God and trying to walk in God's way, even before the law had expressly been given.
17:34 -  Now God brings such a man again and again, up from the dungeon and brings him to a place of blessing. We read that God was with him again, made him to prosper, and we know what was the device
17:45 -  that God used to bring Joseph again out of that dungeon? I'd say it had to be absolutely revelation and nothing short of that. How do you mean that?
17:52 -  Well when the pharaoh dreamed his two dreams concerning the lean cows and the fat cows and concerning the famine coming to the land, God absolutely revealed to Joseph the meaning of these dreams.
18:09 -  It was an absolute supernatural revelation by God. How well did the counselors at the court of Pharaoh do in being able to give Pharaoh answer? Well, of course they couldn't give Pharaoh any satisfying answers at all.
18:22 -  You know what this suggests to me, and I hope that the scholars will not think me insulting, but it suggests that human ability reached the limit. Men no matter how well-meaning and well-intending, in fact their very lives were hanging in the
18:38 -  balance in their ability to answer Pharaoh, yet by their own devices they were unable to give Pharaoh answer. They were unable even to describe to him his own dream.
18:48 -  And here was this lowly Hebrew, despised of the Egyptians, despised even of his own brother, but one who walked in an immaculate way with God, brought forth out of the dungeon to give Pharaoh answer, and the pharaoh thought, well maybe this is some kind of a freaky guy
19:02 -  who's got some strange way of rubbing the sticks together, and I love the answer that Joseph gives him in the 41st chapter, where Pharaoh said unto Joseph, I've dreamed a dream and there's none that can interpret it, and I have heard say of thee that thou can't understand
19:15 -  the dream to interpret it. We have some kind of magic greater than my own counsellors, and Joseph answered Pharaoh saying, it is not in me, God shall give Pharaoh an answer of peace.
19:28 -  People of the Judaism, which is the Judaism of God, is a Judaism which recognizes that every good and perfect gift cometh from above, from the father of light, in whom is no shadow nor variableness of turning, and that we cannot, at our own human strength, give the answers
19:45 -  that the world so desperately needs. It's not in us. God shall give an answer of peace, and perhaps the question for you today is, are you willing
19:54 -  to receive such an answer, it's a costly answer, that will require much of you, but also give you much, eternally much, that the world itself cannot give, and we know of course that God did give Pharaoh answer, and Joseph was perfectly able both to recount the dream and to interpret
20:11 -  the dream, and then we come toward the end of the 41st chapter where Pharaoh is stunned at what this lowly Hebrew is able to reveal, because God chooses the lowly things, doesn't he Paul?
20:23 -  Yes, he does. Isn't that his pattern? To choose the things which are foolish, to confound the things which are wise and the
20:28 -  things which are mighty. Yes, that's right. Why don't you read that 38th and 39th verses for us?
20:34 -  Let's start at 37, and the thing was good in the eyes of Pharaoh, and in the eyes of all his servants. Pharaoh saw something in Joseph, and Pharaoh said unto his servants, can we find such a
20:48 -  one as this, in whom the Spirit of God is? Isn't that phenomenal? Pharaoh, who is representative and symbolic of all the evil in the world, recognized in
21:04 -  Joseph that he was a man in whom the Spirit of God dwells. That's high compliment. It really is.
21:11 -  Because I tell you that only too often those who call themselves God's people are incapable or perhaps unwilling to recognize who the men of God is. Do you remember that in the book of Acts when the apostle Paul was brought to Philippi by
21:27 -  the revelations of the Spirit of God, where he saw a vision at night of a Macedonian beseeching him, come help us, that they were trailed, these two Jewish men by this demoniacal woman shrieking in its hysterical voice, these men be the servants of the Most High God who shall
21:40 -  show unto us the way of salvation, and this did she many days. But the Jewish people of the community and others who thought themselves religious looked upon these men as radicals who were worthy of being only publicly whipped and being cast
21:51 -  into prison. I tell you people, there's ports for thought, that when a demoniacal woman can recognize who the servants of God are, and when a Pharaoh who is the very symbol and the type of Satan
22:03 -  himself must recognize that in this lovely Hebrew, such high compliment as this, can we find such a one as this, a man in whom the Spirit of God is. Oh yeah.
22:16 -  People, that was not just a rhetorical flourish, but a description of a real relationship with God by the Spirit, of a Spirit that dwelled in this one cast into prison that enabled him to give answer to Pharaoh.
22:32 -  Can the Pharaohs of this world say that to you today? Can they say to you? And I don't know who you are who are watching us today.
22:39 -  You may well be a minister of a church. You may play the organ. You may be a Sunday school teacher.
22:44 -  You may consider yourself very religious, very Jewish, very proud, but here's the real ultimate test. Can the world look at you and say, can we find such a one as this, in whom the Spirit
22:56 -  of God is? And Pharaoh said unto Joseph, for as much as God has shown these things, showed thee all this, there is none so discreet and wise as thou art.
23:08 -  Oh, those words just warmed the cockles of my heart. And people, it's not because we covet being wise, or we covet the admiration of men or the plaudits of men or the awards of men.
23:21 -  But I would just ask, has there ever been a generation, Paul, when men have more desperately needed the counsel and the wisdom of a living God? I don't think so.
23:31 -  I think that we're seeing things in this day and age today that we never dreamed would have been possible even 20, 25 years ago. What kinds of things?
23:39 -  A world in absolute rebellion, children corrupting the world, parents in absolute rebellion against each other, drugs running rampant, every filthy type of thought and this. Satan is right, witchcraft, your cult practice is violent.
23:54 -  Phonography, you name it, it's here. Now, you're a bright fellow, Paul. Didn't you belong at one time to some kind of a club or an association for intellectuals?
24:03 -  Yeah, right. But I want to ask you at the same time, how were you living your life? Well what Art's referring to, I was a member of Mensa for a couple of years until I got
24:13 -  very disillusioned. I went to a couple of meetings and I found that highly intelligent people can many times be absolutely pseudo-intellectual with no real foundation in their lives whatsoever.
24:27 -  And during the time that I was flaunting in this seat of intellectuality, I was living a very unsatisfied and almost amorous life. I think that's a wonderful expression of the condition of most men.
24:41 -  In fact, God tells us that the children of this world are wiser than the children of God. But in our wisdom, we're still unhappy, broken and distressed.
24:48 -  And I want to end today with this. It's interesting that when God touches a man, his name is changed. Pharaoh himself had to give Joseph a new name.
24:55 -  We recall Joseph's name, Zafnaf Paaneah, and we read that that name means the man to whom secrets are revealed. There's a precious secret that God would reveal to you, ladies and gentlemen, Jew and Gentile
25:06 -  who are watching us. It's the secret of who Jesus is, that you might know him, love him, serve him and worship him.
25:13 -  Come to that revelation which is the foundation of all truth and knowledge and that wisdom alone by which a life may be truly lived. We pray that you'll show God a heart that is willing to receive it and that he'll give
25:25 -  you, even this day, a revelation by his Spirit that will be unto life eternal. Let's sing, Paul, shall we? Yeah.
25:33 -  Bless the Lord, O my soul. Yes. Bless the Lord, O my soul.
25:40 -  Bless the Lord, O my soul. And all that is within me, bless his holy name. God bless you today.
