Apostolic Foundations - Preaching

00:00 -  Praise the Lord. Oh hallelujah. You better watch me this morning.
07:33 -  God says that he has exalted his word above his name. God says that he has exalted his word above his name. God says that he has exalted his word above his name.
07:51 -  In the beginning was the word. The spirit of God brooded over the chaos and over the face of the deep that was without form. The spirit of God brooded over the chaos and over the face of the deep that was without form.
08:08 -  And God spoke and said, let there be. And God spoke and said, let there be. On the Mount of Transfiguration, three of the Choices disciples saw Jesus in his transcendent glory together with Moses and Elijah, the prophets and the law.
08:24 -  On the Mount of Transfiguration, three of the Choices disciples saw Jesus in his transcendent glory together with Moses and Elijah, the prophets and the law. And being the kind of impulsive man that Peter is, let us build for you. And Peter, the impulsive man that he was, said, Lord, that we may rise here, fight here.
08:44 -  It's good for us to be here. It's good for us to be here. And while he yet spoke, a bright cloud came over them.
08:51 -  And while he yet spoke, a bright cloud came over them. And the voice of the Father rang out and said, Shut up!
09:03 -  This is my beloved Son. Hear ye Him. And when they heard that, they fell on their faces.
09:15 -  They were so afraid. But Jesus and the grace of God came and touched them. But Jesus and the grace of God came and touched them.
09:27 -  And said, Be not afraid. Rise and be not afraid.
09:36 -  Rise and be not afraid. That was more than just a little courtesy. That was the creative word that established the heavens and the earth.
09:50 -  Speaking to us not just a reason for not being afraid, Speaking to us not just a reason for not being afraid, Speaking to us not just a reason for not being afraid,
10:03 -  But the very enablement, and creative power, not to fear, Because he said so. Because he said so.
10:16 -  He spoke a word into our being, He spoke a word into our being, A creative word,
10:23 -  A creative word, That established an event, That established an event,
10:28 -  That affected a change, That affected a change, It was not spoken to inform,
10:35 -  Be not afraid. Be not afraid. We need increasingly to expect this kind of apostolic and prophetic speaking.
10:46 -  And we need increasingly to expect this kind of apostolic and prophetic speaking. Men who bring us words not just to strengthen our understanding, Men who bring us words not just to strengthen our understanding,
11:01 -  But actually establish our foundations, But actually establish our foundations, I hope that you will not think that this is a boasting,
11:11 -  I hope that you will not think that this is a boasting, But I have to draw on what little modest experience I have, But I have to draw on what little modest experience I have,
11:21 -  I must draw in the little experience so that I can have myself, Because I am seeing in my own experience this is becoming increasingly real. Because I am seeing in my own experience this is becoming increasingly real.
11:31 -  So about a year ago we came to Tiberias, So about a year ago we came to Tiberias, We've been there many times before.
11:39 -  We've been there many times before. Oh, they had a kind of a shabby, charismatic Saturday night turnout. Oh, they had a kind of a shabby, charismatic Saturday night turnout.
11:48 -  A bunch of transients that move in and out. A bunch of transients that move in and out. No real stability.
11:57 -  No real stability. People just coming for some hopeful fellowship. And we came without any intention.
12:07 -  And we came without any intention. We were just simply there, by the providence of God. We were just simply there, by the providence of God.
12:16 -  But some earnest men who lived in that area had an anticipation for our coming. But some earnest men who lived in that area had an anticipation for our coming. They said, we sense that God wants to do something through you.
12:25 -  They said, we sense that God wants to do something through you. I didn't sense anything. I didn't sense anything.
12:34 -  I was tired. So they called a special meeting. So they called a special meeting.
12:43 -  And the disillusioned came. And the disillusioned came. Those who were depressed.
12:51 -  The hopeless. Those who had been waiting for something to be formed in Galilee and had just about given up hope. But those who had been waiting for something to be formed in Galilee and had just about given up hope.
13:02 -  But those who had been waiting for something to be formed in Galilee and had just about given up hope. And I spent the day with Gary, my traveling companion, in fasting, and in prayer. And I spent the day with Gary, my traveling companion, in fasting, and in prayer.
13:13 -  And we came that night with two three Bibles and spoke. And we came that night with two three Bibles and spoke. And the Lord gave the theme, the Body of Christ.
13:27 -  Do you know what happened? The Body of Christ was born in Galilee by the word which came. They were not instructed about the Body of Christ.
13:44 -  That may have come incidentally. But the word established the event. I invite you to go and to feel and to taste and to see.
14:00 -  There is an established expression of the Body of Christ in that place now. There is an established expression of the Body of Christ in that place now. About a week ago I spent an evening with five of its elders.
14:18 -  Who recited to me the blessings that have come to them through persecution and harassment. Who recited to me the blessings that have come to them through persecution and harassment. I'll tell you how real that entity is.
14:37 -  The powers of hell have raised up against it. The windows of its meeting place have been smashed, the building has been burned. The mayor has invited them to leave town.
14:57 -  But they're not leaving. Something has been burnt in this plant that something has established. By the word that has come.
15:13 -  Paul says in Thessalonians again in the second chapter. In the 12th and 13th verses. After exhorting the saints to walk in the manner worthy of the God who called them to his kingdom and his glory.
15:40 -  He says for this reason we also constantly thank God. We constantly thank God. Indicates a consistency.
16:01 -  Of something that was not fitful in jerks and spurts. What was consistent from him. That when you receive from us the word of God's message.
16:17 -  You accepted it not as the word of men. But for what it really is. The word of God.
16:32 -  Which also performs its work in you who believe. Not just believe abstractly. But who believe that.
16:47 -  That the word that has come to them through a man. Is not the word of men. But they believe what it was for what it really is.
17:01 -  The word of God. And because they believe that. It performed a work in them.
17:11 -  That's how God changes us from glory to glory. By the word that performs a work. That's why my spirit is rejoicing today.
17:23 -  A work has been performed in me. Beyond even your conscious understanding. Because the word that has come to you has not been the word of men.
17:35 -  But of God. And do you want to hear something interesting? There has nothing that has turned men to a frenzy and to a fury against me more.
17:48 -  Than the fact that I insist on this fact. But Art, still. Go slowly.
18:00 -  We know you're given to an exaggeration. You like to use picturesque phrases. When you say that it's the word of God.
18:09 -  Come on, it sounds too much like you. Listen, it's too much like you. Come on, it sounds too much like you.
18:17 -  It's your personality. It's your New York Jewish accent. How could it really be God's word?
18:26 -  If it was God's word it would sound differently. It would sound like thus saith the Lord. You see what you're losing because you're romantic?
18:40 -  Because you idealize things? Because you project your image and refuse to receive the image that is God's? From the preaching point of view, last night was not a delight.
19:03 -  That's been true on several occasions in these days. It had nothing to do with my enjoyment. Or even my selection.
19:14 -  I had only one thing before me. To be obedient to speak the word that is given. Which alone performs a work in them that hear that.
19:34 -  If you choose not to believe that. It becomes for you another kind of word. One that you like or you don't like.
19:45 -  Interesting but not interesting. You lose the entire value. The work is not performed in you.
19:55 -  Do you understand what is in God's heart now? To elevate the whole expectancy of the church in terms of the word that comes to them. Instead of coming to the place of the congregation with a weary kind of resignation, another service.
20:20 -  They come in the anticipation of a creative event by the word which is spoken. They come in the anticipation of a creative event by the word which is spoken. They come in the anticipation of a creative event by the word which is spoken.
20:43 -  And by such continual speaking. We are moved from glory to glory. How else shall we go from where we presently are?
20:57 -  To where God bids us apostolically to be. Except by the word which is sent. By the word which is spoken.
21:10 -  And we ministers are guilty. Do you know why you do not expect to hear that kind of word? Because we have not the faith to believe that we are speaking it.
21:28 -  There needs to be an elevation not only for the congregation but the ministers as well. A whole qualitative elevation of our faith. And a kind of insane jealousy that we will not speak anything other than the word that is given.
21:57 -  And if the Lord had not met me 4.30 this morning on the floor of the bathroom within the veil. I would now presently be silent. There has got to be for us a motivation more than our reputation as speakers.
22:31 -  Or the fear of man whom we are concerned not to offend or disappoint. Perhaps there could not be a healthier tonic for the church itself than to introduce them to silence. And to announce to their astonishment that I have not a word to speak from God.
22:57 -  And to hold on dearly to the word which is given. And to announce to their astonishment that I have not a word to speak from God. And that I am not going to fill the silence with some merely good thing.
23:16 -  You see the kind of jealousy to which we must return. If we are to have what Paul speaks of in Thessalonica. It is the word that is given.
23:30 -  And where is it given? In the place of communion. There I will meet with you.
23:38 -  And give you all. In commandment. To the sons of Israel.
23:46 -  I am glad that the Lord uses the word commandment. Rather than suggestion. This is why we are so infantile.
23:58 -  Nothing is required of us. But to bring our bodies to the Sunday service. To put a few francs in the collection place.
24:09 -  Sing a few choruses. There is no requirement, no authority expressed toward us. No demand made.
24:19 -  The sermon of the Lord. There is no requirement made of us. No authority speaking.
24:25 -  The sermon is simply a performance. It is part of the ritual required of their culture. It is simply a sermon.
24:38 -  Rather than an event. But I will tell you what is the excessively heavy price that we pay for that. It is not just that we do not receive a creative word that changes something.
24:57 -  But something negative is happening. A dulling of our spirits. A dulling of our discernment.
25:07 -  And a creating increasingly of an atmosphere of sleep in our congregations. The alternative to an authoritative word is painful. Perhaps you have the faith to believe that the word you are hearing from me today is a word that is given.
25:37 -  And you believed it last night also. But have you come to the place of faith where you can believe it for the word that you speak? You have been too long passive.
25:52 -  There has been too much of a professionalism about the preachers and preachers and preachers and preachers and preachers. You have been too long passive. There has been too much of a professionalism about the preachers and the laymen.
26:15 -  But how about the word that we speak even in conversation. Or as we exhort one another daily. Or speak the truth in love.
26:30 -  Is it mere human opinion that is being expressed? Or God's very word. We need to call a moratorium on all casual speaking.
26:50 -  And wait upon God for a renewing of our reverence for the spoken word. Not just from platforms and from pulpits. But even in our conversation.
27:08 -  And even what we speak into the world. I have seen judgment come on the basis of words that I have spoken. It wasn't that I said, I said, I said, I said, I said.
27:29 -  Thus saith the Lord, such and such shall happen to you if you will not. But I spoke to them a word from God. They chose not to receive it as God's word.
27:50 -  They discounted it as being merely a word of a man's own opinion. And that church is no more. That man is no more.
28:05 -  I mean literally. I am beginning to sense the awesome fear of a word that comes from God to men and is not received as such. Now is your faith ready for this?
28:30 -  Do you know what God is actually after? An entire apostolic, prophetic body. That shall command the elements.
28:46 -  Just like Elijah. It shall not reign nor do according to my word. Imagine a mere man commanding the elements with the authority of God himself.
29:12 -  This is not a privilege that is to be allowed to a man who still is jerked by his own Jewish subjectivity. And this is not a privilege that can be granted to a man who is simply pushed by his Jewish subjectivity. I tell you that when God will allow such speaking through a mortal mouth,
29:37 -  such a man has been adequately dealt with at the hand of God, you cannot tell where the man ends and where God begins. And you will no longer be able to tell where the man ends and where God begins.
29:49 -  Because these thoughts are the thoughts of God. And these words are the words of God. And God is seeking such a people on earth.
30:05 -  How many times have people addressed me with a prophetic word concerning my own vocation? Yes, and you shall be a threshing machine with fine teeth. And you shall thresh the hills.
30:22 -  And cut them down to chaff. And I swelled with the importance of my calling. And it's true, God has made me such a mouth.
30:34 -  But what they didn't tell me is this. You know who's going to get threshed first? You know why I have such a high reverence for the spoken word?
30:52 -  I've paid my dues for it. I gave a message, how many years ago, at the Full Gospel, International Conference in Washington, D.C.
31:07 -  A young believer, just barely beyond the giving of my own testimony. Fasting and waiting on God two days for one message. Fasting and waiting on God two days for one message.
31:31 -  I've since fasted and waited on God five days for one message. But what a message. When it came, it was devastation.
31:45 -  Two thousand people went berserk. And the world has yet really to hear of it. But they will.
31:58 -  But on that occasion earlier in Washington, D.C., in the simplicity and naivety that I had as a young believer, I just spoke the word that God gave.
32:12 -  They thought I was going to give a Jewish testimony. How cute isn't that novel? How safe.
32:24 -  But the Lord gave a message on eunuch, for Christ's sake. And I myself was too young to realize how radical a word it was.
32:40 -  The sword of the Lord went into the bosom of about five thousand people. And laid them there into two different audiences. One ready to hang on my neck with gratitude for the word that had come that was very life.
33:09 -  And another number equally as great, ready to murder me. I was so astonished by the effect. I knew that something very deep had happened.
33:24 -  Because the full gospel officials behind me didn't know what to do. They had to call for their emergency panic measure. So we all stood up and sang the Lord's Prayer.
33:47 -  And the meeting was dismissed. It was the final day of the conference. And that night all of the speakers and their wives were invited to the penthouse apartment of the president of the organization.
34:11 -  That was the night that I learned what it meant to be a stranger and a pilgrim and a sojourner in the earth. When we came to the buffet table, men turned their shoulder. I felt like scum.
34:34 -  Like the off scouring of the world. The least of all men. Who had brought such a terrible word of offense.
34:44 -  Who had caused this painful controversy. And had gone beyond the testimony that had been expected. But the moment that I had finished speaking that message that night.
35:03 -  And this has happened several times. Exactly the same way. A man came up to me.
35:10 -  Telling me he's a prophet sent of God. A Jewish prophet. An officer in the full gospel.
35:20 -  To tell me I had missed the mind of the Lord. That I had missed the mind of the Lord. That I had done grievous damage to God's people.
35:35 -  And I needed immediately to go back to the microphone and recant the message before the people. You know how I felt when I heard that? If I had a choice, I would have preferred to have been physically stabbed.
35:56 -  Than to receive the stabbing accusation that came. Because the first thought that came to me was. Could it be true?
36:09 -  That I have missed the mind of the Lord. Even after waiting and fasting. And how then about the past?
36:22 -  And other things that I have spoken. Could I equally have missed him then? And what assurance will I have for the future?
36:33 -  It was a devastating accusation. And the Lord was not there to say don't worry about it. You are my faithful servant.
36:42 -  My mouthpiece. Was obediently spoken my words. Do you know what I heard?
36:49 -  Nothing. And I went into exile for that one message. I actually left the country.
37:02 -  Went to my wife's country, Denmark. Where I couldn't understand the word of this. Taken by the hand by my children who interpret for me as if I were an imbecile.
37:20 -  A wilderness experience for men who is jealous of the words and their meaning. Refusing all invitations to speak. Never again wanting to come up to the platform.
37:36 -  And the devil was having a ball with me. Whoever said you were a preacher. You never should have gone beyond your testimony.
37:50 -  You should remain the high school teacher. Whoever said you were called. Look at all the damage you have done.
37:58 -  And you thought you had the mind of the Lord. Presumptuous, egotistical. Yes, that's right.
38:12 -  For six months I groaned in that condition. I burned with the unspeakable shame that this man might be right. And he was calling me long distance to remind me to recant.
38:30 -  And moreover, he was calling me internationally on the phone to remind me that I had to repent. And that I even had to publish an article in the magazine Voix to repent of what I had said. I even received special telegrams on Jewish holiday days.
38:54 -  It was really a trial by fire in the silence of God. For six months, in the sixth month, I was invited to speak. And I had a release from the Lord.
39:10 -  I went for a series of messages in an island in Denmark. And while I was preparing myself, I was reading from Watchman Nee's trilogy on the spiritual man. And to my utter astonishment, there was a reference to the eunuch for Christ's sake.
39:32 -  And he invoked the very same scriptures that I had used that night. And then he said, if you miss this by the spirit, and consider this connolly, there will be a very great offense.
39:56 -  And when I read that, a great release came. A lifting of the burden. A deep vindication from God that I hadn't been spoken for.
40:13 -  I've taken a lot of time this morning to describe this episode. For only one reason. That if the word of God is going to be restored to its exalted status,
40:29 -  as a word that is given to us as events, and not only in the expectancy of those who hear it, and not only in the expectancy of those who hear it,
40:46 -  but the conviction of men called to speak it, we need to be reminded that the price will not be cheap. There's a cost for this kind of word.
41:03 -  And periodically, God will require it. Just to remind us of how holy a thing it is. To speak the word of God.
41:16 -  And how sacred it is to have proclaimed the word of God. Dietrich Bonhoeffer understood this. He says the word which came from heaven in Jesus Christ
41:27 -  desires to return again in the form of human speech. He writes this. The word which came from heaven in Jesus Christ
41:36 -  desires to return again in the form of human speech. And God himself desires to be present in this word. God himself desires to proclaim his word in his church.
41:54 -  And I would add also in the world. Because God has gradually opened more and more doors for us these days. The president of the Supreme Court of an African nation.
42:20 -  The head of the Ministry of Justice. An open door. We didn't walk in with our hat in our hands.
42:30 -  We walked in with boldness and with authority. To tell this woman that righteousness exalts a nation. And that there is a causal connection between poverty and drought in Africa
42:48 -  and unrighteousness in government. And to say to her, where were you when the law was passed that confiscated all private property?
43:08 -  Don't you understand that that is robbery as much when it is performed by a nation as by individuals? We took every risk of being thrown into a jail
43:29 -  and rotting as white men, daring to bring such charge to a black government. You know what this woman did? She took prolific notes.
43:52 -  And to pray for her and for her whole household. Because the word that came to her was not opinion. It was the word of God.
44:04 -  It was a visitation. It did not come as suggestion. But as authority.
44:13 -  And it needs increasingly to be discussed. It's got to begin first in our congregations. God desires to be present in his word.
44:27 -  To speak it in his church. And also through the church to the world. We need to repent of the casual way that we have been speaking to now.
44:45 -  The shallow misuse and abuse of the word of God. The abuse and misuse that we have done so far. Playing with the scriptures as if it is God's provision for us to perform a sermon.
45:07 -  Paul says to Timothy, preach the word. He didn't say sermonize. He said,
45:24 -  2 Timothy 4. Preach the word. Insist on all occasions. Favorable or not.
45:35 -  Convince, take back, exhort. With all patience and instruction. Here is our mandate.
45:46 -  This should be the essential substance of all our preaching. The purpose of preaching is not to construct pretty sermons. And to enjoy the word of God as if we are spiritual sensualists.
46:04 -  The word of God is given for practical purposes. To prove, to rebuke, to exhort. But how many of our congregations can accept this?
46:21 -  They are coming for something else on Sunday. They want to be comforted. They want to hear a calming word.
46:31 -  After all, they've had a heavy week. Can you see that the whole construct of our church, its whole mentality,
46:44 -  its whole man-serving ethos is wrong. I charge thee before God, Paul says, and the Lord Jesus Christ, who shall judge the world,
46:56 -  I charge thee before God, Paul says, and the Lord Jesus Christ, who shall judge the quick and the dead and the appearing in his kingdom,
47:05 -  preach the word. Don't construct pretty sermons that are doctrinally sound
47:22 -  and will bring a syrupy and soothing effect to the audience. That makes you a performer. That makes you an actor.
47:32 -  A paid performer. If we're going to have an apostolic word, a creative word,
47:41 -  that works a work in them that hear it, it's going to come by men who are not ruled by the fear of man. It's going to come by men who are not ruled by the fear of man.
47:50 -  It's going to come by men who are not ruled by the fear of man. It's going to come by men who are not ruled by the fear of man. But by the fear of God.
47:58 -  Who will wait for his word. Who will not find it in their concordances. Who will not find it in their concordances.
48:07 -  But on their faces on the bathroom floors. But on their faces on the bathroom floors. Or wherever it is God will bid them come in communion.
48:16 -  Within the veil. In the holiest place of all. And the place of mercy.
48:25 -  From between and above. The tensions and the contradictions and the opposite tugs and pulls. The realities of our life.
48:36 -  The real things. There I will meet with you. A real God for real purpose with real men.
48:45 -  And I will speak to you. And I will speak to you. About all that I will give you.
48:55 -  In commandments. For the sons of Israelite. That's why Paul had to say to his people, pray for me.
49:04 -  That utterance might be given. That I might speak as I ought to speak. The mysteries of Christ.
49:16 -  If Paul had to plead for such prayer for himself. The man who had an encyclopedic knowledge of apostolic things. Christ doomed of the rabbi Gamaliel.
49:31 -  Who would not so much as dream to fashion his own words. Pray for me that utterance might be given. What shall we say?
49:49 -  Jesus said the words that I speak are not my words. But the words which my father gives me. Let me ask you a question this morning.
50:05 -  How assured are you in your place in Christ? How secure are you in him? That you have nothing to prove and nothing to demonstrate.
50:23 -  Your identity is so established in God. You are so accepted in the beloved. That you don't have to prove anything through your ministry or your student.
50:37 -  You don't have to exhibit your intelligence. Your scholarship. Your spirituality.
50:50 -  Your experience. You wait for the word that is given. If Jesus would not so much as speak his own words.
51:02 -  The words that I speak are not my words. But the words which my father gives me. What shall we presume to speak?
51:17 -  I'll tell you it's humiliating to wait for that which is given. Especially when one is clever in himself. And even has a flair with words.
51:32 -  And could cut quite an impressive figure. But to be utterly dependent upon God. For that which is given.
51:47 -  Is a humiliation for proud men. And when it comes, will you necessarily enjoy it? Is it going to exhibit you in an advantageous way?
52:02 -  I'm really embarrassed by what I've spoken in these days. With the exception of a few sessions, I have not been ecstatic for anything that I've spoken. In the sense that I have enjoyed it.
52:21 -  That it has given me opportunity really to exhibit myself. But I am fully confident. That from the beginning of these days till this very concluding session.
52:37 -  The words that I have spoken are not my words. But the words that are given. There have been occasions in my life where I have spoken.
52:52 -  There have been occasions in these days when I didn't think I would have the physical strength to go from the front seat to the platform. I was in the strangest kind of disorientation. Had the faintest intimation of what the Lord's theme was.
53:17 -  And had to come risking every failure. Not only in your sight. Those of you who have come from a distance to be at this seminar.
53:35 -  And paid good money to be here. But our American group. And my own students.
53:44 -  And precious souls who are related to me. God knows how to set the stage. For an utterly humiliating collapse.
53:59 -  And so the flesh begins to itch and to activate itself. Why don't you preach this art? How about that good sermon that you used last month?
54:16 -  They'll love it. It'll be a great success. Everybody will be happy. Nothing doing.
54:24 -  Rather collapse. And utter disappointment. And the disillusionment of many.
54:33 -  Then we should be satisfied with a merely good thing. This is an apostolic jealousy. For a word that is given.
54:47 -  In communion with God. And in no other place. There I will meet with you.
54:58 -  And where did Moses even receive this instruction? On top of the Mount of God. Where he spent 40 days and nights neither eating nor drinking.
55:14 -  To come up into the presence of God. That he might receive the tablets of the law. And right from the very first invitation.
55:27 -  We see the whole genius of God with men. Come up unto me. And be there.
55:42 -  And I will give you. The stone tablets with the law and the commandments which I have written. That thou mayest teach them.
55:55 -  Don't think you're just going to come up there and just grab it from me and go. I know your craven religious ambition. To establish your preaching reputation.
56:14 -  And to have a subject matter to use. But I'm a holy God. And you're not going to just be preaching some abstract thing from my law.
56:26 -  The first requirement ever and always is this. Come up unto me. Not for what you're going to receive from me.
56:44 -  But to me. For my own sake. And be there.
56:53 -  Body, soul and spirit. In totality. All that you are with all that I am.
57:03 -  And then I will give you. The tablets of the law that you may teach. This is still the requirement of God.
57:17 -  And yet we're at liberty to rape his book. To violate it. To extrapolate scriptures and to make our sermons and to do our things.
57:30 -  And what a price we have paid. For our submission and authority systems. And our other little fashions and fads and games that we have charismatically played.
57:45 -  But God is calling us to a higher thing in these days. The restoration of apostolic reality and glory. For men who do not take their liberty in the scriptures.
58:04 -  But receive from him the explicit word. That is given in only one place. In his presence.
58:19 -  Come up unto me. And be there. Because this is itself the apostolic message.
58:26 -  What the world is dying for is not information about God. But men who will communicate very God himself. This is, as I said last night, the only thing that will save us from becoming mere technicians.
58:48 -  And the victims of yet another religious phraseology. Come up unto me. Be there.
59:05 -  Because this is what the world needs. The knowledge of me. That will be exuded by men who speak to them out of my presence.
59:15 -  Because the world doesn't know how to live. That's why it's after its drugs, after its eroticism, after its sensualities. They don't know what it means to be there.
59:33 -  They need apostles who will teach them how to live. How to be there totally. With each other.
59:45 -  To enjoy the depths of fellowship of men with men. Because they have as the foundation the fellowship with men with God. They have come up.
59:59 -  They have come up. It's not an easy coming. No going up ever is.
01:00:10 -  And yet it's the place of communion. Just to turn you in conclusion to 2 Corinthians, the end of the second chapter. It's a verse that I have been repeating over and over again in these days.
01:00:34 -  It's the end of the 16th verse. Who is sufficient for these things? In the amplified it says, who is able for such a ministry as this?
01:00:48 -  And in another version it is written, who is able to accomplish such a ministry? And then he answers it. For we are not like so many hucksters making a trade of peddling God's word.
01:01:02 -  For we are not like many of the falsifiers of God's word. Short measuring and adulterating the divine message. But as men of sincerity and the purest motive, commissioned and sent by God,
01:01:16 -  we speak his message in Christ the Messiah in the very sight and presence of God. This is the amplified, isn't it? Yes.
01:01:28 -  This is an English version. Some of you may know the amplified version, which is a bit like the cued version in French. For we are not like so many hucksters making a trade of peddling God's word.
01:01:42 -  Short measuring and adulterating the divine message. But as men of sincerity and the purest motive, commissioned and sent by God,
01:01:56 -  we speak his message in Christ the Messiah in the very sight and presence of God. Hallelujah. Don't you love Paul? But as men of purest sincerity,
01:02:12 -  Sensei, we are not hucksters, we don't traffic in the word of God. We are not performers to produce sermonizing. We are commissioned and sent.
01:02:25 -  We speak his message, which we've obtained in communion with him. And we speak it not in the presence of men,
01:02:38 -  that they're going to slap us on the back and say, well done, I like that. We speak it in the very sight and presence of God. And it is from God and before God and in Christ that we speak.
01:02:54 -  What an apostolic consciousness of the sacrament of the spoken word, proclaimed not only before men and to men,
01:03:10 -  but in the very sight and presence of God. I'm conscious of that this morning. Paul says that we shall be held accountable
01:03:24 -  for everything that we have done in our bodies, both good and bad. In an earlier generation than ours, men used to speak of the pulpit as the holy desk.
01:03:41 -  That was before the charismatic personalities, full of jokes and cute quips, and warming the audience up to themselves.
01:03:53 -  Something needs to be restored, children. The holiness of God's own word, which he has exalted above his name.
01:04:04 -  In the beginning was the word. In the beginning was the word. In the beginning was the word.
01:04:16 -  In the beginning was the word. In the beginning was the word. In the beginning was the word.
01:04:29 -  And in chapter 3 of this 2nd Corinthians, Paul says such is the reliance and confidence that we have through Christ. Not that we are fit in the 4th and 5th verses to be sufficient in ourselves
01:04:45 -  to form judgements or to claim or to count anything that's coming from us, but our power and ability and sufficiency are from God. Such is the assurance that we have through Christ with God, verses 4 and 5.
01:04:58 -  Not that we are able to conceive something that comes from ourselves, but that our capacity comes from God. I just asked you preachers who are out there,
01:05:09 -  any of you who ever taught or preached or spoken for God, is there any greater delight for us to have a reliance and a confidence toward God?
01:05:22 -  Not something that is based on our own ability, as though it was anything coming from us, but our power and ability and sufficiency are from God.
01:05:37 -  But our power and ability and sufficiency are from God. For of Him and through Him and to Him are all things. To whom be glory forever.
01:06:02 -  I got to bed after midnight last night. And was wakened again at 4.30. And have not slept since.
01:06:12 -  And have been going on day and night for weeks. And months. And trip after trip in the same way.
01:06:20 -  And I'm saying these things for one reason. To God be the glory. To God be the glory.
01:06:34 -  You know what I can say with Paul? I have a reliance and a confidence through Christ. Because I know that I am not fit or qualified in myself.
01:06:51 -  What a piece of foolishness I am in myself. What an embarrassment of weakness. So weak.
01:07:03 -  No theological qualification. But God allows me to enter the house of African ministers. To write a penetrating word to an American consulate official.
01:07:21 -  And speak to ministers and leaders in the church the world over. Because the power and the ability and the sufficiency are from God. What God appoints, God anoints.
01:07:47 -  If you are speaking His word. You do not have to buttress it with your own natural personality. It does not require your charm to make it succeed.
01:08:08 -  He gives the spirit without measure. To those who bear His word. God is not only speaking something this morning.
01:08:22 -  He is demonstrating it. That your faith might rise. To a new apostolic place.
01:08:32 -  That you might be permanently ruined. To never go back to anything less. To a trafficking in the word of God.
01:08:44 -  But that you should insist. On His word. And His word alone from this time forth.
01:08:55 -  He is quite able to give it. If we will come up unto Him. And be there.
01:09:07 -  For it is He who has qualified us and made us fit to be worthy and sufficient as ministers of the new covenant. And then He says in the 12th verse. Since we have such glorious hope.
01:09:28 -  Such joyful and confident expectation. We speak very freely and openly and fearlessly. And then in verse 12.
01:09:39 -  Always in this version. Since we have such a glorious hope. Such a joyful and confident expectation.
01:09:48 -  We speak very freely and openly and fearlessly. What is the title of this morning's talk? The apostolic preaching.
01:10:04 -  A word of authority. All that I shall give in commandment for the sons of Israel. And Paul says, having such assurance, such hope, that the word that we proclaim is not our word, but his,
01:10:31 -  we speak very freely and openly and fearlessly and boldly. Exhort and rebuke. Preach the word, fearlessly and boldly. As God's very word.
01:11:08 -  And then chapter 4 begins. Therefore, since we do hold and engage in this ministry by the mercy of God, am I conscious of that mercy in these days?
01:11:31 -  Purest mercy that has brought us from session to session, from message to message, from very sentence to sentence, from thought to thought, such mercy that flows out from the throne of grace
01:11:55 -  to those who speak to men from out of the presence of God within the veil. We do not get discouraged. We do not get spiritless and despondent with fear. We do not become faint with weariness and exhaustion.
01:12:19 -  We have renounced disgraceful ways and secret thoughts. That men can hide through shame and dealing craftily and with cunning. And so we commend ourselves in the sight and presence of God.
