Romans  9 11 The Mystery of Israel
13:53 -  and crucified, I wish the word persecuted, the Lord and now not an apostle. So I myself am the testimony that God has not cast aside. You mustn't miss that point. That's why Phil offers the testimony of himself. And maybe it's for that very reason that God had to wait upon
14:13 -  a man who is a murderer and a persecutor. Because if that such a one is not cast aside and not just admitted to the faith, but brought to its greatest place of prominence and significance, then what a statement of God and his mercy. That's why Paul says, I stand in the face of Israel.
14:34 -  I'm born out of crime. What you see in me is cause and attention for the entire people who also persecute him. You've not yet seen the last demon who's going to be murdered at Jewish hands. I myself might well be one of their victims. And they would have very reason to put men like me
14:54 -  to death because we would be perceived as threat to their Jewishness, threat to their Judaism, which they're so desperate to retain as identity. And we're looked upon as seeking to bring them into some Gentile, pagan, Greek-oriented religion by which they would lose their Jewish identity.
15:16 -  Ironically, when it's the very basis by which they can find it. But how do you explain that? You can't. And it may well be that nothing less than being their victim will set in motion their understanding as it did for Saul himself. He had to witness Stephen's mod of them for something to
15:36 -  come into his deeps, that this man, this busboy, without any qualification that could begin to impress Saul, who's the prime student of the Rabbi Gamaliel, died more gloriously than he has ever seen any religious man live, forgiving his murderers. While he's being pelted with stones
15:58 -  as the very blood is flowing into his own eyes and mouth, he's spread enough in his own preservation but for those who are his murderers. Hey, that's staggering. And the man says in his last breath, I see the heavens opened and Jesus standing at the right hand of the Father of glory.
16:19 -  When they heard that they stopped their ears and gnashed upon him with their teeth. And there was a man standing at his feet, their clothing had been laid, observing this entire thing and sent on his way voluntarily requesting authority from the rabbis to persecute this
16:39 -  heretical sect. And there God arrests him by the revelation of the soul. Saul, Saul, why do you persecute me? Saul had to learn from the beginning that the persecution of the church is the persecution of Jesus. The man was so stunned by that unexpected revelation that he didn't speak,
17:02 -  he didn't drink, he didn't eat, he lay for three days like one dead and his whole life passed before him. All of his rabbinical training, all of his thought, all of his understanding controverted by one new factor, the revelation of the crucified and resurrected King.
17:25 -  The coming of the Lord changes everything but it had to be preceded by the witness of Stephen. We know that the Greek word witness is the word for water, so and somehow that that was necessary. Paul could not be the apostle without coming out of the
17:48 -  background of that kind and himself experiencing the uttermost mercy of God, totally undeserved by a murderer and a persecutor. That he could believe that as he has been the recipient of the mercy of God so had his whole nation be. An apostle is not some little laboratory concoction, he's not some
18:16 -  antiseptic thing that is formulated in a seminary. He's a piece of living organism dealt with at the hand of God. He has a history, he comes out of something, he's dealt with, he's met, he's shaped, he's formed, he becomes the thing of himself. So Paul's statement to the church
18:37 -  at Rome, hey if God did not forsake me who stands as a representative of his people who had been a previous murder persecutor, don't you dare begin to think that he will abandon them. And the statement of God's mercy, and look what you're receiving from me, you dum-dums, you would have been walking
19:01 -  into walls except for the kind of instruction and mentoring that I'm giving you by the grace of God as one in oversight for your souls. And that's what the nations one day will receive from the whole Israel who are living beneath God's intention. For it's the priest that shall teach the people,
19:20 -  the nations, the difference between the sacred and the profane. Our world is profane, terribly profane, it's scandalously profane. You need only to read the New York Times daily and see the theater section, the amusement section, the art section, the culture section, to see what it is that people
19:42 -  are seeing and buying and reading. Homosexuality, lesbianism, transvestiteism, the most perverse and ugly forms of human perversion and distortion is the subject matter of modern culture. Why? Because it's a world that cannot discern, does not even know there's a distinction between the sacred
20:06 -  and the profane. The only alternative to profanity is that which is sacred. But who can communicate what is sacred? Even the church fails at it. Only a priest, not a professional, but one who is in the image of the high priest and the
20:32 -  the apostle of our confession, Jesus himself. The priest identifies with his subject, with the people, in their condition. He knows their infirmities, for he has passed through that. He knows weakness, he knows temptation, he knows trial, he has passed through that. He's not some celebrated
20:55 -  as superior product who has never condescended into such depths. He knows those depths, but he has not submitted himself to them. He can intercede, he can counsel, he can pray. He doesn't wear shoes. A priest is barefoot. His feet are in the earth, trod by those for whom he
21:15 -  prays. He's one with them in that condition. It's the essence of humility, and that's why Israel must go through the process that is before it. Terrible devastation, terrible humiliation, terrible destruction, and out of it will come a broken, humbled, priestly people. Paul was such
21:38 -  a one. Because if you're not a priest, neither are you an apostle, as you know from the book. Priesthood proceeds, Paul. There's no being prophet, there's no being an apostle until you're first a priest. You have a certain heart at this position and identification and the authority
21:59 -  with God to plead in behalf of those who oppose themselves in their own ignorance and will well oppose you. That's Israel's destiny, where they cannot be to the Jordanian and the Saudi Arabian and the Palestinian, but they must. They've got to come to them, not out of farcical spiritual
22:21 -  spirit. Now listen, you guys, but let us tell you how this is. Here's what you've got to do. They've got to come broken and under. The priest comes under and raises up and come to your enemy in that kind of disposition. That's the nation's destiny, and that's why it must go
22:45 -  to the kinds of things that are necessary to produce it. Paul had to go through, the nation had to go through, and the question is, what will we have to go through? We're also called to be a royal priesthood and a holy people, and unless we are, how shall we be
23:05 -  what we ought to be, to that present unbelieving Jews, as well as the Greeks and the Gentiles that are everywhere about us, and the church in its lamentable condition. Maybe the church is in its lamentable condition for the want of men to have come to it in a priestly way.
23:24 -  May God bring forth a royal priesthood indeed. What a conjunction, royal priesthood. Oh, but what kind of a royalty? Not self-aggrandizing, potent fates who are living high on the hard because they have every advantage and look down on the pitiful peasants who supply
23:45 -  them. It's a royalty of another kind because it has a kingdom of another kind. He's born in a stable, he dies on the dump heap outside the city, and over his head in free language is Jesus of Nazareth, King of the Jews. That's the royalty. Royal priesthood, Lord make us such.
24:10 -  So I say then, now there's an interesting statement, I say then, we listen, this is not all things. We're called to be real exegetes, drawing out every word. Why does it begin like that? I say then, well, who are you to say?
24:28 -  Who are you, a hotshot? Who are you? Are we obliged to consider? So much is summed up. Is this Paul's egotism? I'm telling you, I know how under authority around here, when I say, when I speak out of my apostolic office,
24:51 -  I'm not giving you a human opinion because the apostolic office, the prophetic office, is the verse of God, is the speaking of God, is the heart of God, or it's neither prophetic or apostolic. So one person says, I say then, what is implied is, you need to heed the pardon
25:13 -  because I'm not giving you a mere human opinion. I'm speaking out of a holy office that I did not elect, I didn't request, it was given. You need to heed what is followed, what I'm saying here, because it's coming to you out of that office. So this is not a little flourish. I say then,
25:37 -  praise God for that I. You know the remarkable thing is, there's not a vestige of egotism in it, or it would not be apostolic. If it's an I that is drawing attention to itself, it's no longer apostolic, it's phony, it's self-appointed, it's false. The I that Paul
25:58 -  is commending through his hearers, it's selfless. That's right, he could give the whole council of God withholding nothing. He didn't just give them the nice parts, he gave them the hard parts. I did not withhold you the whole council of God, night and day, from house to house and in public
26:20 -  places. I gave you the whole council of God. I didn't spare you, I didn't just butter you up, I didn't tell you just about a cloud in heaven. I told you suffering, I told you the cross, I told you the crown. I prepared you and I shielded you for the realities of persecution
26:37 -  and the things to come. That's why they hung on his neck and wept when he said, you'll not see my face again. So dwell on that in a sense. I say then, and to dwell on it is to raise the question, will we again have men who can speak with this authority? But like Paul,
27:00 -  out of an office, and you know what? This offends Christians. Why? Because they project upon you their own vanity. They assume that if they were saying, I say, it would be a statement of this spiritual-spiritual ingratism. So they assume that that must be what you mean.
27:20 -  They don't know as they ought to know. And you have to bear that. You'll be misunderstood, misconstrued, misinterpreted. Men will attribute to you the statement of themselves. And the remarkable paradox is this. By every external hearing, it sounds like impotent
27:42 -  to the carnal ear, to those who assess you in the flesh, that only those who are really genuinely spiritual can understand and hear what's being said and not be offended. Because Moses himself, the author of the five books of Moses, describes himself as the meekest
28:03 -  man upon the face of the earth. Well, that's got to be flat out. Egotism. How dare any man say of himself, I am the meekest man on the face of the earth? That's either terrible egotism or humility of such a kind that he knows he will be misconstrued and yet does not withhold
28:24 -  the statement God would have him to make. You've got to know the paradox that you're digging, so to speak, a grave for yourself to serve the Lord in all fidelity and honesty and be required to say and perform things that men will be given to misconstrued at the loss of your reputation
28:47 -  and honor. That's Paul. That's Moses. That's the prophets. And until we become a church of that kind, we will not serve the purposes of God in these last days. How do you come to a place where you can say, I say unto you, and you're not being egotistical? What happened to Eugen?
29:10 -  He authenticates himself. His own life is testimony. Just as the scriptures themselves authenticate themselves, have their own authority, it's implicit in the word, so is it equally the word made flesh, implicit in the flesh. But such a thing does not happen
29:26 -  overnight and it doesn't go on truths. So one of the things that we need to consider is what kind of environment are we providing as the church for the bringing forth of prophetic and apostolic men who are not formed in a day? What kind of environment are we presenting in respect
29:44 -  for that office that is so foundational to the church that will encourage the recognition of that call for themselves and in us and their ability to begin to take first steps in walking in it and coming to maturity before God can call them out into the world? In Acts 13,
30:04 -  where the Holy Spirit says, separate unto me, Paul but observe where unto I have called them, God was waiting for a certain moment, the kairos, the appointed time to come, and he recognized that when they were ministering unto the Lord in worship, he recognized in that moment that these
30:24 -  men of such diverse national ethnic backgrounds were in such a place of unity that they were worshiping the Lord together. When they came to that, I said, now separate unto me, because I want this reality that will save the world from internecine murder and rampage and looting and rape
30:47 -  and hatred of division for differences, now bring that living message into the Greek and Mediterranean world. But when were they separated? They were separated in the church and separated even from their own religious ambitions, the subtlety of heart that wants to
31:07 -  be recognized, seen, and applauded. It took a seasoning, a preparation in the church that was at Antioch. So we need to provide an Antiochal setting for those that will be such men in our generation and make God youristic ways to recognize them and not be offended if they have to assert
31:30 -  themselves, because when they assert themselves, it's not look upon me, because I'm the guy that's called Ahasuer III, but look upon the issue that if what I'm saying is from God, you had better set in motion a preparation or else men will perish. That's how grave the issue is, and that's
31:54 -  as accompanied by offense. And I just got over that in my last visit to Israel. I met with leaders who were offended over that very point. They would be much more comfortable if I said, well, this is only my opinion. Okay, well, you know, we can consider that with other opinions. But when you
32:13 -  intimate or express, I say Antioch with a kind of a sort of office, then it makes another kind of requirement of us, and we're not comfortable with that requirement. When God told me flat out, he's a leader in the messianic movement in America, I don't recognize you as a prophet.
32:33 -  Well, that's your privilege. But you'll be unprepared if you're not heeded a prophetic warning that God gives only to men who are so called. So maybe one of the grave requirements of the church now is that discernment, because we talked so long and loosely about the fivefold
32:53 -  ministry. But when the fivefold ministry comes, can we recognize it? You know what Paul expresses as an opinion, I did not get this from the Lord, but I say 2000 years later, this is not received by the church as having the same lafarge as when God did say. So much is the man in union with God,
33:13 -  but what he offers only as an opinion is subsequently received as being defined in his origin. Because he's not a professional, puts on or takes off. The man is the thing in himself. A priest is a priest through and through even when he dons his garments.
33:32 -  So it's just interesting just to note that what Paul makes clear, I'm only saying this as an opinion, I did not receive this from the Lord as commandment. Subsequently, the church receives it as having been given of God and has the authority of commandment.
33:49 -  So it's the issue of the church coming of age, the issue of discernment, the issue of humility, the issue of recognition, the issue of pride. But now it's the issue of life and death. For all of our travel about the fivefold ministry, are we really in a place of maturity to recognize
34:10 -  and honor it when it comes? And even to about the environment by which it will come? Well, we're just talking an offensive language that sounds good. It's our new game, our new novelty. We're the first in our neighborhood to speak it. Body of Christ, fivefold ministries.
34:28 -  We are a phraseological church that loves to verbalize and thinks that by the verbalization we have the reality. And ironically, when the reality comes, we're confounded by it if not offended. What a statement. Just as we talked about the resistance in the church to that which is
34:49 -  supernatural, there's an affinity even among believers for that which is rational. They are offended by the supernatural. Likewise, they are offended by what is absolute. This is a pluralistic age. Many pass the truth. Well, this could be right. How about that? Maybe if. So there's
35:05 -  something in the spirit of the age that is offended by absoluteness. And so it mentions speech with an absoluteness of his office. It is offensive. So we need to recognize that the world is more with the church than the churches to the world. The world has permeated the church with its
35:26 -  relativistic ambiguity that does not want a fixed point of reference or an absolute perspective. It would rather say, maybe, I don't know, I guess. And that sounds more honorific and more acceptable with a seeming humility than a thus sayeth the Lord. So even humility itself is
35:50 -  play acted. And men prefer the air of deference. Well, who am I to say, I'm not a public eye. That sounds more easy to be entreated than someone saying, I say unto you. So where is humility when Paul says, follow me as I follow Christ, makes himself the formidable
36:15 -  point of the reality of God himself? Is that egotism? When Moses says I'm the meekest man on the face of the earth, is that extravagant vanity or is that a depth of humility? Probably had a choke on such a statement himself. It may have even offended him. He would not prefer to
36:38 -  have made such a statement, but the spirit of God required that statement and he gave it. That's humility. Can we even recognize humility? Or do we like the world's tongue? I had a brother who used to talk about, sales means humility. They speak with a certain
36:57 -  deference in order to get you to buy the car. But that's only a device. True humility is not a device. True humility is God. It's his very nature. And you need to read the classic book on that subject by the South African giant, Andrew Murray. Humility is the key to every
37:20 -  gift of God. The prophet is not without honor. Elsewhere in the world we're celebrated, but in his own home and his own country, who sees him and so to speak, and he leaves his sweat, his humanity, his bone burgeoning stomach over his waistline. There they would have doubts and
37:43 -  he has to bear that. That's true. And just to remind you that I said that God has started a new thing from the time in Africa. I looked up for the authority and the anointing and unction, but what preceded it was the humiliation of that summer here with the tent of Shem where I came
38:05 -  back naively thinking that where I was rejected in the first speaking on that theme outside this I come back to a receptive environment just the opposite. My own flesh and blood, my own fellowship, men whom I trusted and with whom I walked into the house of God and broke bread together were the
38:22 -  very ones that opposed me and opposed me openly and publicly in a humiliating way. So we had to eat that. And remarkably the next time out in Africa, boom, a new dimension of authority, unction, freedom and the spirit of revelation of un-sin is all together, I believe, related to
38:43 -  the suffering that preceded it. It's the suffering that preceded the glory. That's what I'm saying to the young restarts, just a moment speaking. It's not your spirit at all, I'm just kidding. But to be young, let there be a sickness of this kind of suffering, going through this
39:01 -  kinds of things that you have to bear in the formation of the thing in itself. It's not a title, it's not an office, that's our pendant. It's something through and through wrought into the very fabric of the man, the grist and gist of what he is. That's no easy or light matter.
39:21 -  That's why you think twice if you want to be a prophet. It's not some honorific flight where you're going to enjoy certain recognition. What has always distinguished the difference between true and false prophets is that one is always the game-sayer and gives the
39:39 -  happy and positive thing that the flesh wants to hear. This process will pass, this will not come upon you. That's in the past. You can be assured that God is with you, whereas the true prophet is always bringing the word of warning, the doom that is to fall, the judgment that must proceed,
40:00 -  the restoration of the mercy that will follow. So that has always characterized the essential difference. One brings a man-pleasing word and the other a man-offending word. And so to offend men. Who is not a victim of fear of man and trembles in his socks lest he offend and wants so
40:25 -  desperately to be admired and recognized and accepted? And where is this more deeply a factor than in the Gentile church's desire for Jewish approval and acceptance? I watched grown men cringe and cry to receive Jewish acceptance.
40:48 -  This is a powerful factor in today's church relationship with the Jew. How men are compromised, how their integrity is suffered and lost in the measure by which they condescend to the Jew. It's the issue that we came up in our morning time in prayer. The German church with response
41:12 -  to its own, the Jew within its own midst. Do they want Jewish acceptance? Well then they will avoid a message that will offend. And the gospel is by nature an offense. All the more that if you come through Jewish consideration, through a German, haven't we suffered enough at your hands already
41:32 -  that you now have got to hit us with this message that threatens our Jewishness and wants to make of us Gentiles? That's how they will construe it. The question is will the German church be free from any necessity to be gratified by the acceptance
41:51 -  of a people whom they love? When you love the people to whom you come, everything that is natural in every poor person yearns for that approval. But can you live without that approval and still be faithful to God and suffer the rejection of the very people whose commendation,
42:11 -  trust and affection you so desperately desire? That is a prophet. That is an apostle. That is a church. Can you understand the depth of this? Who doesn't tremble for the want of approval especially from those whom we esteem? When you can live in the face of that and offend that same one
42:36 -  in obedience to God, you have been a product of the Lord's own hand. For that's what he himself did in coming in Christ. He bore the offense of the very people whom he loved and esteemed all through his life in his three and a half year public ministry and in his suffering on the cross.
42:58 -  The most painful thing that he had to bear were the jeers and taunts of his own people. Come down from the cross and we will believe you. If you are the son of God, come down. Whew. He had to bear the rejection of it. He came to his own and his own received him not.
43:18 -  Can you bear not being received? And how do you come to a place being human and desiring the approval and affection of men where you can live in indifference to it? If it comes you're not flattered and if it doesn't come you're not destroyed. You go on in fidelity to God because
43:40 -  you yourself said it. It's the glory of God, the vision of God's glory that enables us to endure every suffering and no suffering more cruel or more painful than the suffering of rejection especially from those whose acceptance we so desperately yearn to obtain. Only the vision
44:00 -  of God's glory can enable us to bear that or to bear the misunderstanding of men to bear the reproaches of men. It may well be that we have to go our lifetime until we shall hear at the end well done good and faithful servant. Can you live in anticipation of that of that day?
44:21 -  These all died not having received the promise is God's statement in Hebrews of the great men of faith. They could serve consistently without being gratified and paid off but we are the products of the now generation. We need our reward now. Can we defer? Can we wait? Can we live a lifetime of
44:48 -  rejection just to hear the commendation from God in that day? Well done good and faithful servant. You served a lifetime of reproach, of misunderstanding, of persecution, of opposition, not just in the world, your own flesh and blood. Those who are closest to you, you brought that
45:10 -  now. Receive this. Well done. Can we wait for that day and believe for that? And because we anticipated we could be faithful now. The definition of a saint is one who can live in the present tension of non-gratification and the defiling of reward until the day. You don't need to pay
45:33 -  off now but we can be faithful now. This is character. This is the character of God demonstrated by the Lord himself but that kind of character is not formed in the day. It's a process of time in dealings and the church that is the church will be
45:55 -  speaking and serving in such a way as to form this kind of character that will sustain and bring forth a people, an entire church of this kind in the last days that do not need to be gratified, that do not need the acceptance of men, that can speak the word of truth no matter what the consequence
46:13 -  for themselves. Maybe that brings us to the phrase here, God forbid. That's not just a little inflection, that's not a cliche. Except God forbid it, you will invariably dismiss Israel's restoration. So here he's crying out, God forbid you should think that thought. Except God forbid
46:36 -  it, you will think that thought. So here this is that the phrase God forbid has become a cliche but when Paul is speaking he means God forbid it. If he doesn't you'll think it and subscribe to it. It's interesting that in what follows is a statement about Elijah that could not be more
46:59 -  appropriate to our discussion if we stood on our heads because here is prophetic suffering, here is prophetic rejection, here is prophetic isolation, I alone am left. So Paul in finding a metaphor, an example to show that there's a remnant calls up the image of Elijah who felt
47:20 -  that he was alone and that they've torn down your altars and have slain your prophets and I alone am left and they seek my life. In this one statement that Paul summarizes that Elijah you have a remarkable summary of the prophetic chrome. Is that to say that you're the only one?
47:39 -  Maybe that there are others but as far as you're concerned you live and serve as feeling yourself to be alone. There is that remarkable aloneness that is intrinsic to end to the call of God that Elijah bore. It may be that they were and God had to say no you're not,
48:00 -  seven thousand. Okay well praise God for that but as far as I'm concerned in my own life and work it feels like I am alone and that's what it's going to feel like for you that you're alone. And what are the elements that constitute the life of Elijah, what the descriptors say of him?
48:20 -  He makes intercession to God against Israel. You ever notice that word? Against Israel. He didn't speak for flatter or to compliment or to give false assurance his speaking so to speak was against. It was judgmental but it was the necessary word. Judgment itself is a mercy
48:44 -  not a harsh what's the word arbitrary expression of God's power. It's a lasting it's a strange work that he resists if he can but there's no alternative and his grace has been rejected even
49:01 -  he's required to bring judgment and he'll bring it first through the word of the prophet and when that word is rejected then that which of which the word spoke will come as judgment and it's against Israel but it's for Israel and being against it. It's the kind of against that is
49:20 -  God's very mercy if you understand that judgment is a mercy where nothing else will suffice. So God has not cast away his people from before him. Don't you know if the scripture started with Elijah? That he made intercession to God. There's a priestly function against Israel
49:39 -  saying Lord they have killed my prophets. He himself would be an object of that threat. Dig down down altars. Look at the conjunction that when the faith declines when men have chosen to reject the way of God and their altar is either torn down or falsely
50:03 -  employed for shallow outwards and external sacrifice about a heart where it says that their hearts are far from me but their lips say that's that's broken down the altars at that same time for that same reason the life of the prophets is at stake because if there's big damn God's altars
50:23 -  and desecrate and denigrate God what shall they do to that the man who represents God and this is very mouthpiece. The two things go together. Can you see that? Am I making that clear? And not to pass this without noting not only am I left alone but they seek my life.
50:45 -  It's the same life that that David spoke about in Psalm 119 asking for life. He's not talking about biological existence. He's talking about a distinctive aspect of the reality of the man which is the divine life. They seek my life. They cannot bear. They cannot tolerate God and God in me.
51:09 -  That's what they seek to destroy. That's that's why the prophets are infallible because they don't speak to them. They represent and express and they speak out of the life. That's another answer to the question about I say unto you. It's a saying with a certain authority,
51:25 -  a certain power, a certain vibrancy, a certain resonance that is more than just the issue of voice. It's the issue of God. I can hear in that marvelous question between false prophets. I could hear in their voices that they're false. Can you imagine? Because there's something in
51:43 -  voice that is deeply expressive of the reality the measure of reality of God in a person and when I hear it in the mealy mouth, you ever hear that expression mealy mouth? The word is obfuscated and dulled and there's a lack of clarity. A voice of a
52:03 -  prophet is a trump. It's a clarion call. It's distinctive but a false prophet mumbles. Why? Because his message itself is indistinct and because he's speaking out of his religious humanity and not out of the life and the prophet is lightly crying out I alone am left and they seek
52:23 -  my life. What they want to extinguish is the reality of God in me and through me that reveals their fortunes because the real thing will always show forth show up to counterfeit and if they can remove the testimony of the life of God they can go on in their phony baloney false worship.
52:42 -  They'll continue to dig down your altars even while they make sacrifices upon your altars and only the prophet sees through that. Others who are religious are satisfied with the external gesture. Aren't they continuing to make a sacrifice? How does the book of Isaiah begin?
53:02 -  All this information laid with iniquity from the top of your head to the soles of your feet. You're full of sores and they need to be mollified and covered up and your sacrifices are a stink to me. Your celebrations, your feast days are a stench in my nostrils. Why? Because God sees how devious,
53:20 -  how superficial, how overt. Why was king's sacrifice not accepted? Because God saw through it. It was a device to obtain continuing rainfall so as to assure harvest so as to assure profit. King was a farmer working with a cursed soil to make a killing
53:42 -  and he wanted to gratify the deity that will assure the necessary things to promote his profit. That's paganism, to make a sacrifice unto God, to placate him so that the rains will continue to come and the harvest will follow. And God saw right through that. I'm not a God to be placated.
54:02 -  What are you working out? A commercial deal with me? A transaction? That if you do this, I'll give you that? Abel made the right sacrifice. There were no strings attached. He was not looking for a benefit. He understood me in my deity and the majesty of what I am as God and he knew that
54:22 -  only black can meet such a God. But you, even if it's the best of your first groups, it's not. A true sacrifice because it's a device and a transaction for commercial gain. How much of our worship is like that? And so
