TV Show 3 Abraham

00:00 -  Ben Israel with Art Katz and Paul Gordon. Welcome to Ben Israel. I'm Art Katz.
16:31 -  to walk in his way and to take upon ourselves his aspect, his thought, his understanding, his direction, his values. Yeah, you told me once about when you were teaching school and you were trying to instill
16:43 -  into your students certain values, and maybe by talking to them and instilling these values you could help change the world in some way, and it failed miserably, remember we were talking about that?
16:55 -  Yes. How about after God became a reality in your life and the Ruach HaKadash was working in you, did you find any difference concerning the students that you were teaching?
17:07 -  It's a totally different situation. You know, one is an attempt to live by precept and by principle, and I think Paul himself expressed this deep frustration, this anguish of soul of a man who has well-intending intentions.
17:23 -  He says, that which I would do, I do not, and that which I ought not to do, that I do. Who can save me from this death but thank God for Yeshua HaMashiach, for Jesus the Christ? God saves us from the predicament of trying to be ethical, of trying to live moral lives
17:41 -  when we have not that innate resource, that very strength and power which alone God can give. You know, it says that Abraham believed God and God counted that to him for righteousness.
17:55 -  The righteousness which Abraham had was not the consequence of his own moral deeds, but it was something imputed and given from God when a channel was opened by the believing heart of Abraham through which God could flood the righteousness which alone comes from God.
18:14 -  That is a kind of Judaism of which few men know anything, but there's a Judaism of another kind with which the world is far more familiar. It's a Judaism or an ethic of doing, of deeds, of causes, of philosophies, of ideologies
18:31 -  with which I was very familiar in times past, but the end was frustration and defeat, and even as we sought to reform the world, we were incapable even of regulating and controlling our own lives, our own marriages, our own relationships.
18:43 -  This is what I was referring to when I was speaking to the students. It would have been really different, wouldn't it, to have talked to them about coming out of the world, being part of it, but not of the system, just living in it.
18:54 -  The Judaism of God is to become a new creature. If any man be in the Messiah, it says he is a new creature. All things have passed away and all things are made new.
19:04 -  And that becoming new starts with the hearing of a voice. However strange the call, however unfamiliar, however it calls us from the things that are familiar, however challenging, to recognize whose voice that is and to obey it, for God
19:17 -  to appear, to become real to us, for us to worship him. And in that very act of worship, there's a lifting up, there's an ennobling, a stretching of our whole dimension of being.
19:27 -  It's not a jealous God who demands worship because he's petty, but it's a God who knows our frame and knows and accepts that we worship him in spirit and in truth. We're going to turn to much lesser objects for the objects of our devotion and worship
19:41 -  In the end, we worship ourselves, which is idolatry and which is in the end demeaning and we become as pagans. Absolutely.
19:49 -  I think it's for that reason that when Jesus had the conversation with the woman at the well, of all the things which he could have spoken, he spoke this, God the Father is seeking those who will worship him in the spirit and in truth.
20:04 -  And I believe with all my heart today that the same God, the same Father, is still seeking those who will worship him. And dear friend, whether you're a Jew or a Gentile, you know if you've come to a place
20:16 -  of authentic worship. You know if this God has made himself real to you in a deeply personal way by his spirit and has imbued his righteousness and his presence and his very spirit into your life that you
20:30 -  might worship him by the spirit and in truth. And I love the beautiful continuity of God and the integrity of God that's to be found throughout all the scriptures and the same principle of separation by which this whole
20:43 -  relationship begins is described again in a book called The Second Epistle to the Corinthians and we read there in that sixth chapter, the sixteenth verse, God says, What agreement hath the temple of God with idols?
21:00 -  For you are the temple of the living God, as God hath said, I will dwell in them and walk in them and I will be their God and they shall be my people. Wherefore come out from among them and be separate, saith the Lord, and touch not the
21:15 -  unclean thing and I will receive you. And notice what the consequence, Paul, is and will be a father unto you and you shall be my sons and daughters, saith the Lord Almighty.
21:30 -  Precious viewers, can you really say that God is your Father? You know the Fatherhood of God, can you call Him Abba, Dad? You know His familiar presence, the joy of His Spirit.
21:44 -  Have you heard His call? Have you come out? Have you followed Him?
21:48 -  I tell you that if you're not here in the Tanakh, if you're not here out of the Word of God, it's not likely that you're going to hear it elsewhere. Search the scriptures, Jesus said, they are they which testify of Me.
22:00 -  We invite you to open your heart to a God who still speaks, who still calls, who would still have people to come out and to follow Him, that you might know Him, worship Him, and love Him and serve Him with all your hearts and souls.
22:14 -  It's really the whole difference, isn't it? The difference between nominal belief, nominal ascent, and something that's real. That's right.
22:24 -  The presence of the Living God, praise God. Have we sung today? We haven't sung today.
22:31 -  Oh my. We mustn't neglect our viewers and perhaps they're becoming familiar with our favorite verse out of the Psalms.
22:39 -  To be able to lift your voice to God, having heard Him and having been obedient to come out, having experienced Him, I hope that you'll not be perplexed, that you're catching something of the sense and the spirit of the things to which we ourselves have been called by
22:57 -  that same still small voice, and to believe that there's a God who calls you to follow Him into the land that He will show you, and that our obedience to that call has brought us to this place before these cameras.
23:09 -  We have no program, we have no chart, it was not given to Moses, it was not given to Abram. There's a God who leads by His Spirit. We hope that you sense this leading, we hope to be obedient to it.
23:24 -  He leads us to speak, to share, to witness, to praise, to pray, and to sing. Right. Let's...
23:31 -  How do we sing that now? Where is that found in the Psalms, Paul? It's in Psalm 103, Psalm, verse 1.
23:39 -  And you have to bear with us because we're not Caruso's and we're not Mario Lanza's, but we're going to give our voices to God, and we ask you to join us. We're going to make a joyful noise unto the Lord.
23:53 -  You know, before we sing that, I think it would be interesting to remind our viewers that the Psalms came essentially from David, who was the singer of Israel. And of course, we have no knowledge of the music that accompanied these verses which
24:07 -  he composed by the Spirit of God, but they were intended to be sung. God is calling the people again to sing and to praise Him by the Spirit in the words which He Himself has given.
24:18 -  I don't know of a more joyous experience. In the same psalm as David said, Oh God, he said, take not thy spirit from me and let not thy presence, deep blood from me.
24:27 -  There's a real presence, there's a real spirit, and it enables you to praise and to worship Him which elevates, which ennobles your life, which purifies and purges it, and raises you up out of the level of the world, its entanglements, its viciousness, its gossip, everything that
24:48 -  seeks to destroy and to reduce and to pervert our lives and brings us into communion with that wonderful, redeeming presence. We've been dejected at times and we've been discouraged.
25:02 -  We've sung out of the Psalms and immediately we're born up by God. We sing in cars, we sing when we walk along the street, and God's Spirit bears us. It's tremendous.
25:14 -  Praise God. Bless the Lord, O my soul, Bless the Lord, O my soul, And all that is within me Bless his holy name.
25:46 -  Let's try it again. Bless the Lord, O my soul, Bless the Lord, O my soul, And all that is within me Bless his holy name.
