God Requires the Past

00:00 -  Worship before me? All nations. Why?
09:30 -  It is not a meaningless jumble of confusing facts. It is everything that God does. There is nothing to add to it or to take away from it.
09:50 -  And the whole purpose of it is that men should fear him. Their whole history is calculated to bring them to a place that they should fear him. And all this prepares us for this 15th verse.
10:18 -  It is a mystery of mysteries. That which has been already and that which will be has already been. For God desires or requires that which is past.
10:42 -  What a confusion. That which has been already? Yes.
10:52 -  The thing that presently is has always been. The same timeless elements that affect men in the past are with us still. The elements of the past are still presently with us.
11:24 -  And also that which will be is also with us. It is the triumph of Jesus Christ. It's already with us.
11:40 -  It is finished. Has been with us throughout time. And is now about to be made manifest.
11:56 -  On one basis only. God requires that which is past. How contrary that is to human wisdom.
12:15 -  Oh, let bygones be bygones, men say. It's in the past. It's finished. Nothing in the past is finished. It hinges upon us right in this present moment.
12:36 -  There is an unbroken continuum of sin. It continues from generation to generation. And no man is absolved from the past.
12:59 -  You say, brother, what do you mean by that? I mean that every one of us stands before Pontius Pilate and is required to choose Barabbas or Jesus. No, brother, that's not my choice. I was born after the event.
13:26 -  That does not absolve you from the responsibility of choice. That which is past is now. The timeless issues with which God confronts men is with them.
13:55 -  And we are required to choose. We can't say that we were born after the event. Our silence condemns us.
14:11 -  Pontius Pilate said, who will you have, this man or Barabbas? The way of God or the way of the thief and the robber? And they cried out, give us Barabbas.
14:36 -  And they sinned in their choice. And we who have been born after that time and remain silent, choose Barabbas also in our silence. If we have not affirmed the truth, we have chosen a lie.
14:59 -  Where have you ever heard these things before? But this is as God sees. And men need to know it.
15:21 -  The sins of the fathers are visited upon the sons. Until we acknowledge the sins of the fathers as our own, we are in the same guilt with them. But I never invaded Korea.
15:59 -  I never raped Shanghai. I would never do those things in Southeast Asia. We stand in the guilt of our fathers until we acknowledge that what they did is sin.
16:15 -  But remember, if we do not say that it is our sin, we are in the dark. That which is past is now. There is an unbroken continuum of sin.
16:35 -  Which only repentance alone breaks. So brother, have you got a scriptural text to prove this? Can you prove the scriptures by the scriptures?
16:53 -  I think I can. Turn to Matthew the 23rd chapter. Matthew 23.
17:04 -  The 30th verse. Jesus is making exactly the same point. He is talking to the Pharisees who are so proud of their religious righteousness.
17:21 -  And he says, because you say that if you had been in the days of your fathers, we would not have been partakers with them in the blood of the prophets, wherefore you be witnesses unto yourselves that you are the children of them which killed the prophets. Because you are unwilling to acknowledge the sins of the fathers as your own.
17:50 -  That shows that you are the children of them which killed the prophets. Because you think yourself somehow superior. You assume that you would not do as they did.
18:16 -  And that is your error. You are unwilling to acknowledge the sins of the fathers as your own sins. But you are not better than they.
18:37 -  And if the situation would have come again, you would do just as they did. Because there is no men righteous, no not one. He says in the 35th verse that upon you may come all the righteous blood shed upon the earth.
19:01 -  Upon you must come all of the righteous blood shed throughout all of the past will come on you. Verse 35. That is the blood of righteous Abel until the blood of Zechariah, the son of Barakaius, whom you slew between the temple and the altar.
19:27 -  Well you can see that this Jesus is a little disturbed in his head. What does he mean, whom you slew between the temple and the altar? You weren't even there.
19:46 -  This happened long before you were born. But that accident of birth and time does not impress Jesus. God never is impressed with past, present and future.
20:06 -  These are only human categories and human conveniences. God only knows the eternal now. And he sees every man standing before these issues.
20:24 -  Therefore he can say, whom you slew, though they were not even there. So long as they are unwilling to affirm the truth, they commit themselves to the lie. They are unwilling to acknowledge the sins of their fathers as their own.
20:57 -  In Acts the seventh chapter we see the same point made again. It's Stephen making his last speech before he is the first martyr. Again he is talking to a self-righteous generation.
21:22 -  But he doesn't spare them the words of truth. In the 51st verse, you stiff-necked and uncircumcised and hot in ears, you do always resist the Holy Ghost. As your fathers did, so do ye.
21:43 -  In the 51st verse, you stiff-necked and uncircumcised and hot in ears, you do always resist the Holy Ghost. You are exactly the same as your fathers. Which of the prophets have your fathers not persecuted?
22:03 -  And they slew those who showed the Messiah to come. Of whom you have now been the betrayers and the murderers. Your fathers slew the prophets who told of the Messiah to come.
22:32 -  And you sons slew the one who came. As your fathers did, so do you also. There is an unbroken continuum between fathers and sons.
22:50 -  Between the past and the present. That is yet not broken. You know what the proof of this was?
23:02 -  As your fathers did, so do you also. They slew Stephen too. We need to understand this.
23:17 -  This unbroken continuum of sin that operates in history. Until we acknowledge the sins of our fathers. Look at Leviticus, the 26th chapter.
23:44 -  In the 40th verse, 26-40. God speaking through Moses says, If they shall confess their iniquity and the iniquity of their fathers,
23:55 -  with their trespass, which they trespass against me, and that they also have walked contrary unto me, and that they then accept the punishment of their iniquity,
24:13 -  then I will remember my covenant with Jacob. The 41st verse, the end of it, and the beginning of the 42nd verse. We need to study this.
24:46 -  This is more than just ancient history. It's more than even Moses speaking to Israel. It is an eternal principle of God.
25:03 -  If God is going to be restored to a people, they must first confess their iniquity and the iniquity of their fathers. And they must accept the punishment of that iniquity.
25:28 -  The Jewish people have never done this to this very day. They have never acknowledged the sins of their fathers. They do not understand them as sins.
25:46 -  They don't understand why their temple was destroyed in 78 D, and Jerusalem destroyed, and the people cast into all of the earth. Though the word of God is clear, they will not accept it as the consequence of sin.
26:05 -  They will not see the destruction of Jerusalem and the temple as a punishment coming from God, as judgment. Therefore, even to this day, God is withheld from them. Therefore, even to this day, God cannot show himself to the people of Israel.
26:40 -  If we look at the 43rd verse, actually, they know my destiny. Well, it's written like that, but what does it mean in Japan?
26:56 -  Yes, we have been an aggressive and militant nation. In our lust and our ambition, we have invaded weaker peoples. In our racist national pride, we have subjugated and devastated them.
27:33 -  All of this has been through the enablement and help that has come from our religions and our philosophies. False religions that have encouraged us to this kind of conduct. But we confess this now as iniquity and sin.
28:07 -  And we accept of our punishment. We recognize that the atom bombing of Hiroshima and Nagasaki was not a mistake in the policy of the West. It was the judgment of God.
28:37 -  It was a terrible punishment, but so also was our sin. We don't argue with it. We don't attribute this to the mistakes of men in their policies.
28:58 -  We receive this as a judgment of God. And we repent. Then will God restore his relations.
29:20 -  Our failure to acknowledge the sins of our fathers as our own implicates us in their sins. And joins us with them in that sin. That needs to be broken by confession.
29:49 -  Only a confession breaks the connection with the past. Do we really think that Japan is a new nation? Do we really think that it is immune to the perils of the past?
30:09 -  Or are the same evil spirits continuing to brood over this land that have always brooded over it? Certainly that's true of Germany today. And that's why it's so difficult to labor for the Gospel in these countries.
30:56 -  The powerful forces of darkness that brood over the land that have had their origin in violence and war and bloodshed have never been challenged or broken. They have a legitimate right to remain. And they can only be dispelled by one factor.
31:25 -  Repentant acknowledgement of sin. Only that permits the light of God to break into this darkness. And loosen these powers that hold an entire nation captive.
31:54 -  That's why God requires that which is past. But have we acknowledged this? Have we seen as God sees?
32:06 -  That there is an unbroken connection, a continuum with the sins of the past. That needs to be acknowledged and broken through repentance. There's an interesting statement in the 19th verse in Ecclesiastes, the third chapter.
32:31 -  I said to myself concerning the sons of men, God has surely tested them in order for them to see that they are but beasts. God has allowed the violence of our past. Something needs to be demonstrated to men once and for all.
33:11 -  To recognize what their condition really is. These are not my words, they're God's. In order for them to see that they are but beasts.
33:30 -  Oh, but brother, what about the flower arrangements? What about the tea-serving ceremony? What about paper flowers?
33:44 -  In all of the beautiful aesthetic aspects of the culture and the refinement and the courtesy. Underneath that false outward appearance and subterfuge, all men are as beasts. This is the truth of God.
34:12 -  It's a painful truth. It runs contrary to our inbuilt respect for ancestors. But we must stand on the truth of God's own words.
34:32 -  For the way that God sees is a lone truth. The 19th Rishi says for the fate of the sons of men and the fate of beasts is the same. There's no advantage for man over beast for all his vanity.
34:55 -  Do you know why we have difficulty in recognizing this? Difficulty in accepting this? Because we don't really deeply believe this about ourselves.
35:10 -  We think it's by some virtue in us that God decided to save us. He really needed us for his program. We're unwilling to face the very hard, basic, foundational fact of what is the condition of all men.
35:44 -  There is no man good, no, not one. There's no advantage of man over beast for all his vanity. And what has the 20th century taught us in its history?
36:07 -  It's not that we are as bad as beasts. We are worse than beasts. For beasts are not cruel to each other. There has been a violence and a cruelty in our history that goes beyond what can be reasonably understood.
36:41 -  It's not just the use of force to accomplish what seems to be a necessary object. It's not just putting the knife in but turning it. It's humiliating men and degrading men.
37:09 -  It's fierce and vicious and vile behavior. It's throwing babies out of church windows and catching them on the bayonet of your rifle. It is being in contempt of men and destroying their lives as if you're cutting hay.
37:38 -  God shows us this in order for us to see that we are but beasts. We need to acknowledge what is the truth of our history. What it has revealed.
37:56 -  However much it destroys our pride. Because deep down many of us still have a national pride. We are not yet operating on the true basis of the gospel.
38:21 -  The love of country and culture still has a deep place in us. We are proud of being Jews, proud of being Japanese. We exalt our history and find a complimentary way to interpret it.
38:52 -  God brings his fierce judgments and we interpret them in such a way as we come out like heroes. Six million Jews were systematically annihilated in ovens in Europe. And instead of asking where was God, why did he allow this to happen?
39:30 -  We interpret it in such a way as we come out smelling like a rose. Look how we suffered for God. Look how we suffered for being Jews.
39:51 -  And the real truth of the matter is that you were not Jewish enough. You did not know the God of your fathers as you ought. You did not serve him as you ought.
40:18 -  You were the architects of modern thought and civilization that is against God. And it has cost you this judgment. But if they will not see it as judgment,
40:42 -  how much worse will the end be than the beginning? For God gives us lesser judgments to save us from greater judgments. And if we will not receive the firebombing of Hiroshima and Nagasaki as a lesser judgment, God will give us a greater.
41:16 -  All to keep us from an ultimate judgment in which there is no remedy eternally. God requires that which is past. My brother was telling me tonight that there is a movement in Japan that is trying to encourage in a new way the spirit of militarism again.
41:57 -  Can you explain to them the whole thing? We wrestle not against flesh and blood, but against principalities and powers and rulers of darkness in high places.
42:46 -  These powers yet remain intact. They go all the way back to the samurai and to the warrior traditions of Japan. Still secretly encouraged and delighted after.
43:16 -  It's a dark spirit power that needs to be broken. To release the nation for the gospel of Jesus Christ. For the revelation of light that comes from heaven.
43:35 -  That men might understand and be saved. The power of the past must be broken. By those who will acknowledge the sins of their fathers as their own.
43:56 -  Because God says if you will acknowledge the iniquity of your fathers and your own iniquity. And that you also have walked contrary to me, and you also. And shall accept of their punishment.
44:19 -  Then shall I remember my people. The church itself needs to be set free from the past. I remember one morning when I was together with Jewish believers in New York City.
44:39 -  It was the very neighborhood where I had been brought up as a boy. Six o'clock in the morning I was awakened by the windows rattling in the room where I was sleeping. And there was no wind.
45:02 -  And I woke perfectly alert. I knew that God wanted me to go outside of that house and to walk in the neighborhood in which I had been brought up. And I can't tell you what a haunting experience it was to walk through those streets where I went to school, where I went to the synagogue as a boy.
45:35 -  I came back about ten o'clock in the morning and my Jewish Christian brothers were up and I shared with them my experience. And the Lord showed us that though we were Christians, there was something very deep yet in our spirit that came from our Jewish past. A hatred of Gentiles.
46:14 -  A despising of Christianity and the spirit of Antichrist. We had all gone through the synagogue of Satan. We had taken this up with our mother's milk.
46:35 -  And that morning the Lord had us to pray one by one in a new special way. I still remember the prayer. Lord, in the name of Jesus and in the power of his blood,
46:54 -  I cut myself off from the sins of my fathers and from ancestry from every negative and evil thing that has gone on in father and family and unseen generations. I cut myself off in the name of Jesus and in the power of his blood.
47:29 -  And we experienced a strange release of freedom. It was a Saturday morning and the Lord led us to the synagogue that day. We came in the service and we filled up the entire pew.
47:50 -  We came and sat in the service and filled up an entire pew, a row of seats. Did you share that? No.
48:04 -  Do it. I did not miss it. We came into the synagogue and we occupied an entire row in the synagogue, sat down in a row together.
48:13 -  We must have looked different from everyone else sitting there. The rabbi came by at the end of the service and he said, You look like a row of angels.
48:31 -  When it was over and we came outside, one of the Jewish brothers said something that I'll never forget. He said, This is the first time since I have been a Christian that I'm able to sit in a synagogue and be at peace. A bandage has really been broken.
49:10 -  I really feel released. I could sit there but I'm not affected. It has no power over me.
49:21 -  He said every previous time I came I was intimidated in that synagogue atmosphere. But some invisible bondage had been broken through prayer in the name of Jesus and the power of his blood. That needs to be begun in the church.
49:54 -  God requires that which is past. So I'm going to suggest it to you. Please make this prayer.
50:15 -  If we do so, we can get rid of the spirits that come from your sins. If we keep silence about those sins, we are instructing them in the dark. And I think that this is a key of release in the nation.
50:46 -  For the chapter ends in the 22nd verse in Ecclesiastes. The last verse. I've seen that nothing is better than that man should be happy in his activities.
51:03 -  For who will bring him to see what will occur after him? Who will bring them to see what shall come after? Those who truly understand the past.
51:31 -  Because eternity is in their hearts. Because they have been set free from the power of the past. Because they have broken the spiritual bondage that connects them with the past.
51:50 -  These are a people that can make a nation to see what shall happen after them. I have the same feeling about Japan that I have about Germany. What Germany was to Europe, Japan has been to Asia.
52:21 -  Both have brought devastation and evil to the area of the world in which they are centered in modern times. Satan has used both nations to bring evil into the world. And God now desires to use the same nations to bring blessing and good.
52:55 -  Germany is the key to the salvation of Europe and of Israel. And I believe that Japan is a key to the bringing of the blessing of the Gospel to Asia. Where Satan has come in like a flood, God wants to raise his standard.
53:27 -  When you will acknowledge the iniquity of your fathers as your own. And that the punishment which has come has been just. Then, God says, then.
53:47 -  He requires that which is past. That's what the word says. That which is past is now.
54:00 -  And God requires that which is past. The world and the spirit of the devil says, oh, bygones be bygones, it's all in the past. It's finished.
54:16 -  No, it's present now. Its power needs to be broken by confession of the iniquities of your fathers as your own. And breaking the connection with the past in the power of the blood of Jesus.
54:36 -  It will bring the release. It will break up the principalities and the powers of darkness. It will admit into the nation the light of the Gospel.
54:58 -  I want us to pray together for this. Something needs to be birthed. Something new coming out of the past.
55:14 -  And yet cut off from it. A new release according to God's own seeing. A true recognition of the meaning of the past.
55:32 -  Because eternity has been set in our hearts. Let's pray for this. We thank you, Jesus, for the day of small beginnings.
55:54 -  You have got to begin at some place. And you have begun here. It has pleased you to bring this word here.
56:14 -  To birth this understanding here. And Lord, we want to be obedient to your word. We want to be completely free from the power of the past.
56:31 -  We want to be as angels ascending and descending on the Son of Man. And not superficial Christians locked into their culture. So we thank you for the word of God.
56:55 -  For you we shall know the truth and the truth shall set us free. We thank you for the blood of Jesus. That can cut the power of the past.
57:09 -  We ask you not to hear our prayer. As one by one we speak a confession. We sever ourselves from father and family and ancestry.
57:25 -  We cut ourselves off from unseen generations. That we might be free in the present. To bring men the knowledge of the future.
57:44 -  To save them in eternity. Out of the punishment of hell. Hear our confession.
57:57 -  And release us we pray. Break the powers of darkness. Let your light break into darkness.
58:10 -  And let it spread from here. That there might be release in this nation. That you might send from this nation.
58:25 -  To bring the blessings of the Gospel in the world. The ministry of reconciliation. Where there has been pain and bloodshed.
58:41 -  Come my God. Come, hear us. Amen. Make a clear confession before God, before men and before the powers of darkness.
59:11 -  Use the name of Jesus and the power of his blood. Lord, I sever myself from the past. I cut the connection.
59:32 -  I acknowledge the iniquities of my fathers as my own. I do not defend our history. I do not defend our history.
59:47 -  I acknowledge it as sin and evil. Set me free from the power of the past.
