Apostolic Foundations 11

00:00 -  There's a book called the Apostolic Imperative. Don't get scared. I'm not going to read it.
04:54 -  But there's a sense in which priestliness can be understood that is remarkably relevant. It's unchanging and it's eternal and it's heavenly. It's the kind of priest that Jesus is that makes him the high apostle, the high priest
05:08 -  and the apostle of our confession and if it makes him to the same degree it makes us. If we have an apostolic intention we need also to have a priestly consideration. So I just want to review some things that pertain to the priesthood of Jesus because
05:26 -  it pertains also to us who have a heavenly calling, holy brethren. How do you like them apples? I like that kind of talk and it's not just apostolic rhetoric.
05:40 -  It's not just a kind of fanciful coining of words. Every single syllable of the word holy, of the word calling, of the word heavenly is fully intentioned by God and we need to receive that into our deepest consciousness.
05:59 -  We have a heavenly calling, holy brethren, to be apostolic and to be priestly. And for that we're going to receive heavenly assistance. So I could take you on an excursion through Hebrews just to develop that a bit and I'm
06:25 -  just concerned about the time about entering the rest of God in chapter four verse three for we who have believed enter that rest. There's a whole discussion here about the failure of Israel to enter the rest of God
06:42 -  because of their disobedience and because of their unbelief, but we are enjoined and warned by their failure ourselves to enter and by faith into the rest that God has promised to the people of God.
06:58 -  So verse nine says, So then there remains a Sabbath rest for the people of God, for whoever enters God's rest also ceases from his labors as God did from his. And that's why the pastor had to say tonight, I don't know what these three weeks are going
07:11 -  to be. I've been touched by this evidence waiting on God coming up weak and not laden with notes and feeling your way through by the presence of God for the thing that he wants
07:26 -  delivered to enter that rest. It's an ironic thing that I can say with certitude and with authority that the tumultuous conditions that the church will face at the end of the age where our acts will be as significant
07:41 -  as was the book of Acts that described the church in its inception, our acts in the conclusion will be every bit as fraught with significance as it was at the beginning, if not more so. And yet as hectic and tumultuous as that action is going to be, it needs to flow out of the
08:01 -  rest of God, not out of our anxiety, not out of our apprehensiveness or nervousness or what should we do or should we be doing or we have an obligation, but out it's a paradox, it's an apostolic paradox that out of the rest of God alone and only will come the most
08:25 -  potent and dynamic apostolic acts at the conclusion of the age. So entering the rest in which Israel failed is an enormous mandate that is before us or else we come unglued or else we're jerked by every kind of cause, every kind of seeming
08:43 -  good thing in which we ought to participate, but to be able to rest and to be moved only by the Spirit of God in his time and for his purpose is the place where a whole church must come.
08:56 -  For whoever enters God's rest also ceases from his labors as God did from his. Let us therefore in verse 11 strive to enter that rest and that remarkable play on words. Somehow it's not going to come by itself, that kind of rest is not just leaning back
09:13 -  in some kind of passivity, there's a apostolic fervency and a passion of concern to come into it or else we'll not obtain it. And verse 14, since then we have a high priest who has passed through the heavens, Jesus,
09:29 -  the Son of God, let us hold fast our confession, for we have not a high priest who is unable to sympathize with our weaknesses and so on, but who is tempted in every way yet without sin.
09:39 -  Let us then with confidence draw near to the throne of grace that we may receive mercy and find grace to help in time of need. And I would do flip-flops, I don't know what I would do right now, turn myself inside out.
09:54 -  If I could convince you that that is not some kind of formula, that that's not kind of a sleepy incantation, that's not just a familiar verse that we've heard, but it's a prescription for life and death necessity in ultimate moments of extremity, to find grace to help in time
10:17 -  of need. Where am I going to find it when I walk the five flights up to that brother's door on December 14th and 15th and knock and open and have a word for him and counsel and wisdom
10:33 -  and direction that involves this man's life and the congregation that is joined with him, where the issues of life and death are actually at stake, where men can disappear and not be seen again, where they can be thrown into a dungeon and be lost, or be beaten, or what?
10:53 -  What kind of wisdom, how shall I prepare, what shall I say, and how shall we receive it? If you feel that you have a problem, how do we walk out these 12 weeks?
11:03 -  What shall he think in terms of the radical things that God might have to say, living on the razor's edge as they do? We need to be able to draw near the throne of grace, that we might receive mercy, because
11:17 -  therefore if we don't receive it, how shall the Jews obtain it from us and find grace to help in time of need, and these times will be increased and become more radically urgent as we go on.
11:29 -  So if we don't know how to enter, if we don't know how to draw near, if we don't have a faith that enters and a faith that can draw near and into the heavenly place, if this for us is just a kind of prologue, a rhetoric, an empty kind of talk, that is not for us
11:47 -  a specific key that can be actualized, and there's an actual entry by faith, we're not going to find help. So there's so many words about confidence, about assurance.
12:10 -  In verse 11 of chapter 6, we desire each one of you to show the same earnestness in realizing the full assurance of hope until the end, so that you may not be sluggish, but imitators of those who through faith and patience inherit the promises.
12:25 -  Our problem is that we've heard so much that we've not heard. Our problem is that these words have become so familiar that their value has been lost to us, that there is something actual to be inherited, that there's something to be endured
12:39 -  until the end, that there's a holding fast, there's having a full assurance that God really means what for us has been only, what shall I say, ceremonial, sermonizing words rather than an injunction that spurs us to believe for that in reality.
13:00 -  Verse 17 talks about the promise, the heirs of promise, and verse 19, we have thus this as a sure and steadfast anchor of the soul, a hope that enters into the inner shrine behind the curtain where Jesus has gone as a forerunner on our behalf, having become a high priest
13:23 -  forever after the order of Melchizedek. Here's where we freak out, here's where we flip out, here's where it becomes so abstract, so obtuse, the references seem so remote that we drift away.
13:35 -  I hope that's not happening to you tonight, because before this night is over, I'm going to put before you a charge and a challenge to actually enter into a place that has been prepared for us beforehand by a high priest who has gone before and who has made a way
13:55 -  of entry through his own blood and by the rending of the veil, by the tearing of his own flesh. Once and for all, does that mean us?
14:09 -  And that this place is the place of faith, that it is the place out of which God would have his end-time saints to live and move and have their being, it is the place of apostolic authority, it is the place from which we will draw our inspiration and find grace to health
14:25 -  and time of need, but it's a place in the heavenlies, and yet we have a heavenly calling, and yet we're told that we can enter by faith, that we can have a confidence in this hope until the end.
14:38 -  Either God is playing a game with us and is just verbalizing and titillating us with abstract terminology, or he is meaning something so actual and so obtainable only by faith that if we verbalize this away, we have lost the key to the fulfillment of the apostolic imperative,
15:01 -  namely to move and live and have our being out of that heavenly place by faith within the veil. It's a hope that enters into the inner place.
15:16 -  So you have a faith that takes hold, you have a faith that's confident, you have a hope that can enter. They did not enter the rest.
15:26 -  When God says enter, he means something very actual. It's not just an illusion, it's not a metaphor, it's not just a suggestion, he's talking about a concrete actual entry in a spiritual place by faith, and the issue for us tonight is,
15:44 -  have we moved from faith to faith by the ministries that have come to us by the fivefold ministries, through the word, through our obedience to God and the things that he's shown us in our walk thus far, that we can actually enter by that faith into the place that God has
16:02 -  prepared for us, and in fact in which he bids us enter, as Jesus himself did by virtue of his own blood and by the lending of the veil through the piercing of his own flesh, and he entered as the Melchizedek High Priest, a new priesthood, a change.
16:22 -  The Aaronic Order was abolished when that veil was rent in the crucifixion of Jesus. It was not just God drawing something to the attention of a religious system that had opposed and crucified the one whom he had sent, but he was marking an end, finish, to a whole
16:41 -  ecclesiastical and political thing that had moved so far from God as to fail to recognize him whom he had sent and had crucified him. But in the moment that he had given up the ghost, the veil was rent from top to bottom.
16:54 -  It was God's work, and it was the veil that had covered the holiest place of all, behind which only the High Priest was allowed in, but once a year, and that was the blood of calves and bulls, and with that veil was rent, God was saying, that priesthood is finished.
17:10 -  That blood is no longer valid. With the shedding of this blood and with the rending of this flesh, another veil has been parted, of which the earthly type is finished, for it was only a shadow ever, and to begin
17:23 -  with, to point to the one that is eternal and in the heavens, and which this one whom he was crucified is now going to enter, not with the blood of calves and bulls, but with his own blood as a High Priestess in the order of Melchizedek, forever, once and for all.
17:42 -  My God. If God is not speaking by His Spirit, if these are just words, if this is not finding a place in our spirit, if we're not laying hold of this, we're missing, I don't have a word to
17:54 -  describe what we're missing, we're missing the consummation, if we're just majoring on the atonement for forgiveness of sins, and think that that's the whole of what was served in the crucifixion of Jesus from the shedding of His blood and His ascension on high, we're
18:11 -  missing the most powerful and eternal, continuing thing that has been made available to us who believe and who can enter that reality by faith. There's no other way to fulfill the apostolic imperative except from that place.
18:30 -  You're doomed to frustration and to defeat, and maybe even to the rejection of the faith that you say cannot work, that God has put before us apostolic charge and mandate of the most radical kind, and when we sought to walk it out, we collapsed and we failed,
18:47 -  because we didn't walk it out from the place from which God alone intended that we should, from within the veil, from the holiest place of all, from the holiest of holy, from the mercy seat, from between the wings of the cherubim, from where his shekinah, glory,
19:05 -  and presence is. Guys, I'm not a whooping, if you believe me for ten weeks, believe me tonight, I'm almost willing to forsake the ten freest weeks if you but believe this, and faith comes by hearing
19:22 -  and hearing by the word of God, I want to see your incredulity dissipate away, like your eyes begin to get more intense, like, hey, is God really meaning this, that this is not metaphor, this is not some just liberal use of words, that there's an actual heavenly
19:40 -  place that I might enter in the realm of spirit by faith, which is the locus and source of my life, my animation, my energy, my wisdom, my instruction, my power, even while I'm yet on the earth?
19:55 -  Yes, there is. I just finished an assignment for one of my classes and blew the lid off. I was low man on the totem pole, I didn't have the advantages of Greek and Hebrew and
20:10 -  had to sit there with very bright seminarians whose Hebrew was better than mine being Jewish. And remarkable word studies week after week of such an esoteric kind where every nuance was weighed and calculated.
20:24 -  And so finally I had to give my piece on the final week of that class, and my assignment was a critique and an examination of the speech of Stephen that culminated in his martyrdom. And I realized the opportunity, not because I have the tools to do an analytical word
20:42 -  study, but I wanted to probe by the Spirit of God, why is it that this historic recitation, you're all familiar with Acts 7, where he reviews from Abraham the whole history of Israel, the going into Egypt and Joseph and so on, and then at a certain point he breaks
20:57 -  off and he said, as your father did so do you also, you do always grieve the Holy Spirit. And at a certain statement, at a certain moment they rush upon him, they put their fingers in their ears, they couldn't dare to hear it when he said, oh, I see the heavens opened
21:15 -  and Jesus standing at the right hand of the Father. And when they heard that, they fell into such a rage and fury and fell upon him and dragged him out of the city and stoned him to death.
21:29 -  And I never understood why with that statement men should be moved to such a fury until now. And I'll tell you why. Because the powers of the air that had ruled through a corrupt priesthood to jerk and to
21:44 -  manipulate a whole nation through the corruption of men who were self-seeking and found it necessary that one man should die for the nation, that is to say for their system, were in a certain moment brought to realize that the one whom they crucified and saw as the
22:01 -  greatest threat to their religious and political power had now gone from the grave up into the heavens and was at the right hand of the Father in the high priestly place, which in one fell swoop forever marked a termination to their corrupt earthly priestly rule.
22:24 -  And when they heard that, they rushed upon him and could not bear to hear the revelation of Jesus in the heavenly place. The powers were moved to a fury and reacted in their characteristic violence because they
22:42 -  knew that their cause was lost and their priesthood and their corrupt rule through it was terminated for a new priesthood had been initiated through the blood of Jesus and through that eternal sacrifice Melchizedek's high priestliness that would be forever.
23:02 -  Thou art a priest forever, it says in Psalm 110, after the order of Melchizedek, which means for us a better hope through which we draw near to God in verse 18. The Lord has sworn, it says, and will not change his mind, thou art a priest forever,
23:19 -  and this makes Jesus the surety of a better covenant. So in verse 25, consequently he is able for all time to save those who draw near to God through him, since he always lives to make intercession for them, for it was fitting
23:34 -  that we should have such a high priest, holy, blameless, unstained, separate from sinners, exalted above the heavens. He has no need like those high priests to offer sacrifices daily.
23:44 -  He has no need. I can almost stop right there. He's a heavenly priest.
23:49 -  He has no need. It says in another place, if he were on the earth, he would not be a priest at all. I'm saying these things not only to note the distinction of Jesus, but to denote our distinction,
24:01 -  because if we are in him, if he has brought many sons to glory and that he has attained his priestly role by virtue of his sonship, what does that mean for us, that we have entered into that heavenly place through him and with him, also in the character of this Melchizedek
24:22 -  priesthood. So we have, it says in chapter eight, the first verse, such a high priest, one who is seated at the right hand of the throne of majesty in heaven, a minister in the sanctuary
24:33 -  and the true tent, which is set up not by man, but by the Lord. And then it goes on to say in verse one, now, if you're on earth, you would not be a priest at all.
24:42 -  And yet is that to say that that heavenly priestliness has no consequence for the earth. It has every consequence and significance in chapter nine, verse eleven, but when Christ appears a high priest of the good things to come, then through the greater and more perfect
25:05 -  tent, not made with hands, that is not of this creation, he entered once and for all into the holy place, not taking the blood of goats and calves, but his own blood. He entered once and for all you say, but that's Jesus.
25:21 -  What right have I to enter? And yet the scripture says enter and find help in time of need. How can I enter?
25:31 -  I don't have the qualifications of Jesus. I'm not that blameless and unstained and separated from sinners, but God did you enter not on of your own virtue or even your own track record or qualification, but on the basis
25:49 -  of his shed blood, he entered once and for all. And one of the questions that's before us tonight is that we have the faith to believe in the value of that blood as the father esteems it because that blood was so precious in the
26:07 -  father's sight, it made an entry once and for all into the holiest place of all in the heavens behind the veil. And we are invited to enter also, not on the basis of our virtue, but on the basis of his
26:25 -  blood. You see how the blood has an application and a meaning beyond the issue of atonement that few saints have seen or understood.
26:40 -  In chapter 10, verse 19, Therefore, brethren, since we have confidence to enter the sanctuary by the blood of Jesus, not our own virtue, by the new and living way which he opened for us through the veil that is through his flesh, and since we have a great priest over
26:58 -  the house of God, let us draw near with a true heart and full assurance of faith with our hearts sprinkled clean from an evil conscience and our bodies washed with pure water. Let us hold fast the confession of our hope without wavering for he who promised is faithful.
27:19 -  Can you enter on the basis of that promise, on the basis of that invitation, on the basis of that blood which opened the way for us a new and living way? And if I took a poll tonight to ask us how many of us feel that our life now is essentially
27:38 -  being lived from that place, that your decisions, your inspiration, your readings, your strength, your encouragement, your boldness, your spirituality, your discernment, your sensitivity, your knowledge of and the love of God stems from that place.
27:54 -  How many of us were able to say, yes, that's where I essentially and consistently live my life and draw my inspiration in Exodus twenty five with the picture of the tabernacle that was given Moses on the mount, which is the shadow of the heavenly one speaks about
28:13 -  the holiest place of all and in it in the holiest place is only one piece of architecture. It's the mercy seat. There's no lamp. There's no candelabra.
28:22 -  There's no seven armed candelabra as is to be found in the court that precedes it. There's only one thing and it's covered. It's not like the outer court that was open to the sunlight where you could see even
28:36 -  naturally and discern certain things pertaining to sacrifice and the issues of atonement. That was basic stuff. As you entered into the court compound, you could see the brazen altar and the place of
28:51 -  washing and you could see by the light that was natural, even the issues pertaining to salvation. But the issue is how many believers have never gone beyond that place are still fixed in
29:02 -  the outer court. They're out of court Christians who only know the issue of salvation. And that's all they talk about.
29:09 -  They never go beyond salvation and they have no effectual consequence for the church or for God in their generation and in the world. They're still fixated at the issue of salvation.
29:22 -  Fundamentalists to a great degree are described by that. But there's another court beyond that's called the holy place. And then there was an instance burning, which is a picture of the Holy Spirit and the table
29:36 -  of showbread and the seven branched menorah to give a new kind of light because now you're inside and you're cut off from the natural light, but you had the light that was burning to show you the issues of the kingdom and the issues of the body of Christ, the issues
29:51 -  of the church and the whole of the incense altar was a picture of the baptism of the Holy Spirit by which you entered through that veil and how many charismatics are fixed there and never go beyond.
30:03 -  And the whole issue for them is incense, is worship, is praises, choruses, satisfied with the terminology of the body of Christ and the issues of church government as if that's the ultimate end.
30:15 -  And if we got that straight, we've got the whole thing and not realizing there's yet one more court. There's yet one more court and it's the holiest place of all.
30:25 -  And there only one could enter in the year, a high priest. For the other places, there was much scurrying of priestly activity daily, but in the holiest place of all, only the high priest and that was blood of a blemishless sacrifice taken
30:42 -  into the holiest place of all behind the veil. No illumination, no candle burning, and yet the place was ablaze with the most brilliant light and illumination from what source?
30:55 -  from the presence of God himself who is to be found between the wings of the cherubim and by the mercy seat because he said to Moses, and there I will meet with you above the place of mercy and between the wings of the cherubim.
31:11 -  I will meet with you and I will give you all that pertains in command to the children of Israel. You know what I want to say tonight?
31:21 -  That's still God's prescription. How do we fulfill the apostolic imperative? How do we find the stratagems?
31:27 -  What do we do? There's only one place where we're going to find it. It's going to be where he will meet with us behind the veil in the holiest place of all,
31:37 -  in the place of his presence, in the place of his sheikah, in our glory, for those who have entered in by faith, by the blood of Jesus once and for all, and who consciously live there, consciously have their being there, consciously wait on God there, are not distracted
31:57 -  by jarring and visible things, wait for the presence of God, wait for the inspiration, meet him there. There I will meet with you.
32:07 -  I want to say the apostolic imperative, okay, what's the apostolic fulfillment? Fellowship with God in the holiest place of all, communion with him. There I will meet with you.
32:23 -  It's not that we just get together and I give you a few things that you can say and do, but out of union, out of loving fellowship, out of intimacy in the holiest place of all, where my presence is, I will meet with you and I will give you all.
32:43 -  That's the difference between the demonstrations of power that will be the marks of false apostles and false prophets and false miracles and lying signs and wonders, all kinds of demonstrations by those who do not know him.
32:57 -  Be part for me ye workers of iniquity, for I never knew you. But didn't we do great things in your name? But I never knew you.
33:06 -  What you did was by the employment of my name or by a more yet devious source, but it did not flow out of a union with me, out of communion, out of the knowledge of me in the intimate place, behind the veil in the holiest place of all.
33:22 -  Guys, God didn't give us a mandate that we were going to fulfill outside of him. He is the high priest and the apostle of our confession. He's entered a very precious and heavenly place and he wants his church to have his
33:41 -  whole life, its conduct, its acts emanate from that place. And he's entered before us once and for all. Don't let a spiritual and a complex keep you up that you don't think that you're not qualified.
33:56 -  God is not looking at your qualification. He's looking only at his son's blood. Therefore, don't throw away your confidence.
34:04 -  He who has promised is faithful. Let us hold fast the confession of our hope without wavering. And I want to say tonight that there needs to be a new apprehension of the greatness
34:18 -  of Christ, a new understanding of the fullness of what was worked in his death and the shedding of his blood. It needs to come to us as an inward revelation and something that needs to be held in our
34:30 -  deepest consciousness, that this is not some fanciful illusion, but something glorious that God has made available for the saints. And this is the kind of thing that will save us from our hangups, from our self-consciousness.
34:47 -  It's the deliverance from everything in us that has been sickly, in which we have looked to ourselves, looked to our failures. When you come into that presence, when the High Priest comes in, he doesn't come in with
35:00 -  the consciousness of himself. He's melted in the consciousness of him before whom he stands. There's a place for us that is so remarkable for those who can enter by faith.
35:16 -  There I will meet with you and give you all Exodus, the 25th chapter. And yet I want to say that I'm not describing some clinical thing or a technique or a method of how to do it.
35:29 -  This is for lovers. This is for those who come into his presence. This is meeting God intimately in the only place where he can be met in the holiest place.
35:40 -  This is devotional. And I want to say just a word about devotion in conclusion, because God is really dealing with me in this very area where I was deceived, the Lord has shown me, and where I thought
35:54 -  that my zeal for his kingdom or my zeal for his purposes is tantamount to or the same as a love for and a devotion for him. It's not.
36:04 -  You can be carried away by a religious zeal and have very little to do with the person of Jesus himself. In fact, what the Lord showed me was that in a way much more deeply than I recognized,
36:16 -  I was yet so inherently Jewish that there was something monotheistic in my soul that was repelling the Son of God as being a kind of Jonicum lately. I was acknowledging him technically, but I was not making a place for him devotionally
36:34 -  as the very incarnation of God in his humanity that was the basis for union and for relationship. And I was conveying in my own household an abstract God, a God of requirement or an ethical God, but not the palpitating living God in his humaneness.
36:52 -  And my own humanity was suffering. I've been majoring in the gospel since that time. In these very weeks, drawing close to the Son of God, coming to know him, sensing his
37:07 -  person. This is a call for not clinical detachment. This is not another methodology of panacea, a key of how to do it.
37:15 -  The whole thing is predicated on union and fellowship and the intimate knowledge of him. There I will meet with you and give you all that pertains to the sons of Israel. So just to read a few things from a precious word on devotion, which is described by this
37:35 -  writer as the blending of vehement, passionate zeal with love, of abandonment and worship and adoration. Devotion to Christ is the basis upon which end time privileges are bestowed.
37:49 -  It's to these that God will grant power and authority in a way because they can be trusted, because he knows him, because it's not going to be abused or misused, because this is to lovers who are jealous of his glory and for his honor.
38:06 -  There are things that are reserved for those who love him that will never be shown, let alone given to those who barge in and think that by a formula or a technique or a method that they're going to have a key to the kingdom.
38:23 -  Devotion means sacrifice, consecration that is not cold and legal. It's not the abandonment that comes through pressure or the yieldedness that follows severe chastening.
38:35 -  We've all experienced that, but that does not in itself constitute devotion. Devotion is glad, joyous delight in the will of God, be it pain or pressure, humbling or exulting.
38:47 -  It is the wealth of heart love poured out at the Master's feet. Devotion to Christ is the basis upon which end time privilege is bestowed, because God's nature is to give those who have moved him by the ardent quality of their love and their
39:10 -  devotion. So God has offered us a place by which we can can fellowship with him in that way, and it needs to come into our faith, into our consciousness.
39:24 -  We need to see ourselves in that place, entering it by faith, remaining there, abiding, holding fast, being steadfast, confident, unwavering. Do you believe that?
39:35 -  That there's a place. It's the place where he will meet with us, and there I will give you things that pertain to the sons of Israel, to the Church, commandments, inspiration, encouragement, strength, that
39:53 -  we might fulfill the apostolic imperative. So I want to end by giving an invitation tonight to actually enter, to enter by faith. I remember how God showed us in the community a few years ago this critical thing.
40:09 -  I was listening to some brother's tapes in bed. I had the tape recorder on my chest and my Bible in my hand, and I was clicking on and off, watching the scriptures as he was going through it, and something was building in
40:22 -  my spirit. I had lived a Christian life with extraordinary zeal and intensity, and I would go for God And yet I knew that it was a critical area in which something was missing in my life
40:35 -  and my relationship with the Lord. And this brother was speaking about entering behind the veil into the holiest place of all.
40:42 -  And at a certain point, I just kind of clicked off the tape recorder and closed my Bible. And I said, this is by the blood of Jesus? I thought in some Jewish way it had to be with my qualification.
40:55 -  I thought it had to wait until I reached a certain pinnacle of maturity, a certain track record of accomplishment, that I would then be granted the honor that the Lord says, enter, enter freely.
41:08 -  He did just enter, because one has gone before us who has entered once and for all. On the basis of his blood, and I just prayed a little prayer, I said, Lord, on the basis of the blood of Jesus and what you say in the word, I want to enter that place of rest.
41:28 -  I want to come into that holy place. I want to live my life and serve you out of that place. In Jesus name, just a small, something in my fluid, click, and a certain peace followed.
41:40 -  And I came that next morning to our community prayer meeting. I could hardly contain myself. And I shared that with our fellowship.
41:46 -  And I think like the spirit of God just swept us. We all stood and prayed, I enter. Hold fast the concession of your faith.
41:55 -  You know what I had to do? I had to confess. I am entering behind the veil into the holiest place of all by the blood of Jesus and by
42:04 -  the veil that was rent by his flesh. And people entered. And I wanted, God wanted to give us an opportunity tonight to enter.
42:15 -  I want you to take inventory of your faith and enter by faith. This is not a metaphor. This is not a play on words.
42:26 -  God is wanting natural entry and it's available tonight. And it's only out of that place you're going to fulfill God's precious requirement and make his glory known.
42:38 -  So precious God, I just thank you, Jesus. Thank you, my God, for how far you go in order to obtain this. How far you're going with me.
42:51 -  And so allowing my life to be moved upon in such a way as the second marriage and to and you're doing this with me, you're shaking families, you're shaking ministries, you're shaking men and women whose marriages have been idolatrous, whose eyes have not been
43:08 -  fully upon you, who have not been into that quality of devotion in their relationship with you. And you have used the word Lord, Lord.
43:21 -  You'll go that far to bring us into that place, that devotion, that love, that intimacy. Look upon us tonight, Lord, and even allow the word that has come as a word sent, given to create faith, to believe that indeed there's a new way that has been opened to us.
43:46 -  That we don't have to live our life outside of that holiest place, out of a mere mechanical and religious determination to be good or do good. You put so much more before us in these days than we could ever fulfill out of religious
44:01 -  intention. Only from that place, there where you will meet with us. And so I ask you to hear my God and to receive into that place everyone tonight who desires
44:16 -  it and who will enter it by faith, confessing that by the blood of Jesus I enter in once and for all, to the holiest place of all, and there to abide, there to dwell, there to remain, there to live and have my being, there to meet with you, there to receive instruction,
44:39 -  encouragement, strength, all that's needed to be an apostolic people. This is your heart and this is your faith. I just ask you to follow me in simple words.
44:50 -  Heavenly Father. Heavenly Father. In Jesus' holy name.
44:54 -  In Jesus' holy name. I believe your word. I believe your word.
44:58 -  I believe your provision. I believe your provision. You have not called us to apostolic challenge.
45:05 -  You have not called us to apostolic challenge. Without providing an apostolic fulfillment. Without providing an apostolic fulfillment.
45:13 -  Out of your power. From your power. From the place of your presence.
45:18 -  The place of your presence. The holiest place of all. From within the veil.
45:24 -  From within the veil. In the heavenly sanctuary. And right now.
45:30 -  In Jesus name. By the power of his blood. By the power of his blood.
45:36 -  And not my own virtue. I enter. I enter.
45:42 -  Into that place. And before your presence. And before your presence.
45:48 -  That you might meet with me there. Continually. Help me to be ever conscious.
45:54 -  Of living from that place. Of living from that place. The place of rest.
46:00 -  The place of rest. That you have prepared. For those who love you.
46:06 -  For those who love you. Thank you Jesus. Hallelujah.
46:12 -  Just let us enjoy the Lord for a moment. Just quietly. The sense of peace that has come into your spirit.
46:18 -  The sense of peace that has come into your spirit. Hallelujah. God hasn't called us to.
46:32 -  Anxiety and. Breaking our heads. And learning faith as a technique and a method.
46:38 -  He's called us to a relationship. To a devotion. To a God who is lovely.
46:44 -  Who has done so much for us. Who has done so much for us. As even to invite us to dwell with him.
46:50 -  In his high priestly place. Thank you Lord. We love you for that tonight Jesus.
46:56 -  And Lord from that place. We intend to become. Fathers.
47:02 -  Mothers. Husbands and wives. Servants of the most high God.
47:08 -  There we intend to receive our wisdom. And our instruction. There we believe to receive our strength.
47:14 -  All that is needful. Out of your presence. Thank you Lord.
47:20 -  For this holy invitation. We love you. We meet you there in Jesus.
47:26 -  Teach us to dwell. To wait upon your presence there. Thank you for the rest.
47:32 -  For the peace. May your great acts. At the conclusion of the age my God.
47:38 -  Issue from that place. To you be all praise. And glory and honor.
47:44 -  We love you Lord and we thank you.
