The Making of an Apostle

00:00 -  Are we on here? So Lord, we bless you Thanking you for the day that you have made
17:54 -  There's nothing commonplace. There's nothing every day every moment class conversation Sitting at the table together Is the prospect for the glory of God forever?
18:06 -  Ever we mustn't dismiss this as some kind of rhetorical flourish as a stylistic thing That that Paul and other of the biblical writers employ. It's the deepest statement of their reality They were men always living in the eternal moment
18:23 -  Always viewing something not in terms of whether it will succeed Or whether it brings us a blessing or whether we will enjoy it. Those are secondary considerations if they are considerations at all There's only one consideration. That's apostolic and that is the glory of God
18:40 -  And if it glorifies him, we'll be blessed also But if we don't make that our vantage point if we don't make that the focus of our of our being then we're going to find ourselves Acting out our lives at a lesser level. Did they like it? Did they enjoy it? Were they blessed that there were assuming it's
19:01 -  This glory of God There's a merciful provision to lift us up and out to a higher plane of being and consideration And once you're on that plane and it's the issue of God's glory, then you have to say well who can perform this
19:18 -  If it's a moment so charged with that kind of significance if it's more than instruction If this is an eternal moment that's not going to be given again and has to do with the glory of God Who knows what the consequence of this morning will be
19:30 -  In the out working of your lives and what will go forth on the tape to who knows where then Who's able to perform this?
19:40 -  Who who then can be a teacher in a situation like that who then can be a student in a situation like that? So right away then another factor is brought in The thing the factor of which Paul frequently states who is sufficient for these things
19:57 -  If we're if we're just playing at church And have and we're doing something good in the want of some other alternative. That's okay But if we're in the realm pertaining to God's glory
20:09 -  And who's sufficient for these things? then right away the issue of the life of God the resurrection the reality
20:19 -  That sustains the church and is its life becomes paramount and important I'm almost always weak. I'm almost always tired And that the reason is as Paul said that
20:37 -  The power of God That you should not be one to his message by his eloquence But by the power of God that your faith should rest in the power of God and not his
20:50 -  impressive natural attributes And so also for myself It's a kind of a humiliation
20:57 -  To feel tired weak not to have your act together Not to be clear And just to trust
21:04 -  And and let the lord by his life bring forth which I believe he's doing from the first word this morning And I trust that he will all through the day and tonight
21:16 -  Because we're called to something More than a class we're called to the glory of God forever and only his life is sufficient for that requirement For us then the issue of resurrection is more than a correct doctrine
21:30 -  For us, it's the very source of our being because who's sufficient for these things So he marveled that you are so often removed from him that called you into the grace unto of christ unto another gospel, which is not another but
21:48 -  There'd be some that trouble you it would pervert the gospel of christ But though we are or an angel from heaven preach any of the gospel unto the net which we have preached Unto you let him be accursed as we have said before so say I now again
22:01 -  If any man preach any other gospel unto you then that you have received let him be Accursed for do I now persuade men or God? And do I seek to please men for if I yet pleased men I should not be the servant of christ
22:19 -  Oh, I hope you enjoy the flavor of this And what Paul is saying
22:28 -  In verse 10. Am I now seeking human approval? I've got two bibles balanced here I'm reading the king james and then on certain places. I like the phrasing of this other Because this has a more of a contemporary ring
22:41 -  Am I now seeking human approval? If you were Paul, you would be invalidated as an apostle An apostle does not give a wrap
22:50 -  for human approval There's only one thing that concerns him that he'd be found acceptable unto God And that will take a tremendous freeing power to those of us who have been shaped in the world
23:03 -  And are tuned to the approval of men and need it And therefore consciously or unconsciously there's always 11 in the lump. There's always something of a compromising kind That prevents us
23:17 -  from wielding the sword It says in jeremiah 46 curse it is that man
23:25 -  Who does the work of God deceitfully and does at whose sword does not bring blood? That is to say You spare your hearers by taking the sting out
23:38 -  Or making it nice that it might be acceptable Because you're too much concerned with how they are hearing you and how they are receiving you you desperately and urgently need their approval
23:51 -  And it may well be tying up with last night's message The reason that the church has avoided the jews Is because there's something in the gentile church that wants jewish approval
24:03 -  I have seen this again and again. I don't know what it is But gentiles tremble for jewish approval Maybe because it's something of the
24:13 -  Place in the world that jews occupy that to have their approval is an ego gratifying thing But if we're going to be ministers to them in an apostolic and prophetic way or to anyone in the world
24:27 -  We must be absolutely impervious to the issue of whether or not we please men So this is a portrait of apostolicity which the church desperately needs Am I now seeking human approval?
24:44 -  See seeking shows An intent to obtain approval It's more than just some unconscious kind of a thing. It's very conscious
24:54 -  Paul's not seeking it He's seeking God's approval Am I trying to please people if I was still pleasing people
25:02 -  I would not be a servant of christ and I would go so far as to say you could not be a servant of christ If the pleasing of man is a component conscious or unconscious in your Need for ego gratification acceptance fear of rejection. You cannot be a servant of christ
25:21 -  You're invalidated You can bring some modicum of blessing you might make someone happy you might do something good But a servant of christ requires this absolute
25:31 -  Severance from anything that you Need as a motivation that seeks approval from men It's so it's so facto
25:41 -  You are ruled out as God's servant If you're a man seeker and a man pleaser For I want you to know brothers and sisters that this gospel that was proclaimed by me is not of human origin
25:58 -  For I did not receive it from a human source I'm reading verses 11 and 12 Nor was I taught it, but I received it through a revelation of Jesus christ
26:10 -  Well, where does that put us we're students we're at a school we're being taught How imperative is it for us that the gospel that we preach and that we proclaim Is not given to us by man, but by God
26:27 -  And what then is the is the value or even the validity of a school? How jealous are we not to become brainwashed and uh, what's the word? Fitted in orchestrated to uh, huh?
26:43 -  Conformed to a certain expectation and that will get a certificate when we finish that we have completed the course How much do we need to guard our spirits to know that however instructive something is That the genius of the gospel the heart of the message of God cannot be taught by men
27:02 -  And must somehow be obtained in some direct communion with God himself Which is a much more difficult thing to obtain than that which you would obtain by being in a classroom It's there's a value for what is given in the classroom
27:19 -  But the ultimate knowledge of the message that we're called to bear the gospel The genius of it what it is as the statement of God cannot be taught And has got somehow to be imparted. It has got to be revelatory
27:34 -  So here Paul's experience is a paradigm a standard a pattern for all of us But are we as jealous? To avoid being indoctrinated and learning how to say the right thing
27:49 -  That prevents the the revelation of God if the lord sees That you are content with the measure of something and have the outline of it Which you have received from men and you're not jealous to have the authentic thing in itself
28:04 -  They can only forgo from God. He'll let you have what you have desired So what will you you'll parrot? You'll say the right things. You'll know the right phrases. I don't know about you. I am struck
28:16 -  Again and again with the artificiality of the language of christians I'm not persuaded. I'm not convinced that they know what they're talking about And that they have really appropriated the reality of which they speak
28:29 -  Even when they talk about the blood of christ or atonement or the cross They're saying the right thing. They're saying the correct thing, but they're not saying it correctly They're saying it by virtue of having been inducted
28:42 -  In a program of right vocabulary and have allowed that to stand for the reality, but it's not real for them and we can go along a lifetime in that unreality saying and performing and blessing and pleasing others because they are also in the same place and we're
29:01 -  Sharing the same kind of language and mentality and we are everyone out of apostolic reality And are not impressing the world let alone moving jews to jealousy When the scripture says contend for the faith once and for all given the saints
29:16 -  It's not talking about learning its doctrines It's contending for the faith for the authenticity reality That has got to come to us from God. Are we jealously seeking that or are we in fact in a school?
29:30 -  Because we want a shortcut And we want to be saved The labor and the intensity of having to seek God for what we can gain much more easily secondhand by men
29:44 -  Check your motives Put first things first don't be satisfied with some warmed over hash Because even though it's the correct language if it's not truth for you. It has become false and it will impress no one
30:03 -  Do you remember what the widow woman said to elijah when He raised her son from the dead the deathbed when he stretched himself out over that cold cadaver Eyeball to eyeball fingertip to fingertip and cried out to God
30:16 -  He wasn't performing some kind of magical deliverance in an antiseptic distance He immersed himself in the death of that son And when he stretched himself out over that prostrate body what he was really saying when he gasped and cried
30:28 -  I'm willing for the life to go out for me that it would go into him and i'm willing to to be identified with his death This is more than some little patsy formula in the name of Jesus It was an identification of the deepest kind with the death of that
30:48 -  cadaver That God honored and brought life. It was a real cry from elijah. It was not just a mechanical request He cried out three times and there are souls in this circle
31:03 -  Maybe all of us and certainly throughout all christendom who will go an entire christian life without crying out once We don't know what it means to cry out Crying out is out of the existential depths. It's out of the gut
31:19 -  And we're living superficially out of the top of our heads out of our External personality And therefore we don't have a message that's compelling because we are not the message
31:37 -  So watch out what you receive from men and be insistent and jealous for what can only come from God That this gospel that was preached by me is not of human origin I didn't receive it as a formula on how to get saved
31:55 -  And that in fact as i'm trying to say last night is exactly what has happened to our present faith. It has become a formula Much better if we would choke and splutter
32:09 -  And not be able to express the grandeur of what the gospel is then that we should Reduce it to a formula that we could glibly express because we have learned it cheaply we express it cheaply
32:22 -  Got the picture We've got to be willing to contend for the faith And not allow something to come into our vocabulary that has not a corresponding reality
32:36 -  The gospel in fact is reality The gospel is God's salvation from unreality And the whole world is unreal
32:44 -  It's living a fake thing. It's a mirage. It doesn't take eternity into consideration Its values are cheap. It's glib. It's personality-centered. It's sexy. It's blah blah blah. It's a lie It's an unreality into which the whole of mankind has been inducted
33:03 -  What is our mission to save them from the death of that? And to show them that if they continue there'll be an eternal consequence of a most painful kind So contend for the faith for the reality of God make it your own
33:23 -  That it's not of human origin nor did I receive it from a human source I didn't receive it from men nor was I taught it but I received it through the revelation of Jesus christ That could mean that a revelation given by Jesus christ or a revelation of Jesus christ
33:43 -  And you'll forgive me but as a jewish believer I sometimes stagger even at the phrase Jesus christ Because it has become itself a little patsy formula
33:58 -  A little intonation little Jesus christ says Jesus christ that as if to invoke that label sanctifies what we are about It really should be Jesus the christ Yeshua ha the in hebrew messiah
34:15 -  Jesus the christ but when you leave out the article there Jews and others think that christ is Jesus's last name That's what I thought as a jewish kid growing up
34:26 -  I don't know of any jew who's called christ. I know cohen and greenberg and But I don't know a jew by the name of christ. How can that be our messiah? It's because greek does not have the article
34:40 -  And when they translated the greek into English they left out there until finally it became
34:48 -  Jesus christ instead of Jesus the christ the messiah And so if we have allowed his name to become a formula What shall we say of the whole faith?
35:05 -  I received it through a revelation So To receive requires something to be given
35:15 -  And a revelation cannot be commanded Only God can give it and give it at his will But to whom is the revelation of God given
35:27 -  Paul says in romans 11. I would not have it to be ignorant of this mystery Lest you become wise in your own conceit What mystery is he talking about the mystery of Israel and the church which is at the heart of the church's whole reason for being
35:42 -  He said I would not have you to be ignorant Well, how how shall we be saved Because a mystery
35:50 -  Can never be taught A mystery has to be communicated as revelation our faith
35:57 -  Is revelatory It's a revealed faith Which puts the premium on God
36:04 -  Because revelation can only be given by God and all we can do is have our hat in our hands In hope that we might receive it It humbles man and it exalts God. Do you like that?
36:20 -  Well, you're a strange fish if you do To allow God the premium to be with God, what if he doesn't Act up what if he doesn't perform what if he doesn't give then you're left with your face sticking out
36:33 -  And what are you going to communicate to men? And what do you know if it has not been given? And are you willing to wait? Or are you impatient to have it now after all you're going to graduate by a certain time and and you hope then also to be
36:49 -  Ministering see What what is the pattern that is being put before us by Paul's own example Can you imagine what the church would be today if Paul was too impatient to wait for revelation
37:07 -  If he went ahead being clever as he was and learned from other men what the message is And was able in his own human ability to perform it We would not be the church today
37:19 -  We are the church as poor as we are only because Paul insisted on what could only be received from God When it is given We need to see ourselves as impatient
37:39 -  And humanly trying to appropriate something before the time Can I can remember because my faith i'm 36 years in the faith
37:49 -  When the body of christ was a novel and new Phraseology, oh, I don't know when that came out 1970s And everybody was talking about the body of christ the body of christ the body of christ like it was some novelty
38:03 -  That they were excited about because the church needs something and maybe this is what we need and what's this is the key That's been missing and everybody's the body of christ and the blah blah blah There was only one guy who didn't say boo. It was me
38:16 -  Artcats the dumb dumb knew nothing about the body of christ Nor was I going to imitate from men what I could easily have learned from them So I also could have joined the body of christ club
38:29 -  My face was stuck out as not knowing but waiting And how did God bring the revelation of the body of christ? through my Gentile wife
38:41 -  Living with a hebrew of the hebrews whose lifestyle mentality taste and values are completely opposite to mine in every not some in every point in particular
38:54 -  And it was abrasive and it was the cross and it was a suffering Because i'm a man of the tent in the altar and my wife is a woman of bric-a-brac and decoration and walls of this and pictures blah blah blah
39:07 -  clutter And I had to suffer it because our marriage was more than the issue of accommodation Our marriage was itself a mystery of jew and gentile being made into one new man
39:21 -  I learned the body of christ through my marriage through the suffering of it through the anguish through the frustration Of the differences that had to be reconciled that we might be made one and that's what the body is Now, are you willing to wait?
39:35 -  Are you willing to suffer that you might have not just a mechanical formula but an exquisite grasp an appreciation Of something that has been imparted in a revelatory way through the grit and circumstance of your life
39:51 -  Not when you desired it, but when he chooses to give it Because if you are impatient and urgent and want it now for your ministry You'll just be another cheap huckster for which they are a dime a dozen today and make sound and fury that signifies nothing
40:08 -  Give me one art cats To a thousand of these hot shots who will dissipate with the air But what issues from this one man who has waited on God for the revelation that has to be given
40:22 -  Will have a lasting and enduring consequence of which you yourself are the beneficiaries this morning Got the picture our whole age is impatient. This is the now generation instant. There's put air boiling water Pop and fizzle you can have it now. We don't know what it is to wait. We're too impatient to wait
40:41 -  We want to be gratified now Because our motive is not the glory of God, but our satisfaction even in religious and spiritual things Dum-da-dum-dum and therefore we are not apostolic
40:53 -  And therefore we are not apostolic We're just a cheapy religious counterpart to the world We're playing their game
41:01 -  We're subscribing to their wisdom And the powers of darkness that look on us and see right through us Yawn right in our face and here we are taking cities by praise and worship
41:15 -  Fancy that i'm not impressed at all You call you cause no apprehension in me you're not even to be considered You're just about some kind of culture. It's a religious thing that counts for nothing because it reflects my spirit in the world
41:31 -  And my mentality that you have imbibed and brought into your christian endeavor Oh you dear saints You need to understand the cosmic
41:44 -  Parameters of the faith, which is the conflict and the contest Between the principalities and the powers of the air the wisdom of this present evil age and the wisdom of God Who has perfected praise through the mouths of babes and sucklings so they shut the mouth of his adversary
42:02 -  That's why God works through weakness Because the powers of darkness work through strength macho Prestige power authority wealth
42:12 -  Prestige power authority wealth finance God works through foolish weak pathetic
42:20 -  inept Things of which the of whom the world is not worthy He perfects his praise and his wisdom through babes and sucklings
42:30 -  Why so that he can thumb his nose to the powers of the air whose wisdom is contrary to God's Whose way whose value system? Emphasizes power assertion impatience lust ambition fame
42:47 -  God chooses caves. He chooses stables. He chooses Israel. He chooses art cats He chooses you the weak nondescript. Nothing's the beggars whom he takes off the the dunkeeps to make the sit with princess So to stop the mouth of his adversary because she's going to triumph on the basis of that which is weak that which is lowly
43:09 -  That which is of no account God and that's what he demonstrated in his own earthly tenure Born in a stable and crucified in the dunkeap outside the city. That's the kingdom. That's the king
43:28 -  You remember what he said to peter when peter said lord let this be far from you get thee behind me you stink Poof you savor of that which is of man and not of God John chapter three or end of chapter two
43:44 -  Many believed upon him for the miracles which he performed but he would not commit himself unto them For he knew what was in man and would not give himself to man Do you despise what is in man?
43:57 -  What is of man is of satan get thee behind me satan you stink from what is of man Human opinion human values that have its origin from below and not from above you need to
44:12 -  Keep man at arm's length not just other men But your own man your own humanity and your own confidence and trust in it. You need to despise it Make it suspect and therefore only that which comes from above
44:27 -  You want revelation from God? About the faith about the gospel about the lord And you're willing to wait for it and if it doesn't come on time or at all you'd much rather
44:39 -  Be a dumb dumb and looked upon with contempt by other christians because they would expect you should know something haven't you been to school? Then you should take a shortcut merely to placate and please man Oh you dear souls
44:58 -  Because if we do what is our message We do what is our message How are we in opposition to this present evil age? We're reflecting it
45:05 -  It's impatience. It's man-centeredness Even in the name of christ We represent something other
45:12 -  Another kingdom another way another mindset another mentality another wisdom in everything It waits to be given
45:23 -  It trusts him to give It will not be satisfied or seek a cheaper and easier alternative Why does the church not know the mystery of which Paul warned that if we did not know this mystery
45:37 -  We would grow wise in our own conceit the mystery of Israel in a church Why hasn't God given us the revelation of that mystery? Because we have not sought it
45:49 -  Because we have been satisfied with our own explanations Because we are anti-jewish and don't want to know of a mystery that in the end is going to exalt that nation He sees our hearts
46:01 -  And he's not going to bestow the gem and the jewel of his revelation is like casting pearls before swine He waits to see a receptive heart that would be grateful for the revelation of the mystery And I can tell you that though i'm jewish and though I have a distinguished calling in God
46:19 -  This was not always my understanding I myself did not understand the mystery of Israel. I even opposed any talk about Israel having a destiny I was only concerned for the church in its glory. I would go to Israel every year to minister
46:33 -  But only as if I would go to any other country for the body of christ I did not understand that Israel had a distinctive purpose until God revealed it And when did he reveal it in a season of death
46:48 -  When he had dissolved our community when he brought everything down When my wife threatened divorce and suicide when I couldn't find employment I was too old and I had university degrees and I couldn't get a job as a dishwasher
47:00 -  In a season of humiliation And death and expulsion The lord began to open the revelation of the mystery of Israel when he had me enrolled in a liberal lutheran
47:12 -  Seminary when I was already in my 60s and twice twice the age of my teachers And there not because of the teachers not because of the seminary But while I was added and in the library looking for books with an assignment my eye would fall on something else
47:29 -  And the lord used that time and season of death to bring forth a revelation that is now our Prime purpose for being and communicated to the church worldwide
47:40 -  I had to wait And that it came in a season of death is not at all an accident because waiting is dying Have you tried it lately?
47:50 -  Waiting is dying And we we have very little penchant for suffering
48:01 -  Waiting is a suffering And this is at the heart of priestlyness is to wait When you read the consecration of priests in the book of leviticus
48:13 -  Of all they had to do when they were ordained as priests having been derived from the genealogy of erin and they had to be washed with water and the clothing that they had to put on and
48:25 -  Blood sprinkled all over and my what an elaborate preparation for the holy task of priesthood the last thing was They would await by the door of the tent of meeting seven days
48:38 -  The last requirement before their priesthood could be ordained was a seven-day period of waiting. What's the significance art? Seven is the number of completion if there was any impatience. Hey, when do we get with it? Boy, I want to get into this. I I'm gonna cut quite a figure as a priest
48:55 -  I've been waiting for this now for 20 years and that that that that that disqualified If there was any itch any human itch to be seen to be heard to be recognized to do disqualified That itch had to die out in a season of final waiting at the very door of the tent of the meeting
49:14 -  This is lost to our saints. This is archaic. This is Archaeological It's not part of our contemporary mindset
49:23 -  But needs to be if we are going to communicate the gospel as holy in a priestly way And revel and the knowledge that is that is only given by revelation through waiting Your impatience
49:42 -  Your itch to be seen to be heard and to do will disqualify you Paul waited He would not receive what he could easily have gained through man This gospel that I preach is not of human origin nor did I receive it from a human source
50:03 -  Nor was I taught it as a formula But I received it see it's not humble humbling receive when when it's given In the lord's time through revelation of and of Jesus christ and by Jesus christ
50:19 -  Then he goes on you've no doubt heard of my early life in judaism. Here's the contrast. I was violent Persecuting the church of God trying to destroy it I advanced in judaism beyond many among my people of the same age
50:31 -  I was far more zealous for the traditions, etc, etc What a contrast here's the man of impatience and what's the end of his religious impatience murder? What's the end of his zeal murder and persecution of christ himself Israel's own messiah
50:49 -  You want to see what the ultimate logic is? Of being wound up and doing your own thing by your own zeal in the name of God Is to persecute and to murder the very God you're purporting to serve
51:02 -  Of what a what a before and after in saul and Paul To go from impatient zeal To a priestly waiting upon God for that which is given by christ of christ for christ
51:19 -  That makes the apostle the apostle You Then we come to the wonderful verse but when God there's the when there's the but
51:35 -  But when God Who had set me apart before I was born? And called me through his grace
51:42 -  Was pleased to reveal his son in me or to me so that I might
51:50 -  Proclaim or preach him among the gentiles. I did not confer with any human being I did not confer with man Nor did I go up to drusim to the religious capital of the charismatic world
52:11 -  To those who were already apostles before me, but I went away at once into arabia the desert I went where there's nothing stripped dry barren location I didn't want to have any influence from anything that would color or affect my understanding
52:32 -  Even not only from man, but even from nature I went to a place that was absolutely barren me and God And to wait there for three years in what God would give me by revelation
52:45 -  You see what goes into the making of an apostle How much are you willing should go into you in the making of you? How much has gone into me in 36 years
53:01 -  How many for how long a time was I so unseen and unknown and unheralded when the lord brought us to northern, Minnesota Which is our arabia That people thought I was dead
53:11 -  What happened to this art cast that's scintillating jewish personality That we thought would be the jewish billy graham And was a real charismatic darling on katharine colman's television program and full gospel circles. The guy has dropped completely out of sight
53:25 -  We haven't seen or heard from him for years. Has he died? In a certain sense. Yeah God sent him to arabia
53:33 -  Dare to wait there to be dealt with in a stripped environment stripping environment Because an apostle and a prophet is not made in a day There's a remarkable investment of God over a period of time through seasons of trial and suffering
53:52 -  I mentioned last night oswald chambers. How many people here read him? only one Oswald chambers my utmost for his highest
54:02 -  Oh classes dismissed you're I'm wasting my time You've got to read him daily the man's exquisite
54:11 -  the depth of his understanding of the subtleties of flesh and soul and The issues of faith and ministry are superb In fact a lot of what i'm sharing today
54:22 -  Started by my reading of oswald chambers this morning because his text was galatians chapter one That's how I got into the whole subject through oswald What is the name
54:33 -  My utmost for his highest it's a daily devotional reading The man died when he was 36 37 38 but his wife took
54:44 -  Painstaking notes of all of his statements when he was the president of the bible college When he was the chaplain in egypt during world war one And generations of saints have been blessed out of their socks
