The Schiavo Case   A Conflict of Life
16:19 -  it threatens the whole issue of the federal system of the sovereignty of states in a voluntary relatedness in a union by allowing the central and federal government to eclipse and overpower
16:35 -  and nullify the local state government. That may not seem to you now a great issue, but I tell you what,
16:43 -  there may be a time ahead where that will be the very means by which dictatorship can be brought into this country by the federal government at its head taking over and eclipsing the sovereignty of states.
16:57 -  But the issue is perpetuating a life when under normal and natural circumstances that life would have passed away long before.
17:07 -  She's been perpetuated, kept by means of the same kind that the Pope himself is now having his life co-ordinated. So this is out of today's paper.
17:21 -  He has an incision in his throat and respirators that keep him alive and going. But if you can see this picture, he looks more dead than alive. And in the first Easter Sunday in the history of his office,
17:36 -  he was not only unable to participate, he was unable even to give a greeting, unable even to pray. All he could do was be propped up by his window
17:46 -  and hold this Easter symbol in the window so that thousands out there in the courtyard of St. Peter's could rejoice. There's a remarkable analogy of perpetuating the life of the Pope,
18:03 -  perpetuating the life of this woman. But I'm raising a greater question. What is life?
18:10 -  And what is being perpetuated by whatever means? So this crisis, occasioned by this tragic controversy, ought the stars to consider what indeed life is,
18:25 -  what is its meaning and purpose, and what campaigning, what neurologists who have examined this lady for 12 years have concluded in describing her condition as vegetative and totally brain dead.
18:40 -  What solace, I'm forced to ask, is the pleasure of stroking and doting her mother or her parents over the deceptive warmth of an otherwise dead person, keeping her from the dignity of death and the far greater consolation of eternal life.
18:56 -  See, this whole issue ought to raise the question nationally and internationally, what is life? What is being affected? What is being preserved? Why are we so afraid of death?
19:10 -  Why isn't death looked upon as it is given us to understand it biblically, as a gate to resurrection and eternal life? Could it be that they inwardly know that she's not in that relationship
19:24 -  and that there's no assurance of an eternal life? And for that reason, there's a greater emphasis to perpetuate her natural earthly existence. But if that's the case, then that points out some deficiency in Catholicism itself.
19:40 -  This is a Catholic family and the priests are there, but do they minister the issues that have to do with salvation and the assurance that we have life by the Spirit and therefore that is a token
19:55 -  and what do they call it, the first fruits of the greater life that is yet to come? That understandably natural proclivity seems to betray a faith to believe for that afterlife and a defective Catholicism that has not persuaded its adherents
20:15 -  that they can confidently expect that greater reality, which that reality is greater than any other reality, let alone the reality of the nearest level of existence to which this lady is tragically reduced.
20:31 -  Then I write, how many today are to be found among the living dead? You don't have to be on your back with a feeding tube. There are people who are walking and are able to feed themselves
20:43 -  who are not much more alive than this lady. It's incumbent for us to ask, what is life? Otherwise we have populations that are more dead than alive and are among the walking dead
21:00 -  and we need to see that because it has everything to do with our witness and how we challenge people in that condition. That is, they have no spiritual life, purpose or meaning,
21:13 -  whose existence is the mere sustaining of the bodily life and what measure of its carnal enjoyment their station in life affords. It's tragic that the Lord has suffered and died and has been risen
21:29 -  in order to give to mankind not only the gift of forgiveness from sin, but also the gift of life and for people to live in ignorance of that and the neglect of that is a kind of trampling on the grace of God
21:53 -  and the Church allows multitudes to exist at that level without challenging them about the issue of life. The scripture says, he who hath the Son hath life
22:07 -  and he who hath not the Son hath not life and the wrath of God abides upon him. Do we believe that? On Resurrection Sunday morning that celebrates the life of God which is risen,
22:22 -  do we believe that? That he who hath not the Son hath not life. And the whole purpose, as I'm going to quote here,
22:32 -  when Paul went to Athens and challenged the philosophers who are every day looking for some new thing, what does it say to them? God has by one blood made all nations of men
22:45 -  and established their territories and their boundaries that they might seek after God if happy they may be found with him. That the whole purpose of this life and this existence is to find and be found of God.
22:58 -  That you might obtain life and have it eternally. But I think that the Church either has not understood or has forgotten this reality even for itself,
23:12 -  let alone like Paul to commend it to others of what the issue of this life is. Because if that's not the issue of life, then the issue of life is merchandise, comfort, pleasure, vacations, security.
23:29 -  And the deceiver who is the prince of this world wants to keep men from any consideration of that which is eternal and fix them to be preoccupied with the things that are upon the earth.
23:43 -  That has to do with what is natural, what is physical, as if that is the issue for which we have the privilege of existing. Paul summarizing to those who spent their time in nothing else but either to tell you here
23:59 -  some new thing, the philosophers, what the whole purpose of our human existence is. How many of us even as believing Christians understand or believe that statement? That the whole purpose of life is to seek after God if happy we may be found with him.
24:15 -  You know what we would be accused of? That was, you're back in the Middle Ages, you're back in the Dark Ages. You've defined everything as one purpose, finding God.
24:26 -  Don't you understand that there are many purposes and many opportunities in life and we were to seek this and that. Paul says no, there's one.
24:34 -  The God who created and gave of all men one blood and established the bounds of the habitations was for this purpose. Do we believe Paul or do we believe the wisdom of this age and the world and its ways?
24:49 -  That diverts and distracts people into thinking that the purpose of the life of success, careers, physical attainment, security, pleasure, success, etc. Paul would say that's all deception.
25:03 -  That's all calculated to keep you from the one consideration that is reconsideration, the issue of life. Because if you don't obtain that life now on this earth and in this life,
25:17 -  on this earth and in this lifetime, you'll not have it eternally. That's why Jesus would say, go and do this. Yeah, go and love the Lord together and you'll live.
25:28 -  What he's really saying is you'll not do this except you live. You'll not do this except that your life is the life of God. It's not a human possibility.
25:37 -  You'll not have mercy on a stranger unless it's the life of God because the life of God is mercy. So there is a moral and transcendent question here of an ultimate kind from which the Gods of this age have blinded men.
25:55 -  It's a good question to ask whether they have blinded the church. Far better for evangelicals to encourage to the most holy faith those who are fearful and live their lives by spoonfuls.
26:08 -  To the victorious proclamation of Paul, especially on Easter Sunday morning, death where is thy sting and grave where is thy record, where is thy terror. That's in 1 Corinthians 15.
26:21 -  There's a real flight from reality that I think is indicated in the people who are crying outside of her hospital with loud tears and crying out to God for some miracle after 12 years of that condition
26:41 -  and are not willing to allow that lady to pass on to the reward of life, to the purpose of life or to really take up the issue that if she's been denied that knowledge that something is gravely wrong with the Christianity which she has been raised.
26:59 -  And that needs to be confronted because religions are going to their eternal death in ignorance because the issue of salvation and the life of God has never been brought to them. But instead, Protestants and Catholics are outside of this hospital room
27:14 -  wailing and tearing on which reminds me very much of Jesus at the tomb of Lazarus. Have you guys ever understood, I tell you it's a double header, in John 11 where it says Jesus again groaning in himself came to the tomb
27:35 -  because in verse 37 of chapter 11 of John some of them said, could not this man who opened the eyes of the blind have kept this man from dying? Here's the same sense by Jews then as by Catholics and Protestants now
27:53 -  to keep this man from dying, as if dying is some kind of ultimate tragedy. Yes, Jesus could have kept him from dying but there's a much greater question than preserving his earthly existence.
28:07 -  The greater question was demonstrating that I am the resurrection and the life and if you believe in me you shall never die, you'll never see death. To believe is to obtain and that this was not a stranger but a friend whom he loved
28:26 -  and he allowed to languish unto death, well yes he could have come earlier, it says he remained two days longer where he was. Just to allow his friend to die without explanation, who knew that Jesus had saved others,
28:41 -  surely he would come to me, he loves me, no he didn't come. He allowed his friend to languish unto death and for his sisters both Martha and Mary, the one who was spiritual, the one who was carnal, both said the same thing
28:54 -  when he came with reproach, if you had been here my brother would not have died as if the issue of preserving his life was the issue and so he groaned. Have you understood why he groaned?
29:08 -  And then the shortest verse in the entire Bible is in John 11, two words, Jesus wept. He wept when he saw people weeping, so they, and he said that didn't I say that you would believe you would see the glory of God, the glory of God is more than the perpetuation of physical life,
29:30 -  physical existence, they took away the stone from where the dead man was living and Jesus cried out, Lazarus came forth and he did, and he who had died came out bound hand and foot with grave clothes, his face was wrapped with the cloth,
29:50 -  Jesus said to them, loose him and let him go. Verse 35, why? Because the people were weeping, he wept over their weeping, he wept because they were not weeping lightly, because it showed where their values lay
30:13 -  in the same way as this man who approached him to contradict him and to trick him and to vindicate himself, so also this people showed where they are by bawling and carrying on like these people over the issue of the perpetuation of mere animal biological existence.
30:35 -  When the issue of life is much greater and they're not crying for that life, they're crying for the perpetuation of the human and the natural life, so there's a great unreality that's perpetuated even in keeping the pulp alive,
30:53 -  a device in his throat, a thing that enables him to breathe, though he has Parkinson's disease where you can't expire and breathe freely and clear and therefore the congestion builds up and the person ordinarily will die of pneumonia and things like that,
31:15 -  but again, why keep the man going and prop him up in a window and put him before TV cameras that the worshippers below can see that he's there observing through a TV set the Easter proceedings but cannot participate, cannot lead, cannot even pray.
31:34 -  Can he in that condition oversee the responsibility of the Catholic Church? Why doesn't he designate someone to succeed or why don't they begin to, why keep this thing going to the last possible moment?
31:50 -  It's a kind of unreality and in the same paper today is the Jackson trial, so here I'm looking at another spectacle, another attempt by technology like science and surgery to change a man's complexion, change his appearance
32:12 -  and so because he has millions if not billions he can have a little magical place in the desert that's called Neverland and there he can read his pornography and entertain boys in bed and carry on an unreality that is not life.
32:30 -  The same thing that has to do with perpetuating a pope and perpetuating a woman and robbing her of the dignity of death and the grace of a life after death is the same kind of flight from reality.
32:45 -  It's denial and a man because he can afford it changes what is made in God's image he doesn't like God's handiwork the complexion is too dark the features are too negroid and so he'll make himself over in his own image
33:04 -  he doesn't like reality so he'll create a place called Neverland and it'll have toys and dolls and all kinds of deceptive things that creates an aura of a never never existence that's not real.
33:20 -  People drove great lengths to be at the place where this lady is being preserved and exaggerating her condition that her mother when came out told the religious authorities please keep the people quiet from crying out
33:41 -  like those that were around the tomb of Lazarus and exaggerating her condition so as to appeal for human sentiment and support at that level.
33:54 -  Well, you can pray for me hard-hearted man that I am but I see sentiment as death. Sentiment that wants to keep something alive
34:09 -  like a man wanting to keep an image of himself that he can afford to obtain by being able to pay those who can graft his skin change his nose and so on and so forth and pay for the remarkable fantasy land
34:22 -  in which he lives his life and is now catching up with him in unreality. Remember when Jimmy Baker was apprehended from the program that what was it called? PPL
34:37 -  that when they apprehended him and came in he was in a fetal position under the couch. Fetal is to go back to prenatal life.
34:48 -  He lived in such an unreality. I know it because he once gave me a thousand dollars. I was a guest on this program. My daughter was with me.
34:57 -  Someone said you are totally out of place. You stuck out like a conspicuous sort of phone. You did not fit. It's true.
35:05 -  He lived in such a la la land. Such a make believe. And his wife with the eyelashes and the makeup.
35:12 -  When that thing collapsed and the whole reality of the world finally set in the man collapsed psychologically, mentally, emotionally.
35:22 -  They found him under the couch curdled up in a fetal position like he went going back into the womb.
35:30 -  Well praise God that in the course of his confinement in prison and washing toilets he came to reality.
35:38 -  And he is a much better and greater man now than he ever was in his nonsense in the days of reality. That's my resurrection message.
35:50 -  The issue of life, dear Saints is the issue of resurrection life and not mere perpetuation
35:58 -  of what is natural and human. What is natural and human is only the enablement and grace of God
36:05 -  to bring us to a place of choice and decision of believing and calling upon the name of the Lord that we might receive life.
36:13 -  And that life is eternal. But that life that is eternal is also the same life that enables us to love God with all our hearts
36:21 -  all our soul, all our mind and all our strength. It's the same life that enables us to have mercy on a stranger at cost to ourselves.
36:32 -  It's totally unnatural to stop. Even the priest could not do it and the Pharisee could not do it
36:39 -  but a Samaritan could do it because evidently there was something of God in that man that was mercy that required to be expressed.
36:52 -  Anybody getting choked here? Imitated? Maybe, I don't know,
36:58 -  on what side of the resurrection are you? I'll tell you what. Jesus was and is a resurrection in life
37:07 -  and he roamed and he wept. It was not the same weeping as the people around him
37:15 -  weeping at the tomb. Oh, Lazarus, why couldn't God have a lot of... Why did you come early and save those
37:21 -  you could have saved them? He wept at their weeping not with their weeping.
37:27 -  The life of God in him was opposed to this kind of sentimentality that fixes itself at the minimal human level
37:38 -  and misses the issue of life itself which is eternal, which is God. You get the point?
37:46 -  Yes. Okay. Paul knew that life, lived by that life
37:52 -  and that's what made Paul, Paul. Paul is not an example of an exemplary Jew who has unusual ability, courage and knowledge.
38:02 -  The issue of Paul is the issue of resurrection. He counted all things as done that he might win Christ and know him
38:11 -  in the fellowship of his resurrection and his death. And that's why we have the continuation of the genius of Jesus in Paul.
38:21 -  Paul did not speak or do anything other than Jesus would have had he continued in his own body. He lived by the life of the Lord.
38:29 -  And why is that? Because he is the foundational apostle for the Church. He's not just going to teach us
38:37 -  but to give us an example of how we ourselves ought to live by the resurrection life. And I'll tell you what,
38:46 -  if there's no resurrection I'm most to be pitied because on April 5th
38:51 -  I'm commencing a seven week trip to seven countries with 17 flights. Not just to go sightseeing
38:58 -  but where life and death and eternity are at stake every time I open my mouth in Singapore,
39:07 -  Friday, Saturday and Sunday, two services on Sunday to a significant Chinese congregation
39:14 -  and the messages of which will go out to China and Asia. This is not just bringing in a nice biblical message. It's got to be the word of the Lord
39:25 -  which I'll not have until I open my mouth. Although I have a sense already God wants to speak this.
39:32 -  He wants to speak the cross not to some run down fellowship like Lex but to a successful Church
39:39 -  whose worship and praise is impressive. And yet I'm going to say to them it's not based on the cross.
39:46 -  You guys have not yet like most Christians apprehended the issue of the cross. Because I was there my last time
39:54 -  and spoke the messages on Israel which they're expecting now also. But how shall they extend mercy to Jews
40:02 -  that they might obtain mercy unless they have received mercy? Unless they have the life of God as mercy
40:10 -  to sinners who are deserving of nothing from God but the grace which is given, which is his life.
40:17 -  His mercy is his life. And unless they have his life they'll have nothing to extend
40:22 -  to Jews in their crisis. However well meaning their intention they will collapse.
40:27 -  They'll pass by these Jews on the side of the road who've been beat to a pulp and go around them as the priest did
40:34 -  and as the Pharisee did. They'll not stop. They have nothing to give.
40:39 -  Because mercy is not a firm or a category. It's a reality which is the life of God.
40:46 -  There's only one way that a program of this kind can be performed. It's in the power of his life.
40:53 -  The wisdom of his life. The character of his life. The anointing of his life.
40:58 -  Or it is only merely religious and human, ceremonial and deserves to be forgotten. The issue of God,
41:08 -  the issue of service, the issue of worship, the issue of fellowship is resurrection.
41:14 -  We can be amiable and courteous but that's not true Christian fellowship. True fellowship requires the life of God
41:23 -  because only his patience, only his wisdom, only his love can suffice.
41:29 -  Sunday morning, resurrection Easter. We need to bow before the Lord and even ask for forgiveness
41:36 -  for falling short of the glory of God. That's why Jesus said, didn't I say that if you would be patient,
41:46 -  you would see the glory of God? The resurrection of God is the glory of God. And we have lived beneath that glory.
41:54 -  We have only been religious. We have only been correct. But if we have fallen short of the life,
42:00 -  we have fallen short of the glory. So you acknowledge that and repent of getting by
42:08 -  on your own limited natural resources. You'll not receive it. It's a gift that comes with repentance.
42:18 -  But if you want to get by humanly because your pride is involved and you want to show yourself sufficient,
42:26 -  God will allow you. But in the day of eternity you'll be in Paris.
42:32 -  He'll show you then you've lived an entire life beneath the glory because you insisted in living it humanly
42:40 -  rather than on the basis of my life. That's why Paul said, I die daily. It's death that works in me and life in you.
42:49 -  Maybe that's why I had to live so early this morning. Not just to be instructed, but to come half dead.
42:55 -  So that if there's any value, anything that's natural going forth, not only for you, but through the tape
43:02 -  over this issue, it will have to be by the life of God. Resurrection is more than a doctrine.
43:11 -  It's the ultimate reality of God. And if there were no resurrection, there'd be no salvation.
43:19 -  That's why Paul said in 1 Corinthians, why do you say that there's no resurrection? Don't you know that
43:26 -  if there were no resurrection you'd still be in your sins? Why does he say that?
43:31 -  Because the resurrection is the evidence that the father has received the sacrifice or he would not have raised Jesus.
43:39 -  The raising of Jesus from the dead is the statement of the father's approval of the sinless lamb of God
43:46 -  slain from the foundations of the world. If Jesus had not been raised, if those women on Sunday morning
43:53 -  had come in and found him in the grave, we would all of us be dead ducks. There'd be no salvation.
43:59 -  His resurrection is the statement of the approval of the sacrifice by which our atonement has been obtained.
44:08 -  Having ascended on high being raised, he poured out from the throne of heaven the promise of the fathers
44:15 -  so that the 120 in the upper room receive the life of God. And that life was so powerful
44:22 -  and so life-changing that their character was changed and their activity,
44:26 -  that John and Peter, who had been competitive, where Peter said the last thing,
44:30 -  and what shall this man do? Remember that? Speaking about John,
44:34 -  there's something natural and competitive even in his religious nature. But after the baptism with the Holy Spirit,
44:42 -  which is the life of the resurrection from the throne, these two men are together at the gate beautiful
44:50 -  and their man-born lame fixing his eyes on them, heard Peter say,
44:56 -  silver and gold have been done, but that which we have we're giving in to stick up your bed of bars.
45:00 -  And he gets up, he's healed, fixing his eyes on them. They had come into a new relationship
45:07 -  that was heavenly because they both had received what was poured out from heaven
45:12 -  as they had received what was poured out on earth. The life of the Lord in death that was received by the Father
45:21 -  to ascend, to raise Jesus in the power of God, not just to resuscitate Jesus,
45:28 -  but to give him a new quality of life altogether. Resurrection of life is not the mere perpetuation of natural life.
45:37 -  It is a newness of life. Remember that? If we're crucified and buried with him,
45:42 -  we're raised also unto a newness of life, not henceforth anymore to live unto ourselves, but unto God,
45:50 -  because that's the nature of that life, is to live unto God and follow God. He's ever before you.
45:56 -  He's in every thought and every consideration. And when that happens, you don't get tired away with this.
46:02 -  You're beyond the issue of human sympathy. You weep and groan as the Lord did for other reasons,
46:11 -  because your life is not your own. Your thoughts are not your own. Your response is not your own.
46:17 -  It's Christ living in you, the hope of glory. So,
46:27 -  in 1 Corinthians 15, I have already quoted verse 19. If for this life only that Christ has given us hope,
46:39 -  we are all men most to be pitied. And he goes on to a whole dissertation on resurrection and that what is perishable
46:48 -  and corruption cannot inherit the kingdom. In verse 42, so it is with the resurrection of the dead
46:55 -  where the stone in the earth as a perishable thing is raised imperishable, stone and humiliation is raised in glory.
47:03 -  This dear lady laying in that hospice or wherever she is, is a place of humiliation.
47:11 -  She cannot respond. She cannot hear. She cannot answer.
47:16 -  They even in this article say that they tried to prompt some response from her and the doctors dismissed it as not at all a reaction,
47:25 -  but something that was compelled. Stone in humiliation is raised in glory. Stone in weakness is raised in power.
47:36 -  Stone as an animal natural body is raised as a spiritual body. And then he says in verse 50, what I mean, my brothers, is this.
47:44 -  The flesh and blood can never possess the kingdom of God. That's true on this earth and it's true in heaven. The perishable cannot possess in what down there.
47:56 -  We must be close with immortality. In 2 Corinthians 5.15 it says, that they which live should not henceforth live unto themselves,
48:08 -  but unto him which died for them and rose again. It's distracting that there's a reason why people shrink from the issue of resurrection.
48:18 -  Because the issue of resurrection is that henceforth you should not live unto yourself before yourself, but unto him who died for you and rose again.
48:29 -  To come into resurrection life is to forfeit your natural, human propensity and interest and values. It's changed.
48:40 -  You live no longer for yourself but for him, not by yourself but unto him and through him. That's how Paul ends Romans 11.
48:50 -  For other men through him and through him are all things to whom be glory forever. Maybe there's an instinctive reason why people want to keep
49:00 -  the natural thing going and want to shrink from the prospect of resurrection because they don't want to give up the ghost.
49:08 -  They don't want to give up the natural life and the natural purposes, natural ambition, natural delights, even religiously.
49:17 -  In Revelation 13, just as the Pope is being kind of artificially kept alive, there is a figure derived as a beast who is slain and yet speaks.
49:31 -  And people worship that beast. What it is is the continuation of this same kind of thing. It's like a ventriloquist and a dummy.
49:43 -  This thing that was slain is yet able to speak and command the worship of men and their allegiance. Because in the last analysis, the same phenomenon comes to a head.
49:55 -  It's like the Pope being propped up that people can see him at his window. This figure will be propped up in the last days
50:04 -  and somehow a voice will speak through it, but it will not be his own. He's slain. He's been wounded unto death
50:13 -  and yet is an object of worship and power. The same thing was true for this Rabbi Schneerson of the Jews in Brooklyn who refused to allow that man to die
50:27 -  and tried to get the confession out of him When he was in a coma in his last year of life, he could not even speak and they were trying to get him to acknowledge
50:37 -  that he was the Messiah and they could jab him with needles and if he blinked, they said, oh, see, that's it. He's acknowledging it.
50:46 -  And even now they're waiting for his resurrection and that his spirit somehow is with them. They wanted so much to believe in the flesh and blood man
50:58 -  and not the one whom the Lord, in fact, has raised from the dead. So there's something in man that will even be satisfied with a dummy if it could be made somehow to speak and act,
51:12 -  that it could be the object of worship rather than the Lord himself who is alone, the true object of worship.
