The Principalities and Powers of Darkness

00:00 -  Uh do do
01:02:51 -  Grant us a grace And let something flow into us Lord, I'm making it a prayer
01:03:00 -  However desperately we need instruction However desperately we need instruction And this kind of teaching
01:03:09 -  And this kind of teaching We need the event of God in our lives We need the sense of things that only you can give
01:03:18 -  We need the sense of things that only you can give God forbid that the word eternity should be only a concept God forbid that the word eternity should be only a concept
01:03:27 -  A sterile bloodless anemic term Let it palpitate in our hearts Let it palpitate in our hearts
01:03:36 -  As those are not waiting to die to occupy it As those are not waiting to die to occupy it As those who are not waiting to die to occupy it
01:03:45 -  But as those who are already present in it But as those who are already present in it That enables us to walk through this world in another way
01:03:54 -  That enables us to walk through this world in another way Immune to its seductions and its power Immune to its seductions and its power
01:04:03 -  Seeing the things that are invisible Seeing the things that are invisible The eternal weight of glory
01:04:12 -  That makes the BMWs and the Mercedes pale That makes the BMWs and the Mercedes pale And be eclipsed
01:04:21 -  And be eclipsed Because we are a people free from the powers of the air Because we are a people free from the powers of the air
01:04:32 -  Because they are out of the place of deception Because they are out of the place of deception And into the realm of reality
01:04:41 -  They are out of the realm of deception and into the realm of reality They are out of the realm of deception and into the realm of reality Those who are no longer seduced by BMWs and Mercedes
01:04:49 -  Those who are no longer seduced by BMWs and Mercedes They are out of the realm of seduction and deception They are out of the realm of seduction and deception
01:04:58 -  They are out of the realm of seduction and deception They are out of the realm of seduction and deception And into the realm where reality is
01:05:07 -  And into the realm where reality is Where eternity is Where the real issues are
01:05:16 -  Where the real issues are To see a people who have come to that place To see a people who have come to that place
01:05:25 -  It's another wisdom May we demonstrate it To our own generation
01:05:34 -  As well as to these mocking, usurping spirits As well as to these mocking, usurping spirits Who have made merchandise of men
01:05:43 -  Who have made merchandise of men By stealing from them By stealing from them
01:05:53 -  The sense of the things that are eternal and that lie beyond this life The sense of the things that are eternal and that lie beyond this life And make them think that this life is the whole thing
01:06:02 -  And make them think that this life is the whole thing To be driven to pursue, to acquire, to obtain To be driven to pursue, to acquire, to obtain
01:06:11 -  To think that it's all over at the grave Only to shriek Only to shriek
01:06:20 -  At the reality of an eternal destiny At the reality of an eternal destiny Unremitting and irrevocable
01:06:29 -  Unremitting and irrevocable Without remedy A hell
01:06:38 -  Only an apostolic church Can give answer to our generation Can give answer to our generation
01:06:47 -  And fulfill the eternal purpose of God And fulfill the eternal purpose of God But it's going to take much
01:06:56 -  Are we willing? Let's bow before the Lord Who calls us to His eternal purpose
01:07:05 -  Who calls us to His eternal purpose You pray out of your seat You didn't come to be an idle spectator
01:07:15 -  You didn't come to be an idle spectator We are participants together We are participants together
01:07:24 -  In an event of God Whose time has come Transact something with the Lord
01:07:33 -  Give Him a repentant acknowledgement Give Him a repentant acknowledgement That you were satisfied with much less than His desire
01:07:42 -  That you were satisfied with much less than His desire That you're the one who says I like, I like, I don't like, I like
01:07:51 -  Measuring everything in terms of how it affects you Measuring everything in terms of how it affects you With an insufficient regard for His glory
01:08:00 -  With an insufficient regard for His glory His honor, His name His purposes
01:08:10 -  Let's get earnest folks Our God is the God of truth And will only hear us and meet us on that ground
01:08:19 -  And will only hear us and meet us on that ground You pray
