The Eternal Gospel

00:00 -  I must be losing my Jewish distinctive. Oh my. Well,
06:49 -  Well, turn with me to Romans. I've already quoted it. This Gospel is the power of God at the salvation
06:54 -  to the Jew first. But this morning I noticed for the first time the introduction of Paul in verse 1 of chapter 1.
07:07 -  Paul, a servant of Jesus Christ, called to be an apostle, set apart for the Gospel of God.
07:17 -  I never saw that before or realized that before. That there's some kind of conjunction between being an apostle and being set apart for the Gospel.
07:37 -  That maybe, well, set apart for the Gospel. I think in other places Paul speaks of my Gospel. Not that he invented it, but for him it has become
07:52 -  something intensely personal and passionate, my Gospel. The man was in love with the message. And maybe this is the genius of what an apostle is
08:02 -  and what an apostolic church is. And when the Gospel will lose its apostolic character and become a bland formula for salvation
08:17 -  or just a cheapy kind of word that people would be strained to define, something suffers with that loss that is apostolic.
08:27 -  That the two things go together. Because it was together for Paul and it needs to be together for us.
08:34 -  Am I making any? Well, I want to ask you again. So I'm just ruminating and tossing out.
08:44 -  I want to hear myself and want to probe this. So, just to read this through, Paul, a servant of Jesus Christ,
08:55 -  called to be an apostle, set apart for the Gospel of God, which he promised beforehand through his prophets
09:01 -  and the Holy Scriptures. Well, already I'm getting a slant on this. No wonder Paul is so intensely preoccupied with the Gospel.
09:09 -  No wonder it's part and parcel, part and parcel of what it means to be an apostle. Because look at the distinguished lineage here
09:20 -  promised beforehand through his prophets. Hey, this has got a history and a, what's the word? A backdrop, a preparation,
09:37 -  that is more than something of a Johnny-come-lately, promised through his prophets in the Holy Scriptures. The plot is thickening.
09:48 -  The Gospel according to his son, who was descended from David according to the flesh, and was declared to be the Son of God with power
09:58 -  according to the Spirit of Holiness by resurrection from the dead, Jesus Christ our Lord. Isn't that a mouthful?
10:05 -  My God, isn't that a mouthful? That deserves to be taken apart, phrase for phrase, word for word, and examined.
10:16 -  It's a jewel. You have to hold it to the light and catch this facet and that.
10:21 -  No wonder Paul honors the Gospel. No wonder he's a slave to it. It's his passion, his purpose for being
10:30 -  when it has this kind of distinguished ancestry. But how much of this is lost to us descended from David?
10:40 -  See how Hebraic this is. This isn't some Johnny-come-lately New Testament phenomenon. This is a thing that has its formative elements
10:49 -  in the whole history of the faith that goes all the way back to the prophets. And to David, declared to be the Son of God with power
11:00 -  according to the Spirit of Holiness by resurrection from the dead, which had validated and endorsed
11:06 -  and made this the significant message of God, Jesus Christ our Lord. So, I'm remembering a remark made by a Jewish-Christian
11:18 -  theologian, Jacob Yosh, J-O-C-Z, who has since gone on to be the Lord. He said, nothing reveals the radical content of the Gospel
11:30 -  than when a Jew is confronted by it. Now, why would that be? Because we Jews have been in the forefront,
11:41 -  as I've already mentioned, of so many movements, of so much that's in the world, and the vehemence of our opposition to it
11:50 -  requires a deeper explanation than the fact that we have been persecuted in Jesus' name. I'm speaking also from the perspective
12:00 -  that my Jewish mother, who has just gone to the Lord, Shabbat this Saturday at 7 a.m. in her sleep at the age of 95, almost 96,
12:13 -  was only a week old in the Lord and has resisted the Gospel for the length of my believing life, 36 years.
12:23 -  This is a little microcosm that deserves examination. Born in London and never once influenced by anything English and Christian,
12:34 -  and in fact, I said, did you ever notice the Whitechapel Mission to the Jews, which was a block and a half from the Brady Street buildings
12:42 -  where my mother grew up in the Jewish tenement section? She never knew that it existed. Well, maybe some of the young men played ping pong there,
12:52 -  but I doubt if it had any really vital impact on that Jewish community. Now it's boarded up.
13:00 -  Probably since I've been there last, it's been torn down. And right across the street is a flourishing mosque. And if the Mission to the Jews is boarded up,
13:12 -  you can be assured that its alternative will rise up in greater impressiveness than that which was boarded. There's something there that deserves consideration.
13:24 -  And so my mother, through a long life, disappointed in this son of hers, whom she loved as a Marxist, atheist, but when I came home from Jerusalem 36 years ago
13:37 -  as a believer, at the end of 14 months of hitchhiking, seeking for explanation for the unresolved quandaries of my life, my mother slammed the door in my face in her Brooklyn apartment building
13:52 -  and shouted and it echoed through the halls, he's gone mad, he's gone mad. My mother's had to live all these years with that disappointment
14:01 -  of a son of promise who became, quote, a Christian. And for my mother to take the name of Jesus to her lips? No, no way.
14:13 -  She could not even so much as pronounce it. I had trouble 36 years ago in Jerusalem calling upon the name of the Lord.
14:22 -  Something is amiss that salvation is of the Jews, and yet the name of Jesus, the Gospel, the word Christian, all of the things associated with salvation for you
14:33 -  are reprehensible and distasteful for us. And that we would resist the message with such vehemence that Paul, in his frankness as an apostle says,
14:49 -  and they are the enemies of the Gospel for your sake. You notice that last phrase? Like who needs it? Because Jewish opposition is ultimate.
15:01 -  I know you haven't experienced it. You're probably not a Jew around here for miles. That's why I was mistaken for a Scot.
15:11 -  But I can tell you, my first four years of public ministry was as a missionary to the Jews, and I've had doors slammed in my face more than once
15:20 -  and been spat at and kicked. And I know myself, the kind of firebrand that I was in my atheistic days.
15:28 -  And if someone tried to witness to me, watch out, I was dangerous. And yet Paul says they're enemies for your sake,
15:41 -  as if you need that opposition. Because if you don't have it, you're going to rest on your knees. You're going to become comfortable and casual,
15:51 -  and I don't know what. There's something radical that you need as the Church that we Jews and our opposition provide,
16:00 -  and that has been wanting from your experience that I think is a factor in explaining the blandness of the Church.
16:09 -  Because if it loses the vitality of the message of the Gospel, which is central to its whole being, what can we expect the Church itself to be at large?
16:20 -  Got the picture? The Church is God's provision for the proclamation of the Gospel.
16:28 -  It's its central purpose for being. It's the central purpose for Paul as an apostle. So what then shall we say?
16:36 -  And somehow, if we neglected you first and don't experience their opposition, something is going to leak out, and has leaked out,
16:47 -  which I think explains our lamentable and present condition. So if that's our error, how shall it be corrected? But by going back to the point at which we left off
16:59 -  from the biblical requirement to the Jew first. Or else the Gospel will suffer loss. It becomes disarmed and trivialized.
17:19 -  It becomes a nomenclature, a formula. For salvation is of the Jews. I'm trying to feel my way through something.
17:30 -  There's a tension, there's a connection in the wisdom of God that needs to be brought together, that the Church has lost so much
17:42 -  that the Jew is not even considered. And here's what struck me last night at another meeting here in Scotland
17:49 -  where a woman said to me after the meeting, I'm talking about the coming catastrophe of Israel that I'm expecting the defeat of that state
18:02 -  and an expulsion again of Jews out from the state and into the world and, in fact, that time of Jacob's trouble where Jews will be discomforted worldwide.
18:12 -  This woman who has a sympathy, a sentimental affinity for Israel, was offended by that and spoke to me afterwards
18:21 -  and she said, and what about the settlers? Don't they have God? And aren't they there in those settlements because of God?
18:32 -  Don't they know God? Well, can they? Can you know God independent of Christ?
18:42 -  No man knows the Father but the Son and he to whom the Father will reveal him. If you have not the Father, you have not the Son.
18:52 -  That's what I understand in reading John and scriptures, that you can't know the Father independent of the Son. The Son is the revelation.
19:01 -  If you see me, you see the Father. I and the Father are one. How can this woman, a Christian, charismatic, spirit-filled,
19:08 -  say to me that those settlers, Orthodox Jews, know God? You know that that's a dangerous and frightening statement?
19:20 -  Because if that's true, then the Gospel is only really an option that is not all that important
19:28 -  because if you can know God independent of the Gospel and independent of Christ, then it's only a secondary means at best,
19:36 -  but not an imperative thing as it was in the apostolic generation. There was an absoluteness.
19:44 -  What's the word? A singular-minded insistence for which men died. Go you into all the world
19:52 -  and preach this Gospel to every creature. No guaranteeing you're going to come back from every part in the world
19:58 -  where you're going to preach this because this is an unwelcome message and an offensive message,
20:04 -  and it's a dogmatic message, and we're living in an age where dogmatic insistence on a single way
20:11 -  is the height of offense. And who wants to offend anybody? You, Scots, are much too nice,
20:20 -  and you don't want to offend, and you want to be accepted. So how to be a respectable Christian
20:27 -  and find acceptance without offending, like explains the unhappy condition of the Church today.
20:36 -  If the Gospel was the single issue that we are called to proclaim in stubborn insistence
20:47 -  that there's no other salvation given by God, no other name given, and the Heaven and Earth
20:52 -  whereby men may be saved, we are going to offend multitudes of people. And not only will we offend Jews,
20:59 -  we're going to offend Christians, particularly those Christians who are ecumenically minded
21:05 -  and do not want to offend Jews and don't want to offend Muslims and don't want to offend this faith posture or that,
21:13 -  that somehow it's all a very nice mishmash, and there are many paths to faith and to God, and this is only one of many options.
21:24 -  This is an age of relativism and pluralism. Why? Because we have moved away
21:32 -  from the apostolic insistence that there's no other name given under Heaven and Earth
21:37 -  whereby men may be saved, and that the issue of salvation is the foremost reason for being.
21:44 -  Remember when Paul went to Athens and spoke to the philosophers on Mars Hill who were every day seeking for some new thing
21:51 -  and wanted to hear this curious ragpicker who was speaking something about resurrection, this disgusting Hebrew
22:00 -  who didn't have the credentials of a philosopher, and he said, this unknown God whom you purport to seek,
22:11 -  you phonies, you never do find him, and you prefer to have him remain unknown so he'll make no requirement or demand of your life.
22:19 -  Him I will set forth to you. Paul had what we Jews call chutzpah, arrogance, single-minded insistence,
22:30 -  and in the end it killed him. And maybe we need to understand that if we're going to proclaim the Gospel
22:39 -  with that narrow-minded insistence of the exclusive and dogmatic message, it may require our life also.
22:49 -  And if we're unwilling for that, how important a message is it? How important is salvation, is redemption?
22:57 -  What kind of issue is at stake in it? Is it just going to improve your life and you'll know the Lord
23:03 -  and he'll find you a girlfriend, boyfriend, and job security and happiness? Or is there an issue of eternity at stake?
23:11 -  A burning issue of eternity of which I could not persuade my mother. She was ready to go to hell,
23:19 -  not afraid of hell or even believing that such an eternal fate awaited her because we Jews have no consciousness
23:27 -  of any dimension beyond this life. That's why we succeed in this life. We have to because there's no prospect beyond it.
23:36 -  We've got to make our mark now and leave behind a fortune, a name, a reputation, a book, a Nobel Prize, you understand?
23:45 -  Eternity is not part of our consideration because you've never impressed us with that reality. You're not living as if this life is only a transient thing
23:55 -  and its purpose is to make the issue of eternity known. And if you have failed with the Jew, in your midst everywhere, my mother's from London,
24:04 -  my family is still in London, and not one of them has ever come to the faith and has a real, what's the word,
24:14 -  contempt for that which is Christian or Gentile because they equate the two things as one. They don't know that to be a Christian
24:24 -  is one who has adopted their Messiah. I didn't know it when I was a university graduate that the word Christ is Greek
24:34 -  derived from Christos, which is the translation of the Hebrew word Mashiach for Messiah.
24:40 -  Had I known that one thing, I would have been turned and disposed to hear something more of what a messianist is,
24:50 -  which is what a Christian is. Even in Israel they're called the Mashiachim, the messianists. But the word Christian Christ,
24:59 -  it's Greek, Gentile, has no Jewish, let alone Hebraic connotation, and you don't even know that.
25:13 -  You have so effectively dismissed the connection with the Jewish origins of which Paul speaks of the son of David
25:25 -  that a Jew is not at all struck with the imperative question of the Gospel. You need to go back and find that connection
25:36 -  because you who were far off and without God and hope in the world, drinking beer out of skulls,
25:45 -  were brought nigh by the blood of Messiah into the hope and covenant promises of Israel and even into the Commonwealth of Israel.
25:58 -  Salvation is of the Jews, and if you have it, it's because you have received it
26:04 -  through the Messiah of the Jews. Doesn't that give it a different coloration? So in the book of Romans,
26:13 -  in the chapters 9 through 11, Paul is answering the question of the Roman Church, is God finished with the Jews?
26:20 -  Did they have their opportunity and they blew it? And now we are to inherit their promises and we are the new Israel of God
26:28 -  and they are dismissed, they slew the prophets, they crucified their own Messiah?
26:32 -  He says, God forbid that you should believe that. The only temporal evidence of that He says, God forbid that you should believe that.
26:40 -  They are only temporarily out of the way. God is able to graft them in again. Have they stumbled that they should permanently fall?
26:47 -  No. It's only a momentary stumbling that salvation should come to the Gentiles
26:56 -  so as to move them to jealousy. Listen, dear saints, I don't know how to say this.
27:03 -  I don't care whether you are in Tibet, Morocco, or Scotland. The issue of the Jew is central to the Gospel,
27:10 -  to the faith, and to the call of God for the Church. And to the degree that we have omitted that from our consciousness,
27:18 -  we are something other than the apostolic reality that God intends. And our message will suffer
27:26 -  because we're not even proclaiming it. And when we seek to, it's without the vigor, force, and power
27:32 -  that would have been ours because God says through Paul that this Gospel is the power of God unto salvation
27:39 -  to everyone who believes to the Jew first. And if we've not seen that power demonstrated with the Jew, how shall we believe it with or for anyone?
27:48 -  It takes power to persuade the Jew. For 36 years I was unable to convince my mother. Though I convinced her as a Marxist,
27:59 -  I convinced her philosophically, ideologically, and all my unbelieving years when I came to the faith, boom,
28:06 -  like an iron door shut because of the depth of my mother's prejudice against everything Gentile,
28:14 -  which is a synonym for everything Christian. It took my mother to be nigh unto death a week before her passing
28:23 -  when I was called to her bedside somewhere between 2 and 4 in the morning because she was hallucinating
28:29 -  and fighting a battle for her soul and catching glimpses of hell that I came down and opened my mouth
28:36 -  and out of my mouth poured one verse after another pertaining to the Messiah and to salvation
28:45 -  until finally she was so done in by the Word of God that she followed me to prayer to receive the Lord. So I'm not going to her funeral Thursday.
28:58 -  I'm going to stick it out in Scotland and England trusting that my mother who is now in the invisible cloud of witnesses overhead
29:07 -  much prefers for me to speak the Word of God to Anglo-Saxons who need to be radically reminded of their faith that might yet affect Jews
29:18 -  before the end comes. Then I should run to Florida and be there at her graveside
29:24 -  to pay my respect as her son. I am antagonizing my Uncle Harry in London who thinks it's appalling
29:32 -  that I'm not coming to the funeral. But I'm here for your sake. Which is to say I'm here for the Jews' sake
29:44 -  because Paul was not an apostle to the Jews but to the Gentiles. How do you figure that?
29:51 -  A man with the depths of rabbinical background that Paul had and made him so adornably suited
29:57 -  to be an apostle to Jews, God makes him an apostle to the Gentiles and takes the fisherman who doesn't know
30:03 -  which end is up and makes him in his simplicity and rudimentary education to be an apostle to the circumcision.
30:11 -  How do you figure that? Only one way. That Paul was an apostle to the Gentiles
30:16 -  because the issue of the Gentile church is the issue of Israel. Because have they stumbled that they should fall?
30:23 -  God forbid. But through their fall, salvation has come to the Gentiles
30:27 -  so as to move them to jealousy. There's a purpose for your salvation beyond yourself. And if you have not found that purpose
30:38 -  and embraced it and requires the power of the Holy Spirit to embrace it and to walk in it,
30:46 -  all you have adopted is a kind of Christian culture. Okay, for your sake,
30:53 -  but having little consequence beyond yourself. Got the idea? You're not saved to the uttermost
31:00 -  if you're still the center of your own concern. You're saved when there's a purpose for your being beyond yourself
31:08 -  and for which you're willing to sacrifice yourself. That is salvation. Paul cries out in chapter 9 of Romans
31:19 -  that he would wish himself accursed for his brethren's sake. I'm speaking the truth in Christ.
31:27 -  I am not lying. My conscience confirms it by the Holy Spirit. But when he lays it on the line,
31:33 -  he lays it on the line. I'm not... This is a true statement
31:40 -  that the Spirit of God Himself will confirm that I have a great sorrow and unceasing anguish in my heart,
31:47 -  for I could wish that I myself were accursed and cut off from Christ for the sake of my own people, my kindred according to the flesh.
31:57 -  You know what the Church has thought, especially in modern times? This is a Jew
32:03 -  feeling the depth of the lostness of his own people and willing to be accursed for their salvation because he's Jewish.
32:11 -  Well, you're wrong. This is an apostle feeling the depth of the anguish
32:16 -  of the lostness of his people because he knows the value and the significance of the Gospel
32:23 -  and knows that if they will not believe that Jesus is the Christ, they will die in their sins.
32:30 -  My mother has been narrowly saved, being stretched nigh unto death, so weak and so frail, so infirm,
32:38 -  that she finally was able to be persuaded to call upon the name of the Lord. That's why I can comfortably remain here
32:47 -  and not run to Florida for her burial because I know where she is. So if Paul's heart cry
32:58 -  is not because of an ethnic identification, he's not crying out of his Jewishness, but out of his apostolicity,
33:07 -  what's our excuse? Why aren't we anguishing? Not only for Jews that are lost,
33:14 -  but for anyone who is lost, but especially Jews, why? Because God says salvation is of the Jews.
33:21 -  For them to miss their own salvation is in a special irony of a penetrating kind. It's a scandal.
33:32 -  I don't suppose you've heard the name Karl Barth, have you? He was a Jewish German theologian. I think he was a good Presbyterian.
33:43 -  He said in more than one place that the very existence of the synagogue alongside the church is a scandal
33:53 -  and an indictment against the church. That we have allowed its existence as if it stands for some valid alternative to the faith
34:04 -  is an indictment against Christianity itself. He's not inviting us to burn synagogues down, but what he's saying is that their very existence
34:13 -  assumes that there's something about Judaism that has a validity that does not require the Gospel. And once you've allowed that for Jews,
34:23 -  what shall you do with Muslims or Hindus or any other? The apostolic age was narrow, insistent, dogmatic, singular in its insistence.
34:33 -  Well, why would they go out into every nation and risk their lives? Because there's no other name given
34:40 -  on the heaven and on earth whereby a man may be saved out of eternal death. So I'm concerned with that woman last night
34:57 -  talking about Orthodox Jews as if they know God and how then can they experience an expulsion again out of the land.
35:08 -  Because evidently she has a relativistic view that sees for Judaism and Orthodox Judaism a certain validity that the Gospel
35:17 -  and the Scriptures do not allow. She has a relativistic and pluralistic view that is in contradiction to the absolute imperative
35:27 -  of the Gospel in the Word. How did she get it? She lives in this kind of relativistic world
35:35 -  and her church and its message has never made that clear. And somehow...
35:46 -  Well... It even implies that the Gospel, that Orthodox Judaism can be equated with the Gospel
36:03 -  and is even a valid alternative to Christ. Although the Scripture says, And for Jews, what shall we say?
36:21 -  Maybe a double wrath because salvation is of the Jews. And when we forfeit the life of God
36:29 -  in rejection upon us comes a wrath of double magnitude. And is that not possibly an explanation for the kind of suffering that has been our experience
36:41 -  throughout our whole Christ-rejecting history right up till this present day? I think, you know, I was going to say
36:53 -  there's some of my newsletters out there, but in our recent newsletter I wrote an article seeking to explain the present violent crisis in Israel
37:04 -  coming at us from Muslims and suggesting that Islam is a heresy born out of Mohammed's adoption
37:15 -  of our monotheistic Judaism because Islam is another monotheistic religion. But the faith of God is not monotheistic, it's triune.
37:26 -  And we Jews had opportunity to know that in the coming of Jesus the Son who cried out to the Father at the cross
37:34 -  and gave His life without spot by the eternal Spirit. The crucifixion of Jesus was the most profound revelation of the fullness of the Godhead in its triune form.
37:47 -  That is to say, God as He in fact is. And to reject that and stubbornly to insist on a narrow monotheism, one,
37:58 -  encouraged and inspired Mohammed to form Islam along those lines and the greatest threat to Jewish life today is Islamic.
38:07 -  I was in Montreal, Canada when the days of rage broke out in Israel and on that day six of the synagogues
38:15 -  had their windows smashed, their doors smashed, graffiti written on the walls, tombstones knocked over. The reverberation and the consequence
38:22 -  of what happened in Israel was felt in Jewish communities around the world and will again be felt
38:29 -  with more than doors being smashed, but heads. This is the ironic judgment of God that whatsoever a man sows, that too shall he reap.
38:42 -  It has cost the Jewish community to reject Christ. That's why Paul was grieved and willing to wish himself accursed
38:58 -  because he knew the consequence of that rejection. That's why Jesus wept over Jerusalem because he could foresee prophetically
39:05 -  what the consequences of that rejection would be even in modern times, right to the present violence in Jerusalem now,
39:12 -  right to the past Holocaust and right to the Holocaust that is yet to come. This is an important message, this Gospel.
39:21 -  It's not a little cutesy alternative or shouldn't we be doing something? What is the motive in our proclamation?
39:29 -  We're bored, we have a sense of guilt that we should be doing something, but is that the passion of an apostolic kind
39:39 -  that would proclaim the message of which God says it's the foolishness of preaching by which a man believes?
39:53 -  Are we willing to bear the scandal of that foolishness and the shame of it unless we are really persuaded
40:01 -  of the truth and the power of that message because we ourselves have been redeemed by it to the uttermost?
40:15 -  So this whole view has been lost to the Church as it has lost its recognition that but for the grace of God
40:24 -  it was without God and hope in the world but has been brought nigh by the blood of Israel's Messiah so as to move them to jealousy
40:32 -  that the natural branches might be grafted back in again. The Church has an irrefutable and inexorable excuse my language
40:45 -  connection with Israel and the Jew and to the degree that it fails to recognize that and take it into its deepest consideration
40:54 -  not as an obligation we have to, but joyous affirmation the Church suffers as the Church
41:06 -  its message suffers, its gospel suffers and we suffer. Our worship is bland.
41:14 -  We're saying the right things but we don't in the deeps of our hearts believe it. It's not yet our reality.
41:23 -  Something is wanting. There's something rotten in Denmark. There's something rotten in Scotland.
41:29 -  There's something rotten in Christendom. It's the absence and the loss of the centrality of the Jew and of Israel
41:36 -  in the Church's own consideration. For the Church is the mercy of God for them and your salvation is not for yourself
41:44 -  but so as to move them to jealousy. So until the gospel is set again in this lost context it becomes necessarily trivialized
41:56 -  a nomenclature on how to get saved a dubious decision. To insist upon its exclusive claims
42:04 -  is to open the Church to a fury of retaliation even from other sectors of Christendom desiring an ecumenical peace with Jews and other faiths.
42:15 -  You want to know that there's a war on? You want to know that there's a controversy? You want to know that there's a scandalous message
42:22 -  that we're called to bear? That if we really bore it we would invite the angry reprisal of the world
42:29 -  and even of the Christian world let alone of Jews and that there are Christian churches that will say
42:35 -  why don't you leave them alone? As a woman said to me on an airplane once I'll never forget it
42:42 -  with those three seats together and I'm turning to this woman how do I even know she was Jewish?
42:48 -  There was nothing to indicate that but I knew and I'm speaking to her in a very compelling way
42:55 -  and the woman was so uncomfortable being challenged that the woman by the window finally turned in her Christian compassion
43:03 -  and said why don't you leave her alone already? That's what you're going to hear. Why don't you leave them alone?
43:11 -  Haven't they suffered enough? What are you trying to do? Make Christians out of them?
43:18 -  This is going to take courage. It's going to take conviction that you can answer that retaliating statement.
43:25 -  No, I'm not seeking to make Christians out of them. I'm seeking to make Jews out of them. Because we suffered the Holocaust
43:32 -  not because we were Jews but because we were not Jews enough. And you have an obligation to make known to us
43:40 -  our own faith which we have rejected because salvation is of the Jews. And who wants to cut a controversy
43:47 -  if you're respectable? You don't want to stick out like the proverbial sore thumb. You want to be good company.
43:59 -  Cowards. What did Shakespeare and conscience stuff make cowards of us all?
44:07 -  So, to insist upon its exclusive claims is to open us to the fury of retaliation. Its promulgation will be seen as arrogant.
44:20 -  And that's the last thing that we want to be considered. Right? Because we're nice guys.
44:26 -  And we don't want to insist that our way is necessarily the only way. I mean, that's presumptuous and proud.
44:34 -  We want to give credibility to other faith postures. You see what I'm saying? We're trapped folk.
44:42 -  We're either Christians of an apostolic kind or we have become something else. And the weakness of our message,
44:50 -  our inability to proclaim it, our lack of desire to proclaim it, the lack of recognizing its power,
44:57 -  its centrality, its significance, condemns us. Why?
45:03 -  Because we have not been obedient to the Lord who said, go ye into all the world and preach this gospel to every creature
45:09 -  beginning at Jerusalem and Judea and then to Samaria and to the uttermost corners of the world.
45:16 -  To the Jew first. He gave us a priority because he knew we needed the collision.
45:22 -  We needed the confrontation. We needed to recognize the radical nature of that message.
45:27 -  We needed to realize that this message is so hated and despised and opposed that unless we go in the power of the Spirit,
45:35 -  we're dead ducks. And unless we're sent by a sending body of an apostolic kind, it's vain.
45:42 -  That we don't need some, what do they call these organizations? Parachurch groups
45:48 -  that are going to do the job for us when it's the task of the church itself. Well, what kind of a church?
45:54 -  A church that sends. A church that will uphold those sent ones that bear that message in London
46:00 -  and wherever Jews are with intercessions and groanings that cannot be uttered
46:05 -  because the church knows this is going to be fiercely contended and opposed. Why?
46:10 -  Because the last thing that Satan wants is for Jews to believe. If they believe and return to the Lord,
46:18 -  the age is at its conclusion. The king comes and establishes his throne in their holy hill of Zion
46:25 -  and in their Jerusalem as a redeemed nation restored to the Lord.
46:31 -  So everything that the enemy can do to prevent the promulgation of that message to the Jews,
46:37 -  he will do and has done. But he doesn't have to strain himself because we ourselves have abdicated
46:43 -  our responsibility. We're cowards. We intuit and recognize
46:47 -  these Jews are tough. Yes, it's one thing to talk to some drunken sap who's rolling in the vomit and the gutter
46:54 -  about the Gospel, but talk to a Jew who has a university background,
46:59 -  who is erudite and cultured and has never ever so much as lifted and raised his voice to his wife.
47:05 -  A lot better than what we've done. And tell him that he needs your Christ. Talk about insult.
47:12 -  Talk about indignation. Are we willing to bear that? See how the Lord has loaded this?
47:20 -  And are we impressed with their external appearance and their civility and their decorum and they have it all together
47:29 -  and they're well-mannered? As some woman has said, they're more Christian than Christians.
47:35 -  And you're going to tell them that they're lost? Not on the basis of what you see with the natural eye in their distinguished being,
47:44 -  but because you know the Word of God. That however outwardly impressive they may be, they are utterly lost and without hope
47:53 -  and without God in the world, which was your condition before you were brought nigh by the blood of their Messiah.
48:00 -  You're not impressed with their culture. You know that when the moment of eternity comes and they pass into death,
48:06 -  there'll be a shriek, a holler, and a scream that will send chills down your spine. Because in that moment, all values are reversed.
48:16 -  In that moment, a person is known as they are known and then they know that they've been living a fool's paradise, that they've been seduced by culture,
48:25 -  that God is not impressed with their being nice guys or being philanthropists or they've given to charity, but that there's no man good, no not one,
48:33 -  if God were to count iniquity, who can stand? And the sinner who dies in his sins shall be eternally lost.
48:43 -  There's a shriek. There's an unremitting and eternal cry. That's what I wanted to see my mother saved from.
48:56 -  And by the grace of God, whew, he did it at a last moment. But only after she was waited on hand and foot
49:05 -  by an entire Christian community 24 hours a day around the clock. And prayer and prayer and prayer and prayer
49:13 -  and prayer and prayer and prayer. For years, everywhere I've traveled in the world, pray for my mother Esther and our own prayer
49:25 -  in the face of stubborn repudiation until finally the Lord poured the vial down on her head of all the prayers that have gone up over the years.
49:37 -  It's tough to win a Jew. They are the epitome of a world system. When you scratch them, when you press them with the gospel,
49:48 -  you're not just putting before them some religious alternative. You're striking at the heart of a whole system,
49:55 -  a mindset, a mentality that is of the world. And the powers of the world, the invisible, spectral principalities
50:05 -  and powers of the air have had a field day with that people. And when you touch them, you touch the world and its power. No wonder that they'll scratch your eyes out.
50:16 -  Hey, but isn't this the purpose for which we were born again? Or was it our career? Or our physical comfort?
50:26 -  Or our pleasant Christian fellowship? I mean, let's get with it. What are we about?
50:32 -  What do we call for? What is the church? And what kind of embarrassment will we face eternally
50:38 -  when we have to stand before the Lord and have lived a life without distinction or accomplishment? There'll be some shrieks and screams from us
50:51 -  that will be unremitting because when he comes, he brings his rewards with him to give to every man according to his labors.
